-- Logs begin at Tue 2020-03-31 13:30:07 UTC, end at Tue 2020-03-31 14:50:14 UTC. --
Mar 31 14:23:45 cloud-provider-iscsi-0000000095 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 14:23:45 cloud-provider-iscsi-0000000095 dstat.sh[24179]: [286B blob data]
Mar 31 14:23:45 cloud-provider-iscsi-0000000095 dstat.sh[24179]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 14:23:45 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:45|  4   1  94   1   0| 423M 4477M  142M 2703M|   0     0 | 102k 2703k|3.72  24.2 | 813  1418 |0.50 0.62 0.44|2.0   0  18|   0     0 |systemd              1    0.1%   0    0 |bash                 2084 1842k1728k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 14:23:46 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:46|  8  23  69   0   0| 424M 4476M  142M 2703M|7524B 2160B|  24k  152k|1.00  8.00 |3041  5542 |0.46 0.60 0.44|3.0   0 531|   0     0 |bash                 2084 3.5%2247k  34k|bash                 2084 2247k  34k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 14:23:47 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:47| 14  21  66   0   0| 424M 4476M  142M 2704M|7153B 2160B|   0    28k|   0  7.00 |4091  6393 |0.46 0.60 0.44|1.0   0 336|   0     0 |systemd              1    6.0%   0    0 |bash                 2084 2530k  20k1.5%|mysqld       173M|   0     0 |  12    3    0    5    0
Mar 31 14:23:48 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:48|  6   5  89   0   0| 549M 4350M  142M 2826M|7471B 2052B|   0     0 |   0     0 |2085  3689 |0.46 0.60 0.44|  0   0  50|   0     0 |systemd              1    3.0%   0    0 |bash                 2084  123k 392B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 31 14:23:49 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:49| 12  13  76   0   0| 560M 4339M  142M 2826M|7794B 2160B|   0   396k|   0  16.0 |2198  3563 |0.46 0.60 0.44|1.0   0 295|   0     0 |keystone-manage      254886.2%2243k  79k|keystone-manage      254882243k  79k6.2%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 14:23:50 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:50| 22   3  74   1   0| 605M 4293M  142M 2827M|  16k 2160B| 152k    0 |8.00     0 | 726   771 |0.46 0.60 0.44|1.0   0 1.0|   0     0 |keystone-manage      25488 24%  12M 220k|keystone-manage      25488  12M 220k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 14:23:51 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:51| 12   3  73  12   0| 628M 4268M  142M 2828M|7950B 2160B|  52k 5864k|6.00   284 |2072  3349 |0.50 0.61 0.44|1.0   0   0|   0     0 |keystone-manage      25488 10%2227k 481k|keystone-manage      254882227k 481k 10%|mysqld       187M|   0     0 |  14    7    0    6    0
Mar 31 14:23:52 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:52|  8   5  73  14   0| 634M 4196M  143M 2893M|6758B 2160B|   0    26M|   0   839 |4205  8976 |0.50 0.61 0.44|  0 1.0   0|   0     0 |mysqld               234617.5%   0    0 |keystone-manage      25488  20k  11k3.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Mar 31 14:23:53 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:53|  7   3  72  17   0| 636M 4192M  143M 2894M|8415B 2160B|   0    54M|   0   696 |3849  6859 |0.50 0.61 0.44|  0 1.0   0|   0     0 |mysqld               234615.0%   0    0 |keystone-manage      25488  20k  12k3.0%|mysqld       194M|   0     0 |  14    7    0    6    0
Mar 31 14:23:54 cloud-provider-iscsi-0000000095 dstat.sh[24179]: 31-03 14:23:54|  9   5  62  23   0| 639M 4188M  144M 2895M|  10k 2160B|   0    58M|   0   837 |3271  7010 |0.50 0.61 0.44|1.0 2.0   0|   0     0 |mysqld               234616.8%   0    0 |keystone-manage      25488  26k  14k3.8%|mysqld       195M|   0     0 |  14    7    0    6    0
