-- Logs begin at Mon 2020-03-30 08:26:06 UTC, end at Mon 2020-03-30 09:41:51 UTC. --
Mar 30 09:31:29 cloud-provider-iscsi-0000000074 systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 09:31:29 cloud-provider-iscsi-0000000074 dstat.sh[29566]: [286B blob data]
Mar 30 09:31:29 cloud-provider-iscsi-0000000074 dstat.sh[29566]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 09:31:29 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:29|  4   1  95   0   0| 429M 4444M  145M 2726M|   0     0 |  84k 2175k|3.08  19.6 | 757  1218 |0.49 0.63 0.49|3.0   0  16|   0     0 |systemd              1    0.1%   0    0 |bash                 2284 1577k1465k0.1%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 30 09:31:31 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:30| 10  20  69   0   1| 429M 4443M  145M 2726M|8060B   16k|  24k  100k|1.00  7.00 |3023  5227 |0.53 0.64 0.49|3.0   0 495|   0     0 |bash                 2284 4.0%1817k  31k|bash                 2284 1817k  31k4.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 30 09:31:31 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:31| 13  21  66   0   0| 429M 4442M  145M 2727M|  18k   19k|   0    32k|   0  8.00 |3859  6897 |0.53 0.64 0.49|2.0   0 347|   0     0 |systemd              1    3.2%   0    0 |bash                 2284 2859k  23k2.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Mar 30 09:31:33 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:32| 10  11  79   0   0| 554M 4317M  145M 2849M|7386B 8740B|   0     0 |   0     0 |3998  7177 |0.53 0.64 0.49|  0   0  90|   0     0 |systemd              1    7.5%   0    0 |bash                 2284  247k 656B0.2%|mysqld       173M|   0     0 |  14    4    0    4    0
Mar 30 09:31:34 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:33|  8  13  78   0   0| 561M 4309M  145M 2849M|7914B 2678B|   0   396k|   0  23.0 |2162  3502 |0.53 0.64 0.49|1.0   0 298|   0     0 |keystone-manage      308843.8%1338k  79k|keystone-manage      308841338k  79k3.8%|mysqld       173M|   0     0 |  14    6    0    6    0
Mar 30 09:31:35 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:34| 23   3  74   1   0| 603M 4267M  145M 2849M|7519B   15k| 120k    0 |7.00     0 | 773   914 |0.53 0.64 0.49|1.0   0   0|   0     0 |keystone-manage      30884 24%  11M 153k|keystone-manage      30884  11M 153k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Mar 30 09:31:35 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:35| 15   3  73   9   0| 634M 4234M  145M 2851M|  10k 2106B|  84k 5524k|7.00   289 |1924  3320 |0.65 0.66 0.50|  0 1.0   0|   0     0 |keystone-manage      30884 14%4371k 548k|keystone-manage      308844371k 548k 14%|mysqld       187M|   0     0 |  14    8    0    6    0
Mar 30 09:31:36 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:36|  8   5  72  15   0| 640M 4197M  146M 2881M|  21k  126k|   0  9316k|   0   800 |4134  7477 |0.65 0.66 0.50|1.0   0   0|   0     0 |mysqld               288427.2%   0    0 |tail                 20219 120k 120k  0%|mysqld       192M|   0     0 |  14    8    0    6    0
Mar 30 09:31:37 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:37|  9   5  72  14   0| 642M 4158M  146M 2917M|5825B 6250B|   0    73M|   0   818 |4545  7773 |0.65 0.66 0.50|  0 1.0   0|   0     0 |mysqld               288427.0%   0    0 |keystone-manage      30884  21k  13k4.2%|mysqld       194M|   0     0 |  14    8    0    6    0
Mar 30 09:31:39 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:38| 16   5  66  14   0| 646M 4152M  147M 2918M|  10k 5094B|   0    48M|   0   912 |4708    10k|0.65 0.66 0.50|  0 2.0   0|   0     0 |keystone-manage      308848.2%  41k 287k|python3.6            6035  271k 565k1.5%|mysqld       195M|   0     0 |  14    8    0    6    0
Mar 30 09:31:39 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:39| 13   6  68  13   0| 647M 4150M  147M 2919M|  17k  303k|   0    40M|   0  1009 |5290    10k|0.65 0.66 0.50|1.0   0   0|   0     0 |mysqld               288427.2%   0    0 |tail                 20219 295k 295k  0%|mysqld       197M|   0     0 |  14    8    0    6    0
Mar 30 09:31:40 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:40| 12   6  70  12   0| 649M 4147M  148M 2919M|  13k   11k|   0    10M|   0   872 |4757    11k|0.68 0.66 0.50|1.0   0   0|   0     0 |mysqld               288428.0%   0    0 |keystone-manage      30884  30k  19k6.5%|mysqld       199M|   0     0 |  14    8    0    6    0
Mar 30 09:31:41 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:41| 24   6  67   3   0| 650M 4144M  148M 2921M|  11k  372k|   0  4168k|   0   271 |7531    17k|0.68 0.66 0.50|1.0   0   0|   0     0 |keystone-manage      30884 18%  78k 696k|python3.6            6035  669k1395k3.8%|mysqld       199M|   0     0 |  14    8    0    6    0
Mar 30 09:31:42 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:42| 15   6  70   9   0| 651M 4142M  149M 2921M|  19k  382k|   0    11M|   0   862 |5436    15k|0.68 0.66 0.50|1.0   0   0|   0     0 |keystone-manage      308849.2%  50k  32k|tail                 20219 371k 371k  0%|mysqld       200M|   0     0 |  14    8    0    6    0
Mar 30 09:31:43 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:43| 17   6  73   4   0| 593M 4200M  149M 2921M|8140B   15k|   0  3324k|   0   238 |2441  5397 |0.68 0.66 0.50|1.0   0  80|   0     0 |keystone-manage      309645.5%2228k  37k|bash                 2284   17M1881k0.8%|mysqld       200M|   0     0 |  14    6    0    7    0
Mar 30 09:31:45 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:44| 24   3  72   2   0| 640M 4152M  149M 2921M|7987B 9018B|   0    20M|   0   296 |1257  1367 |0.68 0.66 0.50|1.0   0   0|   0     0 |keystone-manage      30964 25%  12M   0 |keystone-manage      30964  12M   0  25%|mysqld       200M|   0     0 |  14    6    0    7    0
Mar 30 09:31:45 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:45| 23   4  73   0   0| 623M 4169M  149M 2922M|  14k 4256B|   0  6916k|   0  74.0 |1168  1516 |0.70 0.67 0.51|1.0   0  11|   0     0 |keystone-manage      30977 19%9781k  37k|bash                 2284   16M  39k0.2%|mysqld       200M|   0     0 |  14    6    0    7    0
Mar 30 09:31:47 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:46| 17  10  71   1   0| 582M 4208M  149M 2923M|5928B 2106B|   0  6316k|   0   149 |2209  3521 |0.70 0.67 0.51|1.0   0 208|   0     0 |bash                 2284 1.8%  16M  53k|bash                 2284   16M  53k1.8%|mysqld       200M|   0     0 |  14    6    0    7    0
Mar 30 09:31:47 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:47| 13  21  66   0   0| 582M 4207M  149M 2924M|7224B   21k|   0  1240k|   0  75.0 |2744  6319 |0.70 0.67 0.51|2.0   0 464|   0     0 |systemd-journal      192832.8%   0    0 |bash                 2284 4084k  29k2.5%|mysqld       200M|   0     0 |  14    6    0    7    0
Mar 30 09:31:48 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:48| 34  16  50   0   0| 627M 4161M  149M 2925M|7816B   11k|   0     0 |   0     0 |3835  6331 |0.70 0.67 0.51|2.0   0 200|   0     0 |uwsgi                31719 13%4260k  37k|uwsgi                317204382k  37k 13%|mysqld       200M|   0     0 |  14    8    0    7    0
Mar 30 09:31:49 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:49| 46   5  47   2   0| 710M 4078M  149M 2925M|7648B 9628B| 148k 3884k|6.00   217 |1163   839 |0.70 0.67 0.51|2.0   0   0|   0     0 |uwsgi                31719 24%  10M  99k|uwsgi                31719  10M  99k 24%|mysqld       200M|   0     0 |  14    8    0    7    0
Mar 30 09:31:51 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:50| 39  11  50   0   0| 747M 4039M  149M 2927M|6251B 2254B|   0   444k|   0  50.0 |2163  7327 |0.81 0.69 0.51|1.0   0 152|   0     0 |uwsgi                31719 18%2779k 568k|uwsgi                317202759k 598k 17%|mysqld       200M|   0     0 |  13    6    0    8    0
Mar 30 09:31:52 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:51| 24   4  72   0   0| 792M 3994M  149M 2928M|8032B   11k|   0     0 |   0     0 |1075  1451 |0.81 0.69 0.51|1.0   0  19|   0     0 |keystone-manage      31994 25%  12M  37k|keystone-manage      31994  12M  37k 25%|mysqld       200M|   0     0 |  14    6    0    8    0
Mar 30 09:31:52 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:52| 23   3  73   1   0| 826M 3959M  149M 2928M|6908B 2160B|   0  1356k|   0  66.0 |1435  2329 |0.81 0.69 0.51|1.0   0 2.0|   0     0 |keystone-manage      31994 23%5120k  13k|keystone-manage      319945120k  13k 23%|mysqld       203M|   0     0 |  14   12    0    8    0
Mar 30 09:31:53 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:53| 22   5  73   0   0| 779M 4007M  149M 2928M|8069B   17k|   0     0 |   0     0 | 945  1511 |0.81 0.69 0.51|1.0   0  55|   0     0 |openstack            32075 16%7739k  37k|bash                 2284   18M  50k0.2%|mysqld       203M|   0     0 |  14    6    0   11    0
Mar 30 09:31:54 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:54| 21   4  73   2   0| 807M 3978M  149M 2928M|  15k 3658B|  72k 8820k|18.0   124 |1102  1523 |0.81 0.69 0.51|1.0   0 1.0|   0     0 |openstack            32075 13%3419k   0 |openstack            320753419k   0  13%|mysqld       205M|   0     0 |  14   32    0   14    0
Mar 30 09:31:55 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:55| 21   5  73   0   0| 795M 3990M  149M 2928M|  14k 2280B|   0     0 |   0     0 |1148  1657 |0.90 0.72 0.52|1.0   0  61|   0     0 |openstack            32139 16%7740k  37k|bash                 2284   11M  39k  0%|mysqld       205M|   0     0 |  14   30    0   16    0
Mar 30 09:31:56 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:56| 23   6  72   0   0| 774M 4011M  149M 2928M|  12k 3832B|   0     0 |   0     0 |1263  2186 |0.90 0.72 0.52|2.0   0  99|   0     0 |openstack            322397.5%2090k   0 |bash                 2284   11M  40k0.2%|mysqld       205M|   0     0 |  14   30    0   21    0
Mar 30 09:31:57 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:57| 24   3  73   1   0| 811M 3974M  149M 2928M|7533B 5782B|   0  6984k|   0   122 |1411  2357 |0.90 0.72 0.52|2.0   0 1.0|   0     0 |openstack            32239 20%9053k  37k|openstack            322399053k  37k 20%|mysqld       205M|   0     0 |  14   30    0   29    0
Mar 30 09:31:58 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:58| 23   4  74   0   0| 802M 3982M  149M 2928M|  10k 3262B|   0     0 |   0     0 | 891  1153 |0.90 0.72 0.52|1.0   0  22|   0     0 |openstack            32261 21%9954k  37k|bash                 2284   11M  41k0.2%|mysqld       205M|   0     0 |  14   30    0   29    0
Mar 30 09:31:59 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:31:59| 22   7  72   0   0| 782M 4003M  149M 2928M|6219B 2160B|   0  1236k|   0  27.0 |1433  2604 |0.90 0.72 0.52|3.0   0  74|   0     0 |openstack            323358.5%3745k  37k|bash                 2284   11M  37k  0%|mysqld       205M|   0     0 |  14   30    0   38    0
Mar 30 09:32:00 cloud-provider-iscsi-0000000074 dstat.sh[29566]: 30-03 09:32:00| 24   3  73   0   0| 814M 3971M  149M 2928M|  11k 4246B|   0     0 |   0     0 |1264  2268 |0.91 0.72 0.52|1.0   0   0|   0     0 |openstack            32335 17%7399k 605B|openstack            323357399k 605B 17%|mysqld       205M|   0     0 |  14   30    0   46    0
