-- Logs begin at Mon 2022-09-26 02:18:15 UTC, end at Mon 2022-09-26 05:41:10 UTC. --
Sep 26 05:28:03 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 26 05:28:04 ubuntu dstat.sh[72662]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 26 05:28:04 ubuntu dstat.sh[72662]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 26 05:28:04 ubuntu dstat.sh[72662]: 26-09 05:28:04|                   | 842M 1643M  184M 4965M|           |           |           |           |1.00 1.08 0.77|2.0   0    |           |   0     0 |  8    4    0   10    2
Sep 26 05:28:05 ubuntu dstat.sh[72662]: 26-09 05:28:05| 12  20  65   1   0| 843M 1641M  184M 4966M| 526k   16k|   0    22M|   0   279 |3779  4642 |1.12 1.11 0.78|2.0   0 395|   0     0 |   0     0 |  8    4    0   10    2
Sep 26 05:28:06 ubuntu dstat.sh[72662]: 26-09 05:28:06| 16  15  64   4   0| 827M 1655M  184M 4968M| 813k   22k|   0  1040k|   0   143 |3543  5156 |1.24 1.13 0.79|3.0   0 296|   0     0 |   0     0 |  8    4    0   10    2
Sep 26 05:28:07 ubuntu dstat.sh[72662]: 26-09 05:28:07| 25  17  57   0   0| 832M 1649M  184M 4969M| 485k   15k|   0  1251k|   0  8.99 |4389  6386 |1.24 1.13 0.79|3.0   0 170|   0     0 |   0     0 |  8    4    0    8    2
Sep 26 05:28:08 ubuntu dstat.sh[72662]: 26-09 05:28:08|  6   6  87   0   0| 970M 1510M  184M 5091M|  74k 5974 |   0   520k|   0  8.99 |2133  3996 |1.24 1.13 0.79|  0   0  37|   0     0 |   0     0 |  9    4    0    8    2
Sep 26 05:28:09 ubuntu dstat.sh[72662]: 26-09 05:28:09| 18   9  73   1   0| 978M 1502M  184M 5091M|  67k 6820 |   0   520k|   0  15.0 |1775  2413 |1.24 1.13 0.79|1.0   0 106|   0     0 |   0     0 |  9    6    0    8    2
Sep 26 05:28:10 ubuntu dstat.sh[72662]: 26-09 05:28:10| 22  11  64   1   0| 997M 1483M  185M 5091M|  84k   18k|   0    34M|   0   200 |2360  3092 |1.30 1.14 0.80|1.0   0 181|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 05:28:11 ubuntu dstat.sh[72662]: 26-09 05:28:11| 32   5  61   1   0|1044M 1433M  185M 5094M|  75k 4339 |  92k 1077k|7.01  18.0 |1201  1474 |1.30 1.14 0.80|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 05:28:12 ubuntu dstat.sh[72662]: 26-09 05:28:12| 26   2  69   1   0|1051M 1424M  185M 5095M| 274k   10k| 116k 1902k|7.99  16.0 |1421  1605 |1.30 1.14 0.80|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 05:28:13 ubuntu dstat.sh[72662]: 26-09 05:28:13| 10   4  67  17   0|1066M 1406M  185M 5098M| 796k   34k|   0  7391k|   0   626 |5977  9390 |1.30 1.14 0.80|  0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
