-- Logs begin at Mon 2022-09-26 05:42:53 UTC, end at Mon 2022-09-26 13:12:43 UTC. --
Sep 26 12:34:23 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 26 12:34:24 ubuntu dstat.sh[84514]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 26 12:34:24 ubuntu dstat.sh[84514]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 26 12:34:24 ubuntu dstat.sh[84514]: 26-09 12:34:24|                   | 835M 1648M  186M 4964M|           |           |           |           |0.78 0.74 0.51|4.0   0    |           |   0     0 |  8    4    0   10    2
Sep 26 12:34:25 ubuntu dstat.sh[84514]: 26-09 12:34:25| 13  20  65   1   1| 837M 1645M  186M 4964M|  85k 5813 |   0   502k|   0  19.4 |3239  5976 |0.78 0.74 0.51|3.5   0 372|   0     0 |   0     0 |  8    4    0   10    2
Sep 26 12:34:26 ubuntu dstat.sh[84514]: 26-09 12:34:26| 17  19  62   1   0| 819M 1663M  186M 4964M| 123k 7383 |   0    25M|   0   186 |3378  6300 |0.78 0.74 0.51|4.0   0 294|   0     0 |   0     0 |  8    4    0   10    2
Sep 26 12:34:27 ubuntu dstat.sh[84514]: 26-09 12:34:27| 17  19  61   1   0| 824M 1658M  186M 4965M|  24k 5457 |   0   965k|   0  16.0 |3319  7984 |0.78 0.74 0.51|2.0   0 205|   0     0 |   0     0 |  8    4    0   10    2
Sep 26 12:34:28 ubuntu dstat.sh[84514]: 26-09 12:34:28|  9   7  82   0   0| 966M 1515M  186M 5087M|  60k 5173 |   0   543k|   0  5.99 |1888  3140 |0.72 0.73 0.51|  0   0  40|   0     0 |   0     0 |  9    4    0   10    2
Sep 26 12:34:29 ubuntu dstat.sh[84514]: 26-09 12:34:29| 16   8  75   1   0| 972M 1508M  186M 5088M| 642k   19k|   0   920k|   0  11.0 |2407  2688 |0.72 0.73 0.51|1.0   0 104|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:30 ubuntu dstat.sh[84514]: 26-09 12:34:30| 23  15  62   0   0| 997M 1482M  186M 5090M| 941k   37k|   0  1418k|   0  25.0 |3491  8610 |0.72 0.73 0.51|1.0   0 218|   0     0 |   0     0 |  9    6    0   12    2
Sep 26 12:34:31 ubuntu dstat.sh[84514]: 26-09 12:34:31| 30   5  62   1   0|1004M 1474M  186M 5090M| 461k   15k|  52k   32M|4.99   117 |1996  3129 |0.72 0.73 0.51|1.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:32 ubuntu dstat.sh[84514]: 26-09 12:34:32| 25   3  69   2   0|1039M 1437M  186M 5092M| 215k 9113 | 144k 2548k|9.00  18.0 |1458  1487 |0.72 0.73 0.51|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:33 ubuntu dstat.sh[84514]: 26-09 12:34:33| 16   3  67  14   1|1059M 1416M  186M 5093M|  67k   17k|  12k 4203k|1.00   384 |3760  6394 |0.82 0.75 0.52|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 12:34:34 ubuntu dstat.sh[84514]: 26-09 12:34:34|  9   3  63  22   0|1059M 1413M  187M 5095M|  70k   12k|   0    14M|   0   992 |6064    11k|0.82 0.75 0.52|  0 2.0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 12:34:35 ubuntu dstat.sh[84514]: 26-09 12:34:35| 10   3  65  21   0|1065M 1404M  187M 5097M| 303k   17k|   0  6229k|   0   587 |5532  9383 |0.82 0.75 0.52|  0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 12:34:36 ubuntu dstat.sh[84514]: 26-09 12:34:36| 16   3  59  21   0|1085M 1380M  188M 5101M|  83k 9818 |   0    11M|   0   625 |5327  9024 |0.82 0.75 0.52|1.0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 12:34:37 ubuntu dstat.sh[84514]: 26-09 12:34:37| 12   3  62  21   0|1070M 1392M  188M 5103M|  65k   11k|   0  6856k|   0   593 |5581  9480 |0.82 0.75 0.52|  0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 12:34:38 ubuntu dstat.sh[84514]: 26-09 12:34:38| 12   4  66  17   0|1073M 1386M  188M 5106M| 871k   29k|   0  5178k|   0   545 |6051  9190 |0.84 0.75 0.52|1.0   0  13|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 12:34:39 ubuntu dstat.sh[84514]: 26-09 12:34:39| 29   9  59   0   0|1011M 1443M  189M 5110M|  76k 4423 |   0  1744k|   0  8.00 |1604  1981 |0.84 0.75 0.52|2.0   0  78|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:40 ubuntu dstat.sh[84514]: 26-09 12:34:40| 29   2  68   0   0|1067M 1386M  189M 5110M| 417k   14k|   0   771k|   0  6.00 |1596  1446 |0.84 0.75 0.52|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:41 ubuntu dstat.sh[84514]: 26-09 12:34:41| 26   2  68   1   0| 990M 1461M  189M 5111M| 548k   14k|   0  8478k|   0   394 |2446  3214 |0.84 0.75 0.52|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:42 ubuntu dstat.sh[84514]: 26-09 12:34:42| 25   4  68   2   0|1055M 1397M  189M 5111M|  89k 7152 |   0  7897k|   0   426 |2231  3048 |0.84 0.75 0.52|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:43 ubuntu dstat.sh[84514]: 26-09 12:34:43| 28   3  65   3   0| 981M 1470M  189M 5112M|  28k 4671 |   0  7468k|   0   399 |2322  3184 |0.85 0.76 0.52|2.0   0  39|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:44 ubuntu dstat.sh[84514]: 26-09 12:34:44| 18  19  61   2   0| 982M 1469M  189M 5112M| 161k 8144 |   0  7948k|   0   400 |3989  6176 |0.85 0.76 0.52|2.0   0 372|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:45 ubuntu dstat.sh[84514]: 26-09 12:34:45| 19  17  63   1   0| 984M 1466M  189M 5113M| 136k 7316 |   0  1212k|   0  45.0 |2999  6607 |0.85 0.76 0.52|1.0   0 297|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:46 ubuntu dstat.sh[84514]: 26-09 12:34:46| 43  18  39   0   1|1039M 1411M  189M 5113M|  29k 3613 | 196k 4997k|3.00  24.0 |3436  6093 |0.85 0.76 0.52|3.0   0 184|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:47 ubuntu dstat.sh[84514]: 26-09 12:34:47| 49   5  44   0   0|1140M 1309M  189M 5114M|  46k 5025 | 128k  740k|1.00  8.00 |1359  1365 |0.85 0.76 0.52|2.0 1.0 7.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 26 12:34:48 ubuntu dstat.sh[84514]: 26-09 12:34:48| 68   8  24   0   0|1212M 1230M  190M 5119M|8185  1614 | 371k  299k|7.97  13.9 |2162  2717 |1.02 0.79 0.54|3.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 26 12:34:49 ubuntu dstat.sh[84514]: 26-09 12:34:49| 63  11  26   0   0|1227M 1213M  190M 5120M|9004  2338 |   0    28k|   0  5.02 |2320  6053 |1.02 0.79 0.54|4.0   0 120|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:50 ubuntu dstat.sh[84514]: 26-09 12:34:50| 37   7  47   7   0|1272M 1149M  191M 5138M|7545  1618 |   0  4014k|   0  92.9 |1834  2537 |1.02 0.79 0.54|2.0   0  23|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:51 ubuntu dstat.sh[84514]: 26-09 12:34:51| 40   7  49   5   0|1320M 1091M  191M 5145M|9052  1620 |   0    10M|   0   216 |1469  1490 |1.02 0.79 0.54|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 12:34:52 ubuntu dstat.sh[84514]: 26-09 12:34:52| 38   4  48  10   0|1335M 1064M  192M 5154M|  72k   65k|   0  3860k|   0   247 |3498  5433 |1.02 0.79 0.54|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Sep 26 12:34:53 ubuntu dstat.sh[84514]: 26-09 12:34:53| 40   8  48   5   0|1256M 1121M  193M 5174M|9996  1622 |  36k 4357k|3.00   183 |2274  2785 |1.10 0.81 0.55|2.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
Sep 26 12:34:54 ubuntu dstat.sh[84514]: 26-09 12:34:54| 36   5  54   4   0|1284M 1086M  193M 5179M|  94k   80k|  28k 2348k|3.00  61.9 |1867  2600 |1.10 0.81 0.55|1.0   0 3.0|   0     0 |   0     0 |  9   18    1   12    2
Sep 26 12:34:55 ubuntu dstat.sh[84514]: 26-09 12:34:55| 13   1  73  11   0|1292M 1078M  193M 5180M|  66k   49k| 216k  480k|54.0  8.00 |1320  1723 |1.10 0.81 0.55|3.0   0 3.0|   0     0 |   0     0 |  9   33    0   12    2
Sep 26 12:34:56 ubuntu dstat.sh[84514]: 26-09 12:34:56| 32   9  60   0   0|1200M 1190M  193M 5161M|  13k 3138 |   0  8649k|   0   462 |1807  1903 |1.10 0.81 0.55|2.0   0  47|   0     0 |   0     0 |  9   30    0   12    0
Sep 26 12:34:57 ubuntu dstat.sh[84514]: 26-09 12:34:57| 44   9  48   0   0|1210M 1180M  193M 5161M|  70k   60k|   0   971k|   0  5.00 |3729  6545 |1.10 0.81 0.55|3.0   0  21|   0     0 |   0     0 |  9   30    0    9    0
Sep 26 12:34:58 ubuntu dstat.sh[84514]: 26-09 12:34:58| 56  16  26   0   0|1275M 1114M  193M 5161M|  17k 1619 |   0    92k|   0  4.00 |6195    12k|1.25 0.85 0.56|3.0   0 204|   0     0 |   0     0 |  9   30    0    9    0
Sep 26 12:34:59 ubuntu dstat.sh[84514]: 26-09 12:34:59| 66  11  23   0   0|1356M 1033M  193M 5161M| 346k  338k|   0  1864k|   0  23.9 |8742    17k|1.25 0.85 0.56|6.0   0 9.0|   0     0 |   0     0 |  9   35    0    9    0
Sep 26 12:35:00 ubuntu dstat.sh[84514]: 26-09 12:35:00| 63  12  25   0   0|1239M 1150M  193M 5161M| 472k  464k|   0   409k|   0  15.1 |4096  7414 |1.25 0.85 0.56|4.0   0  89|   0     0 |   0     0 |  9   34    0    9    0
Sep 26 12:35:01 ubuntu dstat.sh[84514]: 26-09 12:35:01| 78  21   2   0   0|1318M 1071M  193M 5161M| 174k  167k|   0   528k|   0  13.0 |2920  5253 |1.25 0.85 0.56|6.0   0 358|   0     0 |   0     0 |  9   35    0    9    0
Sep 26 12:35:02 ubuntu dstat.sh[84514]: 26-09 12:35:02| 84  15   1   0   0|1381M 1008M  193M 5161M| 444k  438k|   0  1248k|   0  39.0 |4355  7800 |1.25 0.85 0.56|7.0   0 186|   0     0 |   0     0 |  9   35    0    9    0
Sep 26 12:35:03 ubuntu dstat.sh[84514]: 26-09 12:35:03| 86  14   0   0   0|1353M 1036M  193M 5162M| 311k  305k|   0  1068k|   0  77.0 |3577  7214 |1.71 0.95 0.59|6.0   0 131|   0     0 |   0     0 |  9   34    0    9    0
