-- Logs begin at Thu 2022-09-01 07:01:11 UTC, end at Thu 2022-09-01 08:08:25 UTC. --
Sep 01 07:55:49 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 01 07:55:50 ubuntu dstat.sh[72797]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 01 07:55:50 ubuntu dstat.sh[72797]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 01 07:55:50 ubuntu dstat.sh[72797]: 01-09 07:55:50|                   | 872M 1621M  185M 4955M|           |           |           |           |1.16 0.86 0.55|3.0   0    |           |   0     0 |  8    6    0   10    2
Sep 01 07:55:51 ubuntu dstat.sh[72797]: 01-09 07:55:51| 13  19  67   0   0| 873M 1620M  185M 4956M| 103k 6034 |   0   687k|   0  20.0 |2499  3823 |1.16 0.86 0.55|3.5   0 343|   0     0 |   0     0 |  8    6    0   10    2
Sep 01 07:55:52 ubuntu dstat.sh[72797]: 01-09 07:55:52| 19  14  64   1   0| 857M 1635M  185M 4957M| 397k   13k|   0   755k|   0  17.5 |2810  4340 |1.16 0.86 0.55|3.0   0 293|   0     0 |   0     0 |  8    6    0   10    2
Sep 01 07:55:53 ubuntu dstat.sh[72797]: 01-09 07:55:53| 23  17  58   1   0| 858M 1632M  185M 4959M| 913k   16k|   0  2016k|   0  15.0 |3090  6594 |1.16 0.86 0.55|2.0   0 204|   0     0 |   0     0 |  8    4    0   10    4
Sep 01 07:55:54 ubuntu dstat.sh[72797]: 01-09 07:55:54| 36  13  51   0   0| 983M 1506M  185M 5081M| 163k 7842 |   0   856k|   0  9.00 |3532  6225 |1.15 0.86 0.55|1.0   0  75|   0     0 |   0     0 |  9    4    0   10    2
Sep 01 07:55:55 ubuntu dstat.sh[72797]: 01-09 07:55:55| 37   9  53   1   0|1001M 1488M  185M 5081M|  55k 6563 |   0   785k|   0  15.0 |1777  2348 |1.15 0.86 0.55|2.0   0 109|   0     0 |   0     0 |  9    6    1   10    2
Sep 01 07:55:56 ubuntu dstat.sh[72797]: 01-09 07:55:56| 19  12  67   1   0|1013M 1475M  185M 5083M| 943k   35k|   0    21M|   0   138 |3082  3497 |1.15 0.86 0.55|2.0   0 183|   0     0 |   0     0 |  9    7    0   12    2
Sep 01 07:55:57 ubuntu dstat.sh[72797]: 01-09 07:55:57| 33   4  61   1   0|1046M 1440M  185M 5084M| 663k   17k|  36k 1825k|4.00  21.0 |1810  1645 |1.15 0.86 0.55|  0 1.0 1.0|   0     0 |   0     0 |  9    7    1   12    2
Sep 01 07:55:58 ubuntu dstat.sh[72797]: 01-09 07:55:58| 30   5  64   1   0|1075M 1410M  185M 5085M| 146k 8992 | 160k 1131k|9.99  13.0 |1379  1621 |1.15 0.86 0.55|1.0   0   0|   0     0 |   0     0 |  9    8    0   12    2
Sep 01 07:55:59 ubuntu dstat.sh[72797]: 01-09 07:55:59| 18   3  67   9   0|1095M 1387M  185M 5087M| 538k   27k|  12k 4266k|1.00   300 |3617  5465 |1.22 0.88 0.56|4.0   0 8.0|   0     0 |   0     0 |  9   10    0   12    2
Sep 01 07:56:00 ubuntu dstat.sh[72797]: 01-09 07:56:00| 10   4  59  27   0|1096M 1384M  186M 5089M| 313k   18k|   0    14M|   0  1067 |6212    11k|1.22 0.88 0.56|  0 1.0 4.0|   0     0 |   0     0 |  9   10    0   12    2
Sep 01 07:56:01 ubuntu dstat.sh[72797]: 01-09 07:56:01|  8   3  64  21   0|1103M 1374M  186M 5092M|1091k   24k|   0    38M|   0   657 |4687  7946 |1.22 0.88 0.56|1.0 1.0  17|   0     0 |   0     0 |  9   10    0   10    2
Sep 01 07:56:02 ubuntu dstat.sh[72797]: 01-09 07:56:02| 31   6  48  17   0|1093M 1380M  186M 5096M| 109k   13k|   0  9423k|   0   610 |4982  9148 |1.22 0.88 0.56|4.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:03 ubuntu dstat.sh[72797]: 01-09 07:56:03| 37   8  38  17   0|1106M 1362M  187M 5099M|  20k 9769 |   0  8450k|   0   662 |4934  8895 |1.22 0.88 0.56|1.0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:04 ubuntu dstat.sh[72797]: 01-09 07:56:04| 13   4  64  19   0|1108M 1358M  187M 5101M| 316k   20k|   0  6709k|   0   654 |5728  9747 |1.36 0.91 0.57|2.0 1.0  14|   0     0 |   0     0 |  9    9    0   10    2
Sep 01 07:56:05 ubuntu dstat.sh[72797]: 01-09 07:56:05| 33   8  58   0   0|1044M 1415M  188M 5107M| 887k   23k|   0  1323k|   0  24.0 |2659  2762 |1.36 0.91 0.57|4.0   0  78|   0     0 |   0     0 |  9    7    0   10    2
Sep 01 07:56:06 ubuntu dstat.sh[72797]: 01-09 07:56:06| 32   5  63   0   0|1097M 1363M  188M 5107M|  75k 7192 |   0  2333k|   0  8.00 |1182  1252 |1.36 0.91 0.57|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:07 ubuntu dstat.sh[72797]: 01-09 07:56:07| 28   3  67   2   0|1026M 1432M  188M 5108M| 727k   21k|   0  7987k|   0   397 |2885  3497 |1.36 0.91 0.57|2.0   0  13|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:08 ubuntu dstat.sh[72797]: 01-09 07:56:08| 26   4  68   2   0|1080M 1377M  188M 5109M| 478k   15k|   0  8123k|   0   415 |2555  3222 |1.36 0.91 0.57|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:09 ubuntu dstat.sh[72797]: 01-09 07:56:09| 26   3  68   2   0|1109M 1346M  188M 5111M|1033k   21k|   0  7451k|   0   411 |2857  2970 |1.33 0.91 0.58|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:10 ubuntu dstat.sh[72797]: 01-09 07:56:10| 37  17  43   1   0|1001M 1453M  188M 5111M| 162k 7443 |   0  9107k|   0   400 |3525  5470 |1.33 0.91 0.58|4.0   0 319|   0     0 |   0     0 |  9    6    0   10    2
Sep 01 07:56:11 ubuntu dstat.sh[72797]: 01-09 07:56:11| 39  21  39   0   0|1022M 1431M  188M 5112M|  96k 6655 |   0  2594k|   0  64.0 |3348  6667 |1.33 0.91 0.58|8.0   0 394|   0     0 |   0     0 |  9    6    0   10    2
Sep 01 07:56:12 ubuntu dstat.sh[72797]: 01-09 07:56:12| 42  20  36   0   0|1086M 1367M  188M 5113M| 149k 7562 | 196k 1572k|3.00  18.0 |3679  8710 |1.33 0.91 0.58|3.0   0 193|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:13 ubuntu dstat.sh[72797]: 01-09 07:56:13| 53   5  41   0   0|1182M 1270M  188M 5113M|  36k 6608 | 128k 1171k|1.00  12.0 |1485  1514 |1.33 0.91 0.58|4.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 07:56:14 ubuntu dstat.sh[72797]: 01-09 07:56:14| 71   7  23   1   0|1247M 1201M  189M 5117M|  31k 3057 | 373k  216k|8.02  9.02 |1898  2082 |1.47 0.95 0.59|5.0   0 5.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 01 07:56:15 ubuntu dstat.sh[72797]: 01-09 07:56:15| 58  13  26   1   0|1269M 1174M  189M 5120M|  22k 3747 |   0  1719k|   0  18.0 |3155  7508 |1.47 0.95 0.59|1.0 1.0 145|   0     0 |   0     0 |  9    8    0   11    2
Sep 01 07:56:16 ubuntu dstat.sh[72797]: 01-09 07:56:16| 36   6  54   3   1|1323M 1100M  189M 5137M| 187k 5976 |   0    13M|   0   525 |2568  2100 |1.47 0.95 0.59|3.0 1.0   0|   0     0 |   0     0 |  9    8    0   11    2
Sep 01 07:56:17 ubuntu dstat.sh[72797]: 01-09 07:56:17| 42   5  52   1   0|1363M 1050M  190M 5146M| 837k   18k|   0  6546k|   0   142 |2083  1365 |1.47 0.95 0.59|4.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Sep 01 07:56:18 ubuntu dstat.sh[72797]: 01-09 07:56:18| 54   7  33   5   0|1353M 1050M  191M 5154M| 312k   68k|   0  6005k|   0   265 |3687  5423 |1.47 0.95 0.59|4.0   0 2.0|   0     0 |   0     0 |  9   12    0   11    2
Sep 01 07:56:19 ubuntu dstat.sh[72797]: 01-09 07:56:19| 60  10  26   3   0|1276M 1111M  191M 5168M|8160  2130 |  36k 2263k|3.00  74.0 |1939  2148 |1.59 0.98 0.60|4.0   0  48|   0     0 |   0     0 |  9    6    0   13    2
Sep 01 07:56:20 ubuntu dstat.sh[72797]: 01-09 07:56:20| 41   6  47   5   0|1309M 1061M  192M 5182M|  85k   80k|  28k 2649k|3.00  65.9 |1682  2244 |1.59 0.98 0.60|3.0   0 4.0|   0     0 |   0     0 |  9   19    1   13    2
Sep 01 07:56:21 ubuntu dstat.sh[72797]: 01-09 07:56:21| 19   4  69   8   0|1262M 1108M  192M 5182M|  59k   49k| 216k 2475k|54.1   115 |1967  2853 |1.59 0.98 0.60|2.0   0  48|   0     0 |   0     0 |  9   32    0   13    2
Sep 01 07:56:22 ubuntu dstat.sh[72797]: 01-09 07:56:22| 37   4  59   1   0|1244M 1146M  192M 5163M|8806  3520 |   0  4206k|   0  28.0 |1222  1313 |1.59 0.98 0.60|5.0   0 2.0|   0     0 |   0     0 |  9   30    0   13    0
Sep 01 07:56:23 ubuntu dstat.sh[72797]: 01-09 07:56:23| 43  13  42   0   0|1267M 1123M  192M 5163M|  89k   62k|   0    16k|   0  4.00 |2225  3428 |1.59 0.98 0.60|5.0   0 214|   0     0 |   0     0 |  9   30    0   13    0
Sep 01 07:56:24 ubuntu dstat.sh[72797]: 01-09 07:56:24| 68  11  21   0   0|1332M 1057M  192M 5164M| 252k   11k|   0    80k|   0  1.00 |5917    11k|1.70 1.02 0.62|4.0   0  10|   0     0 |   0     0 |  9   30    0   13    0
Sep 01 07:56:25 ubuntu dstat.sh[72797]: 01-09 07:56:25| 72  10  19   0   0|1350M 1037M  192M 5166M|1667k  673k|   0  3848k|   0  24.9 |8324    15k|1.70 1.02 0.62|4.0   0  10|   0     0 |   0     0 |  9   34    0   12    0
Sep 01 07:56:26 ubuntu dstat.sh[72797]: 01-09 07:56:26| 82  16   1   0   1|1291M 1095M  192M 5166M| 139k  135k|   0   244k|   0  12.0 |2376  4316 |1.70 1.02 0.62|6.0   0 227|   0     0 |   0     0 |  9   32    0   12    0
Sep 01 07:56:27 ubuntu dstat.sh[72797]: 01-09 07:56:27| 85  15   0   0   0|1365M 1021M  192M 5166M| 304k  299k|   0  2511k|   0  20.0 |2456  5292 |1.70 1.02 0.62|9.0   0 184|   0     0 |   0     0 |  9   33    0   10    0
