-- Logs begin at Tue 2020-03-31 01:52:34 UTC, end at Tue 2020-03-31 03:40:05 UTC. --
Mar 31 03:08:37 cloud-provider-iscsi-0000000082 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 03:08:37 cloud-provider-iscsi-0000000082 dstat.sh[23873]: [286B blob data]
Mar 31 03:08:37 cloud-provider-iscsi-0000000082 dstat.sh[23873]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 03:08:37 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:37|  3   1  96   0   0| 423M 4454M  143M 2725M|   0     0 |  72k 1879k|2.62  16.8 | 643  1037 |0.58 0.61 0.45|2.0   0  12|   0     0 |systemd              1    0.1%   0    0 |bash                 2080 1310k1237k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 03:08:38 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:38|  8  22  70   0   0| 424M 4453M  143M 2726M|6867B 2160B|  24k  216k|1.00  9.00 |2651  5031 |0.69 0.63 0.46|3.0   0 478|   0     0 |bash                 2080 3.8%1695k  30k|bash                 2080 1695k  30k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 03:08:39 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:39| 13  21  66   0   0| 422M 4454M  143M 2726M|6040B 2052B|   0    32k|   0  8.00 |3123  5774 |0.69 0.63 0.46|  0   0 354|   0     0 |systemd              1    4.2%   0    0 |bash                 2080 2956k  23k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 03:08:40 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:40| 11  12  78   0   0| 549M 4327M  143M 2848M|7774B 2094B|   0   316k|   0  16.0 |3306  6709 |0.69 0.63 0.46|2.0   0 181|   0     0 |systemd              1    6.2%   0    0 |bash                 2080  492k6249B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Mar 31 03:08:41 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:41| 18   9  73   0   0| 577M 4299M  143M 2848M|7354B 2160B|   0     0 |   0     0 |1649  2571 |0.69 0.63 0.46|1.0   0 202|   0     0 |keystone-manage      25186 16%6819k 125k|keystone-manage      251866819k 125k 16%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 03:08:42 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:42| 22   3  74   2   0| 613M 4261M  143M 2849M|  15k 2160B| 192k    0 |13.0     0 | 579   748 |0.69 0.63 0.46|1.0   0   0|   0     0 |keystone-manage      25186 23%9586k 519k|keystone-manage      251869586k 519k 23%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 03:08:43 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:43| 12   5  73  10   0| 632M 4240M  143M 2851M|6744B 2160B|  12k   13M|1.00   999 |4007    11k|0.72 0.64 0.46|1.0   0   0|   0     0 |keystone-manage      251867.2% 197k 142k|python3.6            5832  113k 235k0.5%|mysqld       190M|   0     0 |  14    7    0    6    0
Mar 31 03:08:44 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:44|  7   4  72  16   0| 636M 4169M  144M 2916M|6925B 2160B|   0    72M|   0   714 |3633  7646 |0.72 0.64 0.46|  0 1.0 2.0|   0     0 |mysqld               231555.8%   0    0 |keystone-manage      25186  26k  16k4.0%|mysqld       193M|   0     0 |  14    7    0    6    0
Mar 31 03:08:45 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:45| 15   5  70  10   0| 639M 4165M  145M 2917M|6747B 2160B|   0    11M|   0   970 |5205    15k|0.72 0.64 0.46|1.0   0   0|   0     0 |mysqld               231558.5%   0    0 |python3.6            5832  273k 568k1.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Mar 31 03:08:46 cloud-provider-iscsi-0000000082 dstat.sh[23873]: 31-03 03:08:46| 13   6  69  12   0| 641M 4161M  145M 2918M|9107B 2160B|   0    67M|   0  1440 |3557  9142 |0.72 0.64 0.46|  0 1.0 1.0|   0     0 |mysqld               231558.2%   0    0 |keystone-manage      25186  41k  28k6.5%|mysqld       197M|   0     0 |  14    7    0    6    0
