-- Logs begin at Fri 2022-07-22 00:27:43 UTC, end at Fri 2022-07-22 02:35:02 UTC. --
Jul 22 01:58:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 22 01:58:43 ubuntu dstat.sh[91932]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 22 01:58:43 ubuntu dstat.sh[91932]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 22 01:58:43 ubuntu dstat.sh[91932]: 22-07 01:58:43|                   | 870M 1500M  187M 5066M|           |           |           |           |1.34 0.99 0.70|2.0   0    |           |   0     0 |  8    6    0   10    2
Jul 22 01:58:44 ubuntu dstat.sh[91932]: 22-07 01:58:44| 15  18  65   1   0| 871M 1498M  187M 5067M| 949k   28k|   0   495k|   0  17.0 |3099  3906 |1.34 0.99 0.70|2.0   0 358|   0     0 |   0     0 |  8    6    0   10    2
Jul 22 01:58:45 ubuntu dstat.sh[91932]: 22-07 01:58:45| 26  19  54   1   0| 826M 1541M  187M 5069M| 313k   27k|   0  1822k|   0  17.0 |3003  4864 |1.34 0.99 0.70|3.0   0 295|   0     0 |   0     0 |  8    4    0   10    2
Jul 22 01:58:46 ubuntu dstat.sh[91932]: 22-07 01:58:46| 42  17  40   0   0| 843M 1523M  187M 5070M|  13k 3934 |   0   475k|   0  13.0 |2626  6021 |1.34 0.99 0.70|2.0   0 199|   0     0 |   0     0 |  8    4    0   10    2
Jul 22 01:58:47 ubuntu dstat.sh[91932]: 22-07 01:58:47| 35  11  53   1   0|1002M 1363M  187M 5192M| 151k 8726 |   0   524k|   0  9.00 |2473  4157 |1.34 0.99 0.70|2.0   0 111|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:58:48 ubuntu dstat.sh[91932]: 22-07 01:58:48| 25   9  66   1   0|1002M 1364M  187M 5192M|  53k 6835 |   0   480k|   0  18.0 |1538  1751 |1.40 1.00 0.71|1.0   0 103|   0     0 |   0     0 |  9    7    0   10    2
Jul 22 01:58:49 ubuntu dstat.sh[91932]: 22-07 01:58:49| 24  10  63   1   0|1034M 1331M  187M 5192M| 120k   19k|   0    20M|   0   137 |2214  2596 |1.40 1.00 0.71|3.0   0 116|   0     0 |   0     0 |  9    7    0   12    2
Jul 22 01:58:50 ubuntu dstat.sh[91932]: 22-07 01:58:50| 31   5  64   1   0|1001M 1361M  187M 5195M| 911k   24k|  44k 1886k|6.01  10.0 |2251  1955 |1.40 1.00 0.71|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 22 01:58:51 ubuntu dstat.sh[91932]: 22-07 01:58:51| 35   1  64   1   0|1008M 1353M  187M 5196M| 607k   21k|   0  1234k|   0  15.0 |1739  1481 |1.40 1.00 0.71|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 22 01:58:52 ubuntu dstat.sh[91932]: 22-07 01:58:52| 17   3  67  13   0|1032M 1328M  187M 5197M|  96k   30k|   0  6825k|   0   503 |4022  7109 |1.40 1.00 0.71|  0 2.0  11|   0     0 |   0     0 |  9    8    0   12    2
Jul 22 01:58:53 ubuntu dstat.sh[91932]: 22-07 01:58:53|  8   4  66  21   1|1033M 1324M  187M 5199M|  82k   19k|   0  7344k|   0   675 |5129  9303 |1.52 1.04 0.72|  0 3.0   0|   0     0 |   0     0 |  9    8    0   12    2
Jul 22 01:58:54 ubuntu dstat.sh[91932]: 22-07 01:58:54| 10   5  62  22   0|1039M 1316M  188M 5200M| 282k   18k|   0    39M|   0   678 |4972  7927 |1.52 1.04 0.72|  0 1.0  19|   0     0 |   0     0 |  9    8    0   11    2
Jul 22 01:58:55 ubuntu dstat.sh[91932]: 22-07 01:58:55| 18   5  56  20   0|1065M 1286M  188M 5205M|  95k   22k|   0  9440k|   0   651 |5241  9283 |1.52 1.04 0.72|6.0   0  19|   0     0 |   0     0 |  9   10    0   11    2
Jul 22 01:58:56 ubuntu dstat.sh[91932]: 22-07 01:58:56| 31   2  47  19   0|1067M 1281M  188M 5207M|  27k   12k|   0  6472k|   0   611 |4858  8688 |1.52 1.04 0.72|1.0 2.0  14|   0     0 |   0     0 |  9   10    0   10    2
Jul 22 01:58:57 ubuntu dstat.sh[91932]: 22-07 01:58:57| 13   3  63  20   0|1048M 1298M  189M 5208M|  64k   25k|   0  6109k|   0   597 |5176  8967 |1.52 1.04 0.72|3.0   0  12|   0     0 |   0     0 |  9   10    0   10    2
Jul 22 01:58:58 ubuntu dstat.sh[91932]: 22-07 01:58:58| 19   3  68   8   0|1051M 1295M  189M 5209M| 175k  162k|   0  3020k|   0   337 |4841  8633 |1.56 1.05 0.73|  0 1.0   0|   0     0 |   0     0 |  9   10    0   10    2
Jul 22 01:58:59 ubuntu dstat.sh[91932]: 22-07 01:58:59| 22   5  71   1   0| 974M 1371M  189M 5209M|  44k 7300 |   0   728k|   0  45.0 |1636  2212 |1.56 1.05 0.73|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:00 ubuntu dstat.sh[91932]: 22-07 01:59:00| 23   4  73   0   0|1023M 1322M  189M 5209M| 201k 4925 |   0  7111k|   0   300 |1695  1160 |1.56 1.05 0.73|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 22 01:59:01 ubuntu dstat.sh[91932]: 22-07 01:59:01| 26   2  71   2   0|1040M 1304M  189M 5210M| 579k 8755 |   0  7182k|   0   386 |2512  2858 |1.56 1.05 0.73|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
