-- Logs begin at Fri 2020-03-27 14:56:23 UTC, end at Fri 2020-03-27 16:32:50 UTC. --
Mar 27 16:21:45 cloud-provider-iscsi-0000000052 systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 16:21:46 cloud-provider-iscsi-0000000052 dstat.sh[24526]: [286B blob data]
Mar 27 16:21:46 cloud-provider-iscsi-0000000052 dstat.sh[24526]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 16:21:46 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:46|  3   1  96   0   0| 418M 4238M  168M 2902M|   0     0 |  65k 1796k|2.35  16.7 | 631   980 |0.61 0.61 0.46|1.0   0  11|   0     0 |systemd              1    0.1%   0    0 |bash                 2022 1332k1167k0.1%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 27 16:21:47 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:47| 12  19  69   0   0| 418M 4238M  168M 2902M|7844B 2202B|   0  3624k|   0  32.0 |2651  6051 |0.61 0.61 0.46|1.0   0 493|   0     0 |bash                 2022 3.5%1717k  31k|bash                 2022 1717k  31k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 27 16:21:48 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:48| 13  20  67   0   0| 418M 4237M  168M 2903M|  15k 2202B|   0    32k|   0  8.00 |3194  6263 |0.61 0.61 0.46|1.0   0 362|   0     0 |systemd              1    3.2%   0    0 |bash                 2022 2959k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 27 16:21:49 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:49|  8   9  83   0   0| 543M 4111M  168M 3025M|  16k 2214B|   0     0 |   0     0 |3339  4200 |0.64 0.62 0.47|  0   0  86|   0     0 |systemd              1    6.0%   0    0 |bash                 2022  246k 656B0.2%|mysqld       173M|   0     0 |  14    3    0    3    0
Mar 27 16:21:50 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:50| 10  13  77   0   0| 550M 4104M  168M 3025M|7083B 2052B|   0     0 |   0     0 |1988  3782 |0.64 0.62 0.47|1.0   0 296|   0     0 |keystone-manage      258443.8%1408k  79k|keystone-manage      258441408k  79k3.8%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 27 16:21:51 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:51| 22   4  74   0   0| 587M 4067M  168M 3025M|7279B 2160B|  76k    0 |2.00     0 | 672   664 |0.64 0.62 0.47|1.0   0 1.0|   0     0 |keystone-manage      25844 25%9070k  83k|keystone-manage      258449070k  83k 25%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 27 16:21:52 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:52| 19   4  71   6   0| 627M 4025M  168M 3027M|7853B 2052B|  84k 4096k|11.0   126 |1395  2432 |0.64 0.62 0.47|1.0   0   0|   0     0 |keystone-manage      25844 18%7120k 679k|keystone-manage      258447120k 679k 18%|mysqld       186M|   0     0 |  14    7    0    5    0
Mar 27 16:21:53 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:53|  7   3  73  16   0| 631M 4019M  169M 3028M|5960B 2106B|   0  8628k|   0   772 |3680  6713 |0.64 0.62 0.47|2.0 1.0   0|   0     0 |mysqld               238045.2%   0    0 |python2              24579  14k 457B  0%|mysqld       190M|   0     0 |  14    7    0    5    0
Mar 27 16:21:54 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:54|  8   4  73  15   0| 634M 3949M  169M 3093M|6811B 2160B|   0    71M|   0   643 |3709  6331 |0.75 0.64 0.48|  0 1.0   0|   0     0 |mysqld               238045.8%   0    0 |keystone-manage      25844  21k  14k3.8%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 27 16:21:55 cloud-provider-iscsi-0000000052 dstat.sh[24526]: 27-03 16:21:55| 11   4  72  13   0| 636M 3946M  170M 3093M|8316B 2160B|   0  8060k|   0   710 |4181  8405 |0.75 0.64 0.48|1.0   0   0|   0     0 |mysqld               238046.5%   0    0 |keystone-manage      25844  31k  17k6.2%|mysqld       194M|   0     0 |  14    7    0    5    0
