-- Logs begin at Mon 2022-08-01 17:10:28 UTC, end at Mon 2022-08-01 18:15:16 UTC. --
Aug 01 18:02:37 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 18:02:37 ubuntu dstat.sh[91877]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 18:02:37 ubuntu dstat.sh[91877]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 18:02:37 ubuntu dstat.sh[91877]: 01-08 18:02:37|                   | 927M 1457M  186M 5053M|           |           |           |           |1.70 1.21 0.79|3.0   0    |           |   0     0 |  8    7    0   10    2
Aug 01 18:02:38 ubuntu dstat.sh[91877]: 01-08 18:02:38| 29  18  51   1   0| 916M 1466M  186M 5055M|1480k   51k|   0  2901k|   0  28.0 |4598  5671 |1.70 1.21 0.79|3.0   0 426|   0     0 |   0     0 |  8    6    0   10    2
Aug 01 18:02:39 ubuntu dstat.sh[91877]: 01-08 18:02:39| 37  14  38  10   0| 907M 1473M  186M 5057M|  78k 6759 |   0    16M|   0   144 |4286  5724 |1.70 1.21 0.79|4.0   0 289|   0     0 |   0     0 |  8    6    0   10    2
Aug 01 18:02:40 ubuntu dstat.sh[91877]: 01-08 18:02:40| 34  19  47   0   0| 913M 1467M  186M 5057M| 119k 7532 |   0   388k|   0  11.0 |4466  7748 |1.70 1.21 0.79|2.0   0 208|   0     0 |   0     0 |  8    6    1   10    2
Aug 01 18:02:41 ubuntu dstat.sh[91877]: 01-08 18:02:41| 13  12  74   0   0|1062M 1317M  186M 5180M|  27k 5405 |   0   308k|   0  7.00 |2587  3753 |1.64 1.21 0.79|1.0   0 119|   0     0 |   0     0 |  9    9    0   10    2
Aug 01 18:02:42 ubuntu dstat.sh[91877]: 01-08 18:02:42| 22   9  68   1   0|1061M 1318M  186M 5180M| 144k 8174 |   0   677k|   0  20.0 |1829  2419 |1.64 1.21 0.79|3.0   0 132|   0     0 |   0     0 |  9    9    0   10    2
Aug 01 18:02:43 ubuntu dstat.sh[91877]: 01-08 18:02:43| 25   7  66   1   0|1040M 1339M  186M 5180M|  50k   16k|   0   900k|   0  31.0 |1672  2333 |1.64 1.21 0.79|1.0   0  75|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 18:02:44 ubuntu dstat.sh[91877]: 01-08 18:02:44| 26   3  68   1   0|1086M 1291M  186M 5181M|  68k 5652 |  44k   11M|5.99  49.9 |1234  1340 |1.64 1.21 0.79|1.0   0   0|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 18:02:45 ubuntu dstat.sh[91877]: 01-08 18:02:45| 28   2  68   2   0|1100M 1276M  186M 5182M|  66k   13k|   0  1097k|   0  72.0 |1630  2336 |1.64 1.21 0.79|  0 1.0 1.0|   0     0 |   0     0 |  9   10    0   13    2
Aug 01 18:02:46 ubuntu dstat.sh[91877]: 01-08 18:02:46|  7   4  61  26   0|1111M 1263M  186M 5184M| 178k   11k|   0    12M|   0   934 |6238    11k|1.75 1.24 0.80|  0 3.0  10|   0     0 |   0     0 |  9   10    0   11    2
Aug 01 18:02:47 ubuntu dstat.sh[91877]: 01-08 18:02:47|  8   3  64  21   0|1096M 1276M  187M 5185M| 104k   11k|   0  8396k|   0   740 |5596  9664 |1.75 1.24 0.80|2.0 1.0  12|   0     0 |   0     0 |  9   10    0   11    2
Aug 01 18:02:48 ubuntu dstat.sh[91877]: 01-08 18:02:48|  9   3  67  21   0|1097M 1271M  187M 5188M|  69k 9889 |   0  7065k|   0   606 |5288  9106 |1.75 1.24 0.80|1.0 2.0  20|   0     0 |   0     0 |  9   10    0   11    2
Aug 01 18:02:49 ubuntu dstat.sh[91877]: 01-08 18:02:49|  8   3  64  22   0|1100M 1267M  187M 5189M| 162k   12k|   0    40M|   0   720 |5146  8724 |1.75 1.24 0.80|1.0   0  14|   0     0 |   0     0 |  9   10    0   11    2
Aug 01 18:02:50 ubuntu dstat.sh[91877]: 01-08 18:02:50|  8   4  68  20   0|1101M 1261M  188M 5194M| 990k   23k|   0  7404k|   0   647 |6045  9428 |1.75 1.24 0.80|  0 1.0 4.0|   0     0 |   0     0 |  9   10    0   11    2
Aug 01 18:02:51 ubuntu dstat.sh[91877]: 01-08 18:02:51| 23   4  62  10   0|1012M 1350M  188M 5194M| 199k   12k|   0  2212k|   0   263 |3466  5519 |1.77 1.25 0.81|1.0   0  41|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:52 ubuntu dstat.sh[91877]: 01-08 18:02:52| 22   4  72   0   0|1054M 1307M  188M 5195M| 532k   11k|   0   564k|   0  3.00 |1625  1836 |1.77 1.25 0.81|1.0   0  48|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:53 ubuntu dstat.sh[91877]: 01-08 18:02:53| 25   2  70   1   0|1099M 1262M  188M 5195M| 130k 5140 |   0  7379k|   0   391 |2096  2949 |1.77 1.25 0.81|1.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:54 ubuntu dstat.sh[91877]: 01-08 18:02:54| 27   1  68   3   0|1104M 1256M  188M 5195M| 137k 5875 |   0  9029k|   0   417 |2144  3044 |1.77 1.25 0.81|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:55 ubuntu dstat.sh[91877]: 01-08 18:02:55| 23   4  70   2   0|1049M 1311M  188M 5195M| 137k 5426 |   0  7250k|   0   394 |2121  2995 |1.77 1.25 0.81|1.0   0  11|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:56 ubuntu dstat.sh[91877]: 01-08 18:02:56| 27   4  68   2   0|1097M 1263M  188M 5196M| 109k 4368 |   0  7402k|   0   388 |2084  2939 |1.71 1.25 0.81|1.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:02:57 ubuntu dstat.sh[91877]: 01-08 18:02:57| 28   0  71   0   0|1103M 1256M  188M 5196M| 378k   10k|   0   832k|   0  35.0 |1319  1439 |1.71 1.25 0.81|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   11    2
