-- Logs begin at Thu 2022-09-29 16:28:56 UTC, end at Thu 2022-09-29 18:01:07 UTC. --
Sep 29 17:22:10 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 17:22:11 ubuntu dstat.sh[80869]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 17:22:11 ubuntu dstat.sh[80869]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 17:22:11 ubuntu dstat.sh[80869]: 29-09 17:22:11|                   | 836M 1643M  188M 4962M|           |           |           |           |1.66 1.02 0.66|4.0 6.0    |           |   0     0 |  8    4    0   10    2
Sep 29 17:22:12 ubuntu dstat.sh[80869]: 29-09 17:22:12| 12  15  54  18   0| 836M 1643M  188M 4962M|  97k 5583 |   0  1017k|   0  23.8 |2141  3067 |1.66 1.02 0.66|2.5 5.0 291|   0     0 |   0     0 |  8    4    0   10    2
Sep 29 17:22:13 ubuntu dstat.sh[80869]: 29-09 17:22:13| 16  13  57  11   0| 824M 1654M  188M 4963M| 164k 6901 |   0   624k|   0  19.4 |2806  4226 |1.66 1.02 0.66|2.0   0 222|   0     0 |   0     0 |  8    4    0   10    2
Sep 29 17:22:14 ubuntu dstat.sh[80869]: 29-09 17:22:14| 22  16  61   0   0| 825M 1653M  188M 4963M| 224k 9367 |   0   572k|   0  11.0 |4560  8537 |1.66 1.02 0.66|2.0   0 136|   0     0 |   0     0 |  8    4    0    8    2
Sep 29 17:22:15 ubuntu dstat.sh[80869]: 29-09 17:22:15|  7   5  87   0   0| 967M 1510M  188M 5085M|  78k 6410 |   0   400k|   0  8.99 |1840  2884 |1.69 1.04 0.67|1.0   0  48|   0     0 |   0     0 |  9    6    0    8    2
Sep 29 17:22:16 ubuntu dstat.sh[80869]: 29-09 17:22:16| 19   7  69   4   0| 973M 1504M  188M 5086M| 153k 6823 |   0   520k|   0  16.0 |1675  1957 |1.69 1.04 0.67|2.0   0  89|   0     0 |   0     0 |  9    6    0    8    2
Sep 29 17:22:17 ubuntu dstat.sh[80869]: 29-09 17:22:17| 17  10  66   5   0| 986M 1490M  188M 5087M| 139k   18k|   0   717k|   0  33.0 |2214  3116 |1.69 1.04 0.67|1.0 1.0 177|   0     0 |   0     0 |  9    6    0   10    2
Sep 29 17:22:18 ubuntu dstat.sh[80869]: 29-09 17:22:18| 25   3  70   1   0|1021M 1455M  188M 5087M|  43k 4618 |  92k 1132k|7.00  11.0 |1192  1322 |1.69 1.04 0.67|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 29 17:22:19 ubuntu dstat.sh[80869]: 29-09 17:22:19| 26   3  70   1   0|1043M 1432M  188M 5088M|  45k 5848 | 104k 1185k|7.01  23.0 |1267  1433 |1.69 1.04 0.67|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 29 17:22:20 ubuntu dstat.sh[80869]: 29-09 17:22:20| 17   3  63  16   0|1061M 1412M  189M 5089M|  76k   15k|  12k 5700k|1.00   427 |3677  5972 |1.63 1.04 0.67|6.0   0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:21 ubuntu dstat.sh[80869]: 29-09 17:22:21|  7   3  66  23   0|1062M 1409M  189M 5090M| 182k   12k|   0    13M|   0   334 |3629  6046 |1.63 1.04 0.67|1.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:22 ubuntu dstat.sh[80869]: 29-09 17:22:22|  6   2  67  23   0|1063M 1407M  189M 5092M|  36k 8946 |   0  5591k|   0   488 |4294  7506 |1.63 1.04 0.67|3.0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:23 ubuntu dstat.sh[80869]: 29-09 17:22:23|  8   2  68  21   1|1070M 1399M  189M 5093M|  49k 9311 |   0  4014k|   0   401 |3281  6743 |1.63 1.04 0.67|  0 2.0  18|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:24 ubuntu dstat.sh[80869]: 29-09 17:22:24|  6   3  68  22   0|1072M 1394M  190M 5095M| 911k   28k|   0  5230k|   0   428 |5065  7866 |1.63 1.04 0.67|  0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:25 ubuntu dstat.sh[80869]: 29-09 17:22:25|  6   2  67  23   0|1073M 1390M  190M 5098M| 673k   22k|   0  4521k|   0   231 |3637  5535 |1.58 1.04 0.67|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:26 ubuntu dstat.sh[80869]: 29-09 17:22:26| 10   2  62  24   0|1079M 1383M  190M 5099M| 334k   13k|   0  3113k|   0   224 |3283  5404 |1.58 1.04 0.67|  0 2.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:27 ubuntu dstat.sh[80869]: 29-09 17:22:27|  2   1  37  60   0|1074M 1386M  190M 5100M| 281k 8089 |   0    34M|   0   313 |1768  1600 |1.58 1.04 0.67|  0 3.0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:28 ubuntu dstat.sh[80869]: 29-09 17:22:28|  2   0  52  44   0|1075M 1386M  190M 5099M|  13k 3466 |   0  3683k|   0   176 |1421  2172 |1.58 1.04 0.67|  0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:29 ubuntu dstat.sh[80869]: 29-09 17:22:29|  7   1  66  26   0|1076M 1384M  190M 5100M|  93k 8943 |   0  2323k|   0   182 |2870  4810 |1.58 1.04 0.67|  0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:30 ubuntu dstat.sh[80869]: 29-09 17:22:30|  8   1  66  22   0|1077M 1382M  190M 5101M|  71k 8489 |   0  3220k|   0   270 |3245  5903 |1.53 1.03 0.67|1.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:31 ubuntu dstat.sh[80869]: 29-09 17:22:31|  5   2  68  22   0|1078M 1379M  190M 5102M| 282k   13k|   0  3864k|   0   292 |3713  6284 |1.53 1.03 0.67|  0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 29 17:22:32 ubuntu dstat.sh[80869]: 29-09 17:22:32| 18   5  56  21   0|1082M 1373M  191M 5105M|  76k 6219 |   0  3563k|   0   241 |3166  5458 |1.53 1.03 0.67|  0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
