-- Logs begin at Wed 2022-09-28 10:53:02 UTC, end at Wed 2022-09-28 12:50:21 UTC. --
Sep 28 12:10:56 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 28 12:10:56 ubuntu dstat.sh[72705]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 28 12:10:56 ubuntu dstat.sh[72705]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 28 12:10:56 ubuntu dstat.sh[72705]: 28-09 12:10:56|                   | 827M 1662M  186M 4960M|           |           |           |           |1.30 0.93 0.60|1.0   0    |           |   0     0 |  8    4    0   10    2
Sep 28 12:10:57 ubuntu dstat.sh[72705]: 28-09 12:10:57| 13  21  65   1   0| 828M 1660M  186M 4960M| 153k 6989 |   0    12M|   0   237 |3482  4827 |1.30 0.93 0.60|1.5   0 382|   0     0 |   0     0 |  8    4    0   10    2
Sep 28 12:10:58 ubuntu dstat.sh[72705]: 28-09 12:10:58| 17  18  64   0   0| 818M 1669M  186M 4961M| 140k 6067 |   0   800k|   0   125 |3128  4466 |1.30 0.93 0.60|1.0   0 321|   0     0 |   0     0 |  8    4    0   10    2
Sep 28 12:10:59 ubuntu dstat.sh[72705]: 28-09 12:10:59| 20  18  60   0   0| 821M 1666M  186M 4962M|  46k 5003 |   0   755k|   0  12.0 |3479  5741 |1.30 0.93 0.60|1.0   0 181|   0     0 |   0     0 |  8    4    0   10    2
Sep 28 12:11:00 ubuntu dstat.sh[72705]: 28-09 12:11:00| 11   8  80   1   0| 963M 1523M  186M 5084M|  84k 7767 |   0   813k|   0  12.0 |2579  5375 |1.30 0.93 0.60|2.0   0  59|   0     0 |   0     0 |  9    6    0    9    2
Sep 28 12:11:01 ubuntu dstat.sh[72705]: 28-09 12:11:01| 23   8  68   0   0| 963M 1523M  187M 5084M|  31k 4782 |   0   532k|   0  17.0 |1525  1933 |1.44 0.96 0.61|1.0 1.0  95|   0     0 |   0     0 |  9    6    0    9    2
Sep 28 12:11:02 ubuntu dstat.sh[72705]: 28-09 12:11:02| 19  11  68   1   0| 989M 1496M  187M 5084M| 165k   20k|   0    11M|   0  64.0 |2241  3156 |1.44 0.96 0.61|1.0   0 171|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:03 ubuntu dstat.sh[72705]: 28-09 12:11:03| 25   3  71   1   0|1023M 1461M  187M 5085M|  55k 5722 | 196k 1120k|14.0  9.00 |1187  1382 |1.44 0.96 0.61|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 28 12:11:04 ubuntu dstat.sh[72705]: 28-09 12:11:04| 24   2  69   3   0|1046M 1437M  187M 5087M| 573k   26k|  12k 2395k|1.00   117 |2539  3190 |1.44 0.96 0.61|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 28 12:11:05 ubuntu dstat.sh[72705]: 28-09 12:11:05|  9   4  63  23   0|1056M 1423M  187M 5090M| 753k   27k|   0    13M|   0   945 |7035    11k|1.44 0.96 0.61|2.0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Sep 28 12:11:06 ubuntu dstat.sh[72705]: 28-09 12:11:06| 15   3  60  20   0|1065M 1411M  188M 5092M| 433k   21k|   0  7397k|   0   623 |5434  9516 |1.48 0.98 0.62|2.0   0  17|   0     0 |   0     0 |  9    8    0   10    2
Sep 28 12:11:07 ubuntu dstat.sh[72705]: 28-09 12:11:07|  9   4  64  22   0|1066M 1407M  188M 5095M| 542k   21k|   0    40M|   0   693 |5685  8783 |1.48 0.98 0.62|1.0   0  17|   0     0 |   0     0 |  9    8    0   10    2
Sep 28 12:11:08 ubuntu dstat.sh[72705]: 28-09 12:11:08| 10   3  67  19   0|1068M 1402M  188M 5097M|  44k   11k|   0  6784k|   0   628 |5411  9829 |1.48 0.98 0.62|  0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
