-- Logs begin at Mon 2022-08-01 14:32:56 UTC, end at Mon 2022-08-01 16:08:06 UTC. --
Aug 01 15:30:25 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 15:30:25 ubuntu dstat.sh[93382]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 15:30:25 ubuntu dstat.sh[93382]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 15:30:25 ubuntu dstat.sh[93382]: 01-08 15:30:25|                   | 805M 1571M  187M 5059M|           |           |           |           |1.61 0.89 0.58|5.0   0    |           |   0     0 |  8    4    0   10    2
Aug 01 15:30:26 ubuntu dstat.sh[93382]: 01-08 15:30:26| 12  20  65   1   0| 806M 1570M  187M 5060M|  42k 5032 |   0    11M|   0   207 |2832  4699 |1.61 0.89 0.58|3.0   0 436|   0     0 |   0     0 |  8    4    0   10    2
Aug 01 15:30:27 ubuntu dstat.sh[93382]: 01-08 15:30:27| 22  19  57   1   0| 789M 1586M  187M 5060M|  24k 3585 |   0   547k|   0   116 |2804  5560 |1.61 0.89 0.58|4.0   0 373|   0     0 |   0     0 |  8    4    0   10    2
Aug 01 15:30:28 ubuntu dstat.sh[93382]: 01-08 15:30:28| 31  31  36   1   0| 788M 1586M  187M 5061M| 152k 8102 |   0   611k|   0  28.1 |4546    12k|1.61 0.89 0.58|2.0   0 887|   0     0 |   0     0 |  7    4    0   10    2
Aug 01 15:30:29 ubuntu dstat.sh[93382]: 01-08 15:30:29| 22  24  51   1   0| 935M 1439M  187M 5183M|  50k 6139 |   0  1083k|   0  94.9 |4301  8191 |1.61 0.89 0.58|4.0   0 802|   0     0 |   0     0 |  8    6    0   10    2
Aug 01 15:30:30 ubuntu dstat.sh[93382]: 01-08 15:30:30| 26  26  45   1   0| 941M 1432M  187M 5184M| 571k   27k|   0  1121k|   0   116 |4691  8017 |1.64 0.91 0.59|3.0   0 933|   0     0 |   0     0 |  8    6    0   12    2
Aug 01 15:30:31 ubuntu dstat.sh[93382]: 01-08 15:30:31| 33  20  44   1   0| 995M 1376M  187M 5185M| 412k   14k|   0    43M|   0   269 |4123  6379 |1.64 0.91 0.59|6.0   0 661|   0     0 |   0     0 |  8    6    0   12    2
Aug 01 15:30:32 ubuntu dstat.sh[93382]: 01-08 15:30:32| 41  20  37   1   0|1004M 1367M  187M 5186M| 205k   10k|  44k 2277k|6.00   104 |3834  7013 |1.64 0.91 0.59|3.0   0 760|   0     0 |   0     0 |  8    6    0   10    2
Aug 01 15:30:33 ubuntu dstat.sh[93382]: 01-08 15:30:33| 29  18  45   7   0|1026M 1343M  187M 5187M| 486k   24k|   0  6928k|   0   374 |5544  9710 |1.64 0.91 0.59|2.0 1.0 697|   0     0 |   0     0 |  8    8    0   10    2
Aug 01 15:30:34 ubuntu dstat.sh[93382]: 01-08 15:30:34| 13  17  47  20   0|1028M 1340M  188M 5188M|  91k 9329 |   0  5898k|   0   357 |9853    19k|1.64 0.91 0.59|1.0 2.0 500|   0     0 |   0     0 |  8    8    0   10    2
Aug 01 15:30:35 ubuntu dstat.sh[93382]: 01-08 15:30:35| 21  12  44  20   0|1037M 1328M  188M 5190M|  51k   11k|   0  8784k|   0   746 |  28k   56k|1.83 0.96 0.61|  0 1.0  81|   0     0 |   0     0 |  9    8    0   10    2
Aug 01 15:30:36 ubuntu dstat.sh[93382]: 01-08 15:30:36|  9   6  61  22   0|1040M 1323M  188M 5192M| 277k   15k|   0    16M|   0   948 |6409    10k|1.83 0.96 0.61|1.0 1.0 109|   0     0 |   0     0 |  9    8    0   10    2
