-- Logs begin at Mon 2022-08-01 14:39:29 UTC, end at Mon 2022-08-01 16:01:31 UTC. --
Aug 01 15:48:42 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 15:48:43 ubuntu dstat.sh[104194]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 15:48:43 ubuntu dstat.sh[104194]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 15:48:43 ubuntu dstat.sh[104194]: 01-08 15:48:43|                   | 919M 1466M  189M 5048M|           |           |           |           |1.04 0.56 0.38|8.0   0    |           |   0     0 |  8    6    1   10    2
Aug 01 15:48:44 ubuntu dstat.sh[104194]: 01-08 15:48:44| 28  22  48   1   0| 923M 1462M  189M 5048M| 727k   16k|   0  4010k|   0  23.0 |3294  4695 |1.08 0.57 0.38|5.5   0 406|   0     0 |   0     0 |  8    6    2   10    2
Aug 01 15:48:45 ubuntu dstat.sh[104194]: 01-08 15:48:45| 18  18  63   0   0| 905M 1477M  189M 5052M|1559k   31k|   0    20k|   0  14.0 |3474  5664 |1.12 0.59 0.39|2.0   0 313|   0     0 |   0     0 |  8    7    1   10    2
Aug 01 15:48:46 ubuntu dstat.sh[104194]: 01-08 15:48:46| 26  18  55   1   0| 912M 1467M  189M 5055M|1338k   32k|   0    13M|   0  83.0 |3881  6560 |1.12 0.59 0.39|1.0   0 173|   0     0 |   0     0 |  8    8    1   10    2
Aug 01 15:48:47 ubuntu dstat.sh[104194]: 01-08 15:48:47| 13   7  78   1   0|1054M 1322M  189M 5179M|1151k   26k|   0  2629k|   0  13.0 |3043  3513 |1.12 0.59 0.39|3.0   0  39|   0     0 |   0     0 |  9    6    1   10    4
Aug 01 15:48:48 ubuntu dstat.sh[104194]: 01-08 15:48:48| 41  11  47   0   0|1047M 1328M  189M 5179M| 302k   13k|   0   668k|   0  16.0 |2073  2546 |1.12 0.59 0.39|2.0   0 114|   0     0 |   0     0 |  9    8    1   10    2
Aug 01 15:48:49 ubuntu dstat.sh[104194]: 01-08 15:48:49| 40  14  44   1   0|1079M 1295M  189M 5180M| 550k   35k|   0   811k|   0  26.0 |2760  3153 |1.19 0.61 0.40|2.0   0 179|   0     0 |   0     0 |  9    8    1   12    2
Aug 01 15:48:50 ubuntu dstat.sh[104194]: 01-08 15:48:50| 30   7  62   2   0|1112M 1259M  189M 5184M| 869k   19k|  44k 2809k|6.00  31.0 |2124  1850 |1.19 0.61 0.40|2.0   0 4.0|   0     0 |   0     0 |  9    7    1   12    4
Aug 01 15:48:51 ubuntu dstat.sh[104194]: 01-08 15:48:51| 33   2  63   2   0|1062M 1308M  189M 5184M| 130k 8497 |   0    10M|   0  45.0 |1373  1310 |1.19 0.61 0.40|2.0 1.0 1.0|   0     0 |   0     0 |  9    6    1   12    3
Aug 01 15:48:52 ubuntu dstat.sh[104194]: 01-08 15:48:52| 18   2  64  14   0|1021M 1348M  189M 5185M|  57k   16k|   0  4713k|   0   364 |3634  5952 |1.19 0.61 0.40|  0 1.0 7.0|   0     0 |   0     0 |  9    8    1   10    2
