-- Logs begin at Mon 2022-09-26 00:45:40 UTC, end at Mon 2022-09-26 06:00:52 UTC. --
Sep 26 05:21:31 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 26 05:21:32 ubuntu dstat.sh[72444]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 26 05:21:32 ubuntu dstat.sh[72444]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 26 05:21:32 ubuntu dstat.sh[72444]: 26-09 05:21:32|                   | 841M 1644M  185M 4964M|           |           |           |           |1.12 0.82 0.55|2.0   0    |           |   0     0 |  8    4    0   10    1
Sep 26 05:21:33 ubuntu dstat.sh[72444]: 26-09 05:21:33| 10  19  68   1   0| 842M 1643M  185M 4964M| 184k 8010 |   0   824k|   0  24.0 |2555  4029 |1.12 0.82 0.55|2.0   0 345|   0     0 |   0     0 |  8    4    0   10    1
Sep 26 05:21:34 ubuntu dstat.sh[72444]: 26-09 05:21:34| 17  17  64   2   0| 828M 1655M  186M 4964M|  23k 4577 |   0   881k|   0  20.5 |3144  5324 |1.11 0.82 0.55|3.0   0 303|   0     0 |   0     0 |  8    4    0   10    1
Sep 26 05:21:35 ubuntu dstat.sh[72444]: 26-09 05:21:35| 22  17  60   0   0| 830M 1653M  186M 4965M| 349k   12k|   0   568k|   0  9.99 |3565  7320 |1.11 0.82 0.55|1.0   0 211|   0     0 |   0     0 |  8    4    0   10    1
Sep 26 05:21:36 ubuntu dstat.sh[72444]: 26-09 05:21:36| 12   9  76   3   0| 975M 1506M  186M 5089M|1088k   27k|   0    23M|   0   455 |4088  4244 |1.11 0.82 0.55|3.0   0  92|   0     0 |   0     0 |  9    6    0   10    1
Sep 26 05:21:37 ubuntu dstat.sh[72444]: 26-09 05:21:37| 24   6  68   1   0| 980M 1500M  186M 5090M| 312k   11k|   0  1201k|   0  18.0 |1746  1894 |1.11 0.82 0.55|3.0   0  58|   0     0 |   0     0 |  9    6    0   10    1
Sep 26 05:21:38 ubuntu dstat.sh[72444]: 26-09 05:21:38| 26   9  65   0   0|1003M 1476M  186M 5091M| 496k   27k|   0  1544k|   0  27.9 |2534  3434 |1.10 0.83 0.55|2.0   0 177|   0     0 |   0     0 |  9    6    0   10    1
Sep 26 05:21:39 ubuntu dstat.sh[72444]: 26-09 05:21:39| 23   4  71   2   0|1035M 1443M  186M 5091M|  84k 6593 | 196k 1037k|14.0  10.0 |1127  1392 |1.10 0.83 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    1
Sep 26 05:21:40 ubuntu dstat.sh[72444]: 26-09 05:21:40| 26   2  69   2   0|1059M 1418M  186M 5092M|  75k   14k|  12k 1736k|1.00  47.0 |1432  1933 |1.10 0.83 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    1
Sep 26 05:21:41 ubuntu dstat.sh[72444]: 26-09 05:21:41| 14   6  54  26   0|1087M 1386M  186M 5095M|  79k 9332 |   0    45M|   0   972 |5657  9520 |1.10 0.83 0.55|1.0 2.0  12|   0     0 |   0     0 |  9    8    0   10    1
Sep 26 05:21:42 ubuntu dstat.sh[72444]: 26-09 05:21:42| 10   3  64  20   0|1075M 1394M  187M 5098M| 278k   17k|   0  7784k|   0   654 |5610  9714 |1.10 0.83 0.55|1.0   0 8.0|   0     0 |   0     0 |  9    8    0   10    1
Sep 26 05:21:43 ubuntu dstat.sh[72444]: 26-09 05:21:43| 11   4  65  20   0|1078M 1389M  187M 5101M|  54k 9931 |   0  7023k|   0   624 |5487  9427 |1.09 0.83 0.55|2.0 1.0  24|   0     0 |   0     0 |  9    8    0   10    1
