-- Logs begin at Mon 2022-08-01 17:15:25 UTC, end at Mon 2022-08-01 18:21:08 UTC. --
Aug 01 18:08:30 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 18:08:30 ubuntu dstat.sh[91840]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 18:08:30 ubuntu dstat.sh[91840]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 18:08:30 ubuntu dstat.sh[91840]: 01-08 18:08:30|                   | 926M 1457M  188M 5052M|           |           |           |           |1.39 0.95 0.66|1.0   0    |           |   0     0 |  8    7    0   11    2
Aug 01 18:08:31 ubuntu dstat.sh[91840]: 01-08 18:08:31| 13  19  66   1   0| 927M 1454M  188M 5054M|2044k   73k|   0  8776k|   0   216 |5578  5154 |1.39 0.95 0.66|1.5 0.5 395|   0     0 |   0     0 |  8    6    0   11    3
Aug 01 18:08:32 ubuntu dstat.sh[91840]: 01-08 18:08:32| 48  20  29   2   0| 896M 1483M  188M 5056M|  86k 7424 |   0   528k|   0   117 |4460  5770 |1.39 0.95 0.66|2.0   0 350|   0     0 |   0     0 |  8    6    0   11    2
Aug 01 18:08:33 ubuntu dstat.sh[91840]: 01-08 18:08:33| 49  19  30   0   0| 935M 1443M  188M 5069M| 129k 9560 |   0   479k|   0  9.99 |4531    12k|1.44 0.96 0.67| 11   0 153|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 18:08:34 ubuntu dstat.sh[91840]: 01-08 18:08:34| 15   9  75   1   0|1055M 1321M  188M 5180M| 224k   10k|   0   588k|   0  11.0 |1974  2761 |1.44 0.96 0.67|1.0   0  91|   0     0 |   0     0 |  9    9    0   11    2
Aug 01 18:08:35 ubuntu dstat.sh[91840]: 01-08 18:08:35| 23  10  65   1   0|1054M 1322M  188M 5181M| 629k   37k|   0   737k|   0  31.0 |2599  2907 |1.44 0.96 0.67|2.0   0 175|   0     0 |   0     0 |  9    8    0   13    3
Aug 01 18:08:36 ubuntu dstat.sh[91840]: 01-08 18:08:36| 32   6  59   1   0| 964M 1410M  188M 5182M| 615k   24k|   0  3750k|   0  40.9 |2189  1816 |1.44 0.96 0.67|2.0   0  26|   0     0 |   0     0 |  9    6    0   13    2
Aug 01 18:08:37 ubuntu dstat.sh[91840]: 01-08 18:08:37| 26   5  68   1   0| 988M 1385M  188M 5183M| 147k 7680 |  44k   19M|6.00  86.0 |1456  1521 |1.44 0.96 0.67|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   13    2
Aug 01 18:08:38 ubuntu dstat.sh[91840]: 01-08 18:08:38| 28   1  69   1   0|1003M 1369M  188M 5184M|  55k 5433 |   0   832k|   0  19.0 |1171  1275 |1.56 1.00 0.68|2.0   0   0|   0     0 |   0     0 |  9    6    0   13    2
Aug 01 18:08:39 ubuntu dstat.sh[91840]: 01-08 18:08:39| 13   4  65  17   0|1023M 1348M  188M 5185M|  61k   17k|   0  8284k|   0   610 |4050  7733 |1.56 1.00 0.68|2.0   0  10|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 18:08:40 ubuntu dstat.sh[91840]: 01-08 18:08:40|  7   2  66  23   0|1024M 1345M  188M 5186M|  97k   12k|   0  6651k|   0   568 |4415  8870 |1.56 1.00 0.68|  0 1.0 3.0|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 18:08:41 ubuntu dstat.sh[91840]: 01-08 18:08:41|  7   2  67  22   0|1031M 1335M  189M 5189M| 908k   27k|   0  4505k|   0   388 |4767  7872 |1.56 1.00 0.68|2.0 1.0  13|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:08:42 ubuntu dstat.sh[91840]: 01-08 18:08:42| 13   3  64  19   0|1034M 1328M  189M 5192M| 528k   20k|   0    17M|   0   606 |4714  8775 |1.56 1.00 0.68|  0 1.0  19|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:08:43 ubuntu dstat.sh[91840]: 01-08 18:08:43|  7   2  67  22   0|1036M 1325M  189M 5194M| 117k   11k|   0  5979k|   0   528 |4497  8327 |1.68 1.03 0.69|1.0 1.0  13|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:08:44 ubuntu dstat.sh[91840]: 01-08 18:08:44|  9   2  65  21   0|1038M 1321M  190M 5195M|  87k   11k|   0  6280k|   0   571 |4900  8755 |1.68 1.03 0.69|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 18:08:45 ubuntu dstat.sh[91840]: 01-08 18:08:45| 21   2  66  11   0|1041M 1317M  190M 5196M|  61k   11k|   0  3244k|   0   361 |3538  5995 |1.68 1.03 0.69|1.0   0  12|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:46 ubuntu dstat.sh[91840]: 01-08 18:08:46| 25   9  65   1   0| 995M 1362M  190M 5197M|  95k 5911 |   0   789k|   0  27.0 |1622  1997 |1.68 1.03 0.69|2.0   0  78|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:47 ubuntu dstat.sh[91840]: 01-08 18:08:47| 46   6  47   2   0|1054M 1300M  190M 5199M|7275  1620 |   0    33M|   0   547 |2618  3025 |1.68 1.03 0.69|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:48 ubuntu dstat.sh[91840]: 01-08 18:08:48| 37   2  59   2   0|1039M 1316M  190M 5199M|  12k 3309 |   0  7140k|   0   395 |2136  2824 |1.70 1.05 0.70|1.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:49 ubuntu dstat.sh[91840]: 01-08 18:08:49| 26   4  68   2   0| 980M 1373M  190M 5199M| 304k   12k|   0  7719k|   0   418 |2621  3310 |1.70 1.05 0.70|1.0   0  12|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:50 ubuntu dstat.sh[91840]: 01-08 18:08:50| 25   3  69   1   0|1027M 1326M  190M 5200M| 658k   18k|   0  7323k|   0   379 |3092  3625 |1.70 1.05 0.70|1.0   0 4.0|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 18:08:51 ubuntu dstat.sh[91840]: 01-08 18:08:51| 44   3  52   0   0|1058M 1289M  191M 5205M| 233k 6562 |   0  2588k|   0  84.1 |1561  1807 |1.70 1.05 0.70|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
