-- Logs begin at Thu 2022-05-12 19:17:07 UTC, end at Thu 2022-05-12 20:56:07 UTC. --
May 12 20:17:53 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 12 20:17:53 ubuntu dstat.sh[79421]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 12 20:17:53 ubuntu dstat.sh[79421]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 12 20:17:53 ubuntu dstat.sh[79421]: 12-05 20:17:53|                   |1040M 1487M  189M 4916M|           |           |           |           |1.46 1.10 0.75|2.0   0    |           |   0     0 |  8   10    0   12    0
May 12 20:17:54 ubuntu dstat.sh[79421]: 12-05 20:17:54| 18  19  61   0   0|1022M 1503M  189M 4918M|2264k   49k|   0  2368k|   0  11.0 |4859  5512 |1.46 1.10 0.75|3.0   0 399|   0     0 |   0     0 |  8    9    0   12    0
May 12 20:17:55 ubuntu dstat.sh[79421]: 12-05 20:17:55| 20  20  59   1   0| 923M 1597M  189M 4923M|1142k   33k|   0  1368k|   0  13.0 |4487  5590 |1.46 1.10 0.75|2.0   0 316|   0     0 |   0     0 |  8    6    0    8    1
May 12 20:17:56 ubuntu dstat.sh[79421]: 12-05 20:17:56| 28  16  55   0   0| 942M 1578M  189M 4923M| 874k   16k|   0   208k|   0  5.00 |4423  7471 |1.34 1.08 0.75|2.0   0 130|   0     0 |   0     0 |  8    5    0    8    2
May 12 20:17:57 ubuntu dstat.sh[79421]: 12-05 20:17:57| 54  16  30   0   0|1111M 1408M  189M 5046M| 202k 8043 |   0    12k|   0  3.00 |3084  5016 |1.34 1.08 0.75|4.0   0 122|   0     0 |   0     0 |  9    6    0    8    2
May 12 20:17:58 ubuntu dstat.sh[79421]: 12-05 20:17:58| 64  14  21   1   0|1147M 1371M  189M 5046M| 290k   24k|   0  1072k|   0  33.0 |2561  3527 |1.34 1.08 0.75|3.0   0 204|   0     0 |   0     0 |  9    6    0   10    2
May 12 20:17:59 ubuntu dstat.sh[79421]: 12-05 20:17:59| 47   6  44   1   0|1208M 1308M  189M 5048M| 560k   22k|  52k 1276k|5.00  24.0 |1943  1514 |1.34 1.08 0.75|5.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    3
May 12 20:18:00 ubuntu dstat.sh[79421]: 12-05 20:18:00| 36   5  56   4   0|1098M 1409M  189M 5057M|4589k   57k| 144k 5006k|9.01  35.0 |3933  2320 |1.34 1.08 0.75|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
May 12 20:18:01 ubuntu dstat.sh[79421]: 12-05 20:18:01| 30   1  65   3   0|1110M 1394M  190M 5059M| 990k   20k|  12k 3303k|1.00  49.0 |1795  1632 |1.39 1.10 0.75|1.0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
May 12 20:18:02 ubuntu dstat.sh[79421]: 12-05 20:18:02| 11   2  60  25   0|1124M 1378M  190M 5060M| 271k   26k|   0    10M|   0   732 |5500  9008 |1.39 1.10 0.75|2.0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
May 12 20:18:03 ubuntu dstat.sh[79421]: 12-05 20:18:03| 16   7  56  21   0|1127M 1373M  191M 5062M| 212k   19k|   0  6516k|   0   507 |5462    11k|1.39 1.10 0.75|  0 1.0  34|   0     0 |   0     0 |  9    8    0   11    2
May 12 20:18:04 ubuntu dstat.sh[79421]: 12-05 20:18:04| 10   3  65  21   0|1132M 1365M  191M 5064M| 178k   14k|   0  4757k|   0   426 |4149  7043 |1.39 1.10 0.75|2.0   0  16|   0     0 |   0     0 |  9    8    0    9    2
May 12 20:18:05 ubuntu dstat.sh[79421]: 12-05 20:18:05| 11   2  64  20   0|1136M 1358M  191M 5067M| 175k   17k|   0  7430k|   0   561 |5245  8600 |1.39 1.10 0.75|1.0 1.0  16|   0     0 |   0     0 |  9    8    0    9    2
May 12 20:18:06 ubuntu dstat.sh[79421]: 12-05 20:18:06| 12   3  63  22   0|1139M 1354M  191M 5068M| 177k   17k|   0  5737k|   0   524 |4909  8181 |1.44 1.11 0.76|  0 1.0  14|   0     0 |   0     0 |  9    8    0    9    2
May 12 20:18:07 ubuntu dstat.sh[79421]: 12-05 20:18:07| 16   3  58  20   0|1142M 1346M  192M 5072M|1495k   23k|   0  6992k|   0   525 |5388  8054 |1.44 1.11 0.76|1.0   0 5.0|   0     0 |   0     0 |  9    8    0    9    2
May 12 20:18:08 ubuntu dstat.sh[79421]: 12-05 20:18:08| 15   3  65  16   0|1145M 1341M  192M 5073M| 170k   59k|   0  5680k|   0   590 |5549  9320 |1.44 1.11 0.76|2.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
May 12 20:18:09 ubuntu dstat.sh[79421]: 12-05 20:18:09| 34   4  59   2   0|1161M 1324M  192M 5075M| 239k  124k|   0  2458k|   0   204 |3357  5372 |1.44 1.11 0.76|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:10 ubuntu dstat.sh[79421]: 12-05 20:18:10| 43   8  49   0   0|1083M 1400M  193M 5076M|  20k 1621 |   0   688k|   0  17.0 |1585  1724 |1.44 1.11 0.76|2.0   0  80|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:11 ubuntu dstat.sh[79421]: 12-05 20:18:11| 28   2  68   2   0|1123M 1360M  193M 5076M| 330k 8494 |   0    15M|   0   701 |2708  2782 |1.41 1.11 0.76|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:12 ubuntu dstat.sh[79421]: 12-05 20:18:12| 46   3  51   1   0|1156M 1320M  193M 5082M| 874k 5852 |   0  8459k|   0   401 |2296  2515 |1.41 1.11 0.76|2.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:13 ubuntu dstat.sh[79421]: 12-05 20:18:13| 41   4  54   0   0|1074M 1401M  193M 5082M|  25k 2287 |   0  7008k|   0   387 |1704  2635 |1.41 1.11 0.76|1.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:14 ubuntu dstat.sh[79421]: 12-05 20:18:14| 31   3  64   1   0|1132M 1342M  193M 5083M| 673k   10k|   0  8254k|   0   389 |1820  2671 |1.41 1.11 0.76|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:15 ubuntu dstat.sh[79421]: 12-05 20:18:15| 29   1  69   1   0|1142M 1332M  194M 5084M| 393k 8072 |   0  2265k|   0  91.0 |1443  1521 |1.41 1.11 0.76|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:16 ubuntu dstat.sh[79421]: 12-05 20:18:16| 25  13  60   1   0|1049M 1424M  194M 5084M| 211k 8791 |   0    20M|   0   117 |2604  3516 |1.46 1.13 0.77|1.0   0 248|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:17 ubuntu dstat.sh[79421]: 12-05 20:18:17| 30  19  49   0   0|1072M 1400M  194M 5085M| 144k 3462 |   0   436k|   0  17.0 |3424  5857 |1.46 1.13 0.77|4.0   0 408|   0     0 |   0     0 |  9    6    0    9    2
May 12 20:18:18 ubuntu dstat.sh[79421]: 12-05 20:18:18| 52  14  33   0   0|1115M 1357M  194M 5086M|  34k 4203 | 196k  551k|3.00  9.99 |3883  7850 |1.46 1.13 0.77|3.0   0 187|   0     0 |   0     0 |  9    7    0    9    2
May 12 20:18:19 ubuntu dstat.sh[79421]: 12-05 20:18:19| 70   5  24   0   0|1228M 1242M  194M 5086M|  17k 1666 | 128k    0 |1.00     0 |1406  1106 |1.46 1.13 0.77|3.0   0 3.0|   0     0 |   0     0 |  9    7    0    9    2
May 12 20:18:20 ubuntu dstat.sh[79421]: 12-05 20:18:20| 71   3  24   1   0|1267M 1202M  194M 5087M|  18k 1619 | 372k  416k|8.99  39.0 |1540  1209 |1.46 1.13 0.77|3.0   0 3.0|   0     0 |   0     0 |  9    7    0    7    2
May 12 20:18:21 ubuntu dstat.sh[79421]: 12-05 20:18:21| 73   4  22   2   0|1290M 1175M  194M 5090M|  21k 1620 |   0    38M|   0   342 |2918  3291 |1.58 1.16 0.78|3.0   0 1.0|   0     0 |   0     0 |  9    7    0    7    2
May 12 20:18:22 ubuntu dstat.sh[79421]: 12-05 20:18:22| 52  13  35   0   0|1326M 1137M  194M 5092M|  20k 2382 |   0    24k|   0  3.00 |3230  7773 |1.58 1.16 0.78|2.0   0 146|   0     0 |   0     0 |  9    6    0    8    2
May 12 20:18:23 ubuntu dstat.sh[79421]: 12-05 20:18:23| 47   3  49   0   0|1390M 1072M  194M 5092M|  16k 1618 |   0  8180B|   0  2.00 |1148   984 |1.58 1.16 0.78|3.0 1.0   0|   0     0 |   0     0 |  9    6    0    8    2
May 12 20:18:24 ubuntu dstat.sh[79421]: 12-05 20:18:24| 47   3  49   0   0|1382M 1076M  194M 5096M|  16k 1460 |   0  2428k|   0  25.0 |1215  1082 |1.58 1.16 0.78|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    2
May 12 20:18:25 ubuntu dstat.sh[79421]: 12-05 20:18:25| 37   7  48   7   0|1387M 1052M  195M 5113M|  79k   64k|   0  6236k|   0   373 |3561  5967 |1.58 1.16 0.78|2.0   0   0|   0     0 |   0     0 |  9   12    0    8    2
