-- Logs begin at Mon 2022-08-01 16:09:58 UTC, end at Mon 2022-08-01 17:13:38 UTC. --
Aug 01 17:01:33 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 17:01:34 ubuntu dstat.sh[91774]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 17:01:34 ubuntu dstat.sh[91774]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 17:01:34 ubuntu dstat.sh[91774]: 01-08 17:01:34|                   | 925M 1458M  186M 5055M|           |           |           |           |1.64 1.13 0.74|3.0   0    |           |   0     0 |  8    6    0   10    2
Aug 01 17:01:35 ubuntu dstat.sh[91774]: 01-08 17:01:35| 15  18  64   2   0| 925M 1456M  186M 5055M| 287k   11k|   0  2405k|   0   110 |3398  5324 |1.64 1.13 0.74|2.5   0 403|   0     0 |   0     0 |  8    6    0   10    2
Aug 01 17:01:36 ubuntu dstat.sh[91774]: 01-08 17:01:36| 20  16  62   1   0| 909M 1470M  186M 5057M|1058k   28k|   0   756k|   0  66.9 |3479  5768 |1.64 1.13 0.74|4.0   0 316|   0     0 |   0     0 |  8    7    0   10    2
Aug 01 17:01:37 ubuntu dstat.sh[91774]: 01-08 17:01:37| 31  15  53   1   0| 788M 1591M  186M 5059M| 296k   11k|   0  2216k|   0  23.0 |3712  7091 |1.67 1.15 0.75|1.0 1.0 157|   0     0 |   0     0 |  8    4    0   10    2
Aug 01 17:01:38 ubuntu dstat.sh[91774]: 01-08 17:01:38| 13  10  76   0   0| 933M 1445M  186M 5181M| 113k 6330 |   0   396k|   0  8.00 |2683  4522 |1.67 1.15 0.75|1.0   0 117|   0     0 |   0     0 |  9    6    0   10    2
Aug 01 17:01:39 ubuntu dstat.sh[91774]: 01-08 17:01:39| 26  11  61   0   0| 934M 1443M  186M 5182M| 124k 6975 |   0   544k|   0  17.0 |2471  6898 |1.67 1.15 0.75|2.0   0 184|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 17:01:40 ubuntu dstat.sh[91774]: 01-08 17:01:40| 23   6  70   0   0| 975M 1401M  186M 5182M|  20k   16k|   0   820k|   0  24.0 |1633  2178 |1.67 1.15 0.75|2.0   0  61|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 17:01:41 ubuntu dstat.sh[91774]: 01-08 17:01:41| 24   4  69   1   0| 991M 1385M  186M 5183M|  39k 4872 |  44k   21M|6.00   112 |1399  1585 |1.67 1.15 0.75|1.0   0   0|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 17:01:42 ubuntu dstat.sh[91774]: 01-08 17:01:42| 31   1  68   1   0|1001M 1374M  186M 5183M|9423  3943 |   0   561k|   0  9.01 |1024  1104 |1.61 1.14 0.75|1.0   0   0|   0     0 |   0     0 |  9    6    0   12    2
Aug 01 17:01:43 ubuntu dstat.sh[91774]: 01-08 17:01:43| 12   3  66  17   0|1021M 1352M  186M 5185M|  65k   17k|   0  5514k|   0   471 |4329  7440 |1.61 1.14 0.75|1.0   0  10|   0     0 |   0     0 |  9    8    0   12    2
