-- Logs begin at Mon 2022-08-08 00:24:31 UTC, end at Mon 2022-08-08 02:23:37 UTC. --
Aug 08 01:45:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 08 01:45:22 ubuntu dstat.sh[98046]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 08 01:45:22 ubuntu dstat.sh[98046]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 08 01:45:22 ubuntu dstat.sh[98046]: 08-08 01:45:22|                   | 874M 1500M  187M 5060M|           |           |           |           |1.32 1.03 0.75|2.0 1.0    |           |   0     0 |  8    6    0   10    2
Aug 08 01:45:23 ubuntu dstat.sh[98046]: 08-08 01:45:23| 15  19  65   0   0| 875M 1499M  187M 5061M| 955k   28k|   0   603k|   0  23.0 |3332  4184 |1.32 1.03 0.75|2.5 0.5 364|   0     0 |   0     0 |  8    6    0   10    2
Aug 08 01:45:24 ubuntu dstat.sh[98046]: 08-08 01:45:24| 36  19  43   0   0| 845M 1526M  187M 5064M| 415k   20k|   0  1936k|   0  20.0 |3683  5066 |1.32 1.03 0.75|2.0   0 293|   0     0 |   0     0 |  8    4    0   10    2
Aug 08 01:45:25 ubuntu dstat.sh[98046]: 08-08 01:45:25| 45  18  36   0   0| 864M 1507M  187M 5064M|  42k 5315 |   0   436k|   0  13.0 |4427  7131 |1.32 1.03 0.75|2.0   0 195|   0     0 |   0     0 |  8    4    0   10    2
Aug 08 01:45:26 ubuntu dstat.sh[98046]: 08-08 01:45:26| 11   9  78   0   0|1008M 1361M  187M 5187M| 912k   24k|   0   976k|   0  3.00 |3280  4060 |1.46 1.06 0.76|  0   0  41|   0     0 |   0     0 |  9    5    0   10    2
Aug 08 01:45:27 ubuntu dstat.sh[98046]: 08-08 01:45:27| 24  10  66   1   0|1013M 1356M  187M 5188M| 133k   11k|   0    20M|   0   100 |2069  2390 |1.46 1.06 0.76|2.0   0 111|   0     0 |   0     0 |  9    7    0   10    2
Aug 08 01:45:28 ubuntu dstat.sh[98046]: 08-08 01:45:28| 24  10  64   0   0|1036M 1331M  187M 5189M| 606k   33k|   0  1084k|   0  23.0 |2822  3399 |1.46 1.06 0.76|1.0   0 177|   0     0 |   0     0 |  9    8    0   12    2
Aug 08 01:45:29 ubuntu dstat.sh[98046]: 08-08 01:45:29| 26   4  69   1   0|1066M 1301M  187M 5189M| 120k 9131 |   0  1533k|   0  31.0 |1498  1641 |1.46 1.06 0.76|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   12    2
Aug 08 01:45:30 ubuntu dstat.sh[98046]: 08-08 01:45:30| 27   2  69   1   0|1086M 1279M  188M 5190M| 310k   15k|  44k 1036k|6.00  10.0 |1358  1329 |1.46 1.06 0.76|2.0   0   0|   0     0 |   0     0 |  9    8    0   12    2
Aug 08 01:45:31 ubuntu dstat.sh[98046]: 08-08 01:45:31| 29   4  67   1   0|1063M 1299M  188M 5193M|1310k   49k|   0  3241k|   0   104 |3158  2979 |1.50 1.08 0.77|1.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   12    4
Aug 08 01:45:32 ubuntu dstat.sh[98046]: 08-08 01:45:32| 29   6  34  31   0|1098M 1263M  188M 5194M|  50k 9550 |   0    49M|   0  1169 |4942  8355 |1.50 1.08 0.77|1.0 2.0  10|   0     0 |   0     0 |  9    8    0   10    2
Aug 08 01:45:33 ubuntu dstat.sh[98046]: 08-08 01:45:33| 39   8  39  13   0|1114M 1242M  188M 5199M|  77k   10k|   0  9645k|   0   748 |5377    10k|1.50 1.08 0.77|  0 1.0  13|   0     0 |   0     0 |  9    8    1   10    2
Aug 08 01:45:34 ubuntu dstat.sh[98046]: 08-08 01:45:34| 10   4  64  21   0|1113M 1239M  189M 5202M| 847k   28k|   0  7196k|   0   653 |6196    10k|1.50 1.08 0.77|1.0 1.0  28|   0     0 |   0     0 |  9    9    0   10    2
