-- Logs begin at Fri 2022-09-23 12:54:21 UTC, end at Fri 2022-09-23 15:28:58 UTC. --
Sep 23 14:50:23 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 23 14:50:23 ubuntu dstat.sh[80576]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 23 14:50:23 ubuntu dstat.sh[80576]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 23 14:50:23 ubuntu dstat.sh[80576]: 23-09 14:50:23|                   | 844M 1638M  187M 4961M|           |           |           |           |0.83 0.76 0.56|4.0   0    |           |   0     0 |  8    4    0   10    2
Sep 23 14:50:24 ubuntu dstat.sh[80576]: 23-09 14:50:24| 12  19  65   2   0| 844M 1637M  187M 4961M|  27k 5713 |   0    26M|   0   312 |2887  4247 |0.83 0.76 0.56|3.5   0 388|   0     0 |   0     0 |  8    4    0   10    2
Sep 23 14:50:25 ubuntu dstat.sh[80576]: 23-09 14:50:25| 19  17  64   1   0| 826M 1655M  187M 4962M|  64k 6254 |   0   886k|   0   164 |2853  4853 |0.83 0.76 0.56|1.0   0 315|   0     0 |   0     0 |  8    4    0   10    2
Sep 23 14:50:26 ubuntu dstat.sh[80576]: 23-09 14:50:26| 20  15  62   0   0| 829M 1651M  187M 4962M| 144k 8156 |   0   527k|   0  12.0 |3271  8736 |0.83 0.76 0.56|1.0   0 165|   0     0 |   0     0 |  8    4    0   10    2
Sep 23 14:50:27 ubuntu dstat.sh[80576]: 23-09 14:50:27| 15  11  73   0   0| 964M 1515M  187M 5085M| 643k   19k|   0   160k|   0  5.98 |2824  4555 |0.83 0.76 0.56|3.0   0 121|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 14:50:28 ubuntu dstat.sh[80576]: 23-09 14:50:28| 20  11  67   1   0| 967M 1512M  187M 5086M| 340k   23k|   0  1432k|   0  27.1 |2292  3053 |0.92 0.78 0.57|4.0   0 169|   0     0 |   0     0 |  9    6    0   12    2
Sep 23 14:50:29 ubuntu dstat.sh[80576]: 23-09 14:50:29| 24   5  70   1   0|1016M 1460M  187M 5087M| 747k   23k|  52k   31M|5.00   123 |2389  2465 |0.92 0.78 0.57|2.0   0  28|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 14:50:30 ubuntu dstat.sh[80576]: 23-09 14:50:30| 29   3  65   2   0|1046M 1429M  187M 5089M| 483k   15k| 144k 2474k|8.99  15.0 |1872  1936 |0.92 0.78 0.57|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 14:50:31 ubuntu dstat.sh[80576]: 23-09 14:50:31| 20   2  68   8   0|1063M 1411M  188M 5090M| 119k   18k|  12k 3257k|1.00   242 |2735  4672 |0.92 0.78 0.57|3.0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 23 14:50:32 ubuntu dstat.sh[80576]: 23-09 14:50:32| 10   4  60  25   0|1065M 1406M  188M 5092M|  76k   12k|   0    14M|   0  1025 |6514    11k|0.92 0.78 0.57|1.0 1.0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 23 14:50:33 ubuntu dstat.sh[80576]: 23-09 14:50:33| 15   5  59  19   1|1089M 1379M  188M 5095M|  81k   10k|   0  7144k|   0   602 |4862  9067 |1.01 0.80 0.58|2.0 1.0  20|   0     0 |   0     0 |  9    8    0   10    2
