-- Logs begin at Wed 2022-11-02 12:53:20 UTC, end at Wed 2022-11-02 15:11:44 UTC. --
Nov 02 14:28:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 02 14:28:16 ubuntu dstat.sh[71630]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 02 14:28:16 ubuntu dstat.sh[71630]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 02 14:28:16 ubuntu dstat.sh[71630]: 02-11 14:28:16|                   | 797M 1769M  171M 4905M|           |           |           |           |0.67 0.71 0.55|2.0   0    |           |   0     0 |  8    4    0    8    0
Nov 02 14:28:17 ubuntu dstat.sh[71630]: 02-11 14:28:17| 11  19  69   0   0| 798M 1768M  171M 4905M| 199k 4355 |   0   395k|   0  13.0 |2724  4097 |0.67 0.71 0.55|2.5   0 361|   0     0 |   0     0 |  8    4    0    8    0
Nov 02 14:28:18 ubuntu dstat.sh[71630]: 02-11 14:28:18| 15  19  66   0   0| 781M 1784M  171M 4905M| 249k 5842 |   0    20k|   0  8.99 |2931  4375 |0.67 0.71 0.55|3.0   0 311|   0     0 |   0     0 |  8    4    0    8    0
Nov 02 14:28:19 ubuntu dstat.sh[71630]: 02-11 14:28:19| 19  16  64   0   0| 783M 1781M  171M 4906M| 212k 4974 |   0  2226k|   0   143 |3854  5710 |0.67 0.71 0.55|1.0   0 168|   0     0 |   0     0 |  8    4    0    8    0
Nov 02 14:28:20 ubuntu dstat.sh[71630]: 02-11 14:28:20|  5   7  87   0   0| 914M 1650M  171M 5028M| 233k 4269 |   0     0 |   0     0 |2285  3817 |0.78 0.73 0.56|1.0   0  31|   0     0 |   0     0 |  9    4    0    6    0
Nov 02 14:28:21 ubuntu dstat.sh[71630]: 02-11 14:28:21| 15   8  77   0   0| 919M 1645M  171M 5028M| 236k 5018 |   0    24k|   0  6.00 |1803  2421 |0.78 0.73 0.56|1.0   0 104|   0     0 |   0     0 |  9    6    0    6    0
Nov 02 14:28:22 ubuntu dstat.sh[71630]: 02-11 14:28:22| 15  12  72   1   0| 930M 1634M  171M 5028M| 242k   16k|   0   596k|   0  20.0 |2304  3176 |0.78 0.73 0.56|1.0   0 183|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:23 ubuntu dstat.sh[71630]: 02-11 14:28:23| 24   3  72   2   0| 965M 1599M  171M 5029M| 284k 5844 |  76k  692k|6.00  12.0 |1413  1628 |0.78 0.73 0.56|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:24 ubuntu dstat.sh[71630]: 02-11 14:28:24| 23   3  74   2   0| 997M 1565M  171M 5030M| 260k 5717 | 164k  861k|10.0  8.01 |1561  1795 |0.78 0.73 0.56|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:25 ubuntu dstat.sh[71630]: 02-11 14:28:25| 14   5  70  11   1|1016M 1545M  172M 5031M| 265k   16k|  16k 3741k|2.00   328 |3845  6084 |0.80 0.74 0.56|2.0 1.0  10|   0     0 |   0     0 |  9    8    0    8    0
Nov 02 14:28:26 ubuntu dstat.sh[71630]: 02-11 14:28:26|  8   4  66  22   0|1017M 1541M  172M 5033M| 268k   11k|   0    12M|   0   947 |5781    11k|0.80 0.74 0.56|1.0 1.0   0|   0     0 |   0     0 |  9    8    0    8    0
Nov 02 14:28:27 ubuntu dstat.sh[71630]: 02-11 14:28:27|  6   3  68  21   0|1023M 1532M  172M 5036M| 269k 9587 |   0  6151k|   0   585 |4659  9558 |0.80 0.74 0.56|1.0 2.0  18|   0     0 |   0     0 |  9    8    0    8    0
Nov 02 14:28:28 ubuntu dstat.sh[71630]: 02-11 14:28:28|  9   3  69  19   0|1026M 1528M  173M 5037M| 280k   12k|   0  6646k|   0   710 |5477    10k|0.80 0.74 0.56|2.0   0  15|   0     0 |   0     0 |  9    8    0    8    0
Nov 02 14:28:29 ubuntu dstat.sh[71630]: 02-11 14:28:29|  7   5  69  20   0|1028M 1523M  173M 5039M| 289k   12k|   0  6015k|   0   645 |5588    10k|0.80 0.74 0.56|2.0 1.0  13|   0     0 |   0     0 |  9    8    0    8    0
Nov 02 14:28:30 ubuntu dstat.sh[71630]: 02-11 14:28:30|  8   3  67  20   0|1031M 1518M  173M 5041M| 365k   14k|   0  5395k|   0   587 |5475  9449 |0.97 0.77 0.57|4.0   0  14|   0     0 |   0     0 |  9    8    0    8    0
Nov 02 14:28:31 ubuntu dstat.sh[71630]: 02-11 14:28:31| 21   6  73   0   0| 960M 1589M  173M 5041M| 300k 6748 |   0     0 |   0     0 |1737  2143 |0.97 0.77 0.57|4.0   0  76|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:32 ubuntu dstat.sh[71630]: 02-11 14:28:32| 23   3  73   0   0|1015M 1534M  173M 5041M| 307k 6639 |   0     0 |   0     0 |1391  1505 |0.97 0.77 0.57|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:33 ubuntu dstat.sh[71630]: 02-11 14:28:33| 25   3  71   2   0|1030M 1518M  173M 5042M| 314k 6705 |   0  7411k|   0   385 |2360  3274 |0.97 0.77 0.57|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:34 ubuntu dstat.sh[71630]: 02-11 14:28:34| 23   5  68   4   0| 989M 1559M  173M 5042M| 323k 6568 |   0  7361k|   0   412 |2404  3424 |0.97 0.77 0.57|1.0   0  11|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:35 ubuntu dstat.sh[71630]: 02-11 14:28:35| 25   3  69   3   0|1027M 1520M  173M 5042M| 374k 6636 |   0  7240k|   0   411 |2215  3341 |0.98 0.78 0.57|1.0   0   0|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:36 ubuntu dstat.sh[71630]: 02-11 14:28:36| 17  13  69   2   0| 938M 1609M  174M 5042M| 335k 6733 |   0  7088k|   0   381 |3270  5106 |0.98 0.78 0.57|2.0   0 247|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:37 ubuntu dstat.sh[71630]: 02-11 14:28:37| 11  20  67   1   1| 937M 1609M  174M 5043M| 343k 6056 |   0   972k|   0  57.0 |3193  4929 |0.98 0.78 0.57|1.0   0 333|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:38 ubuntu dstat.sh[71630]: 02-11 14:28:38| 19  16  63   0   0| 941M 1604M  174M 5043M| 378k 6233 |   0   316k|   0  13.0 |4506  7617 |0.98 0.78 0.57|1.0   0 161|   0     0 |   0     0 |  9    6    0    8    0
Nov 02 14:28:39 ubuntu dstat.sh[71630]: 02-11 14:28:39| 46  13  41   0   0|1052M 1493M  174M 5044M| 358k 7603 | 324k 6955k|4.00  18.0 |2467  3541 |0.98 0.78 0.57|2.0   0 146|   0     0 |   0     0 |  9    7    0    8    0
Nov 02 14:28:40 ubuntu dstat.sh[71630]: 02-11 14:28:40| 52   5  42   0   0|1127M 1417M  174M 5046M| 312k 6893 | 372k  304k|7.99  21.0 |1818  2048 |1.06 0.80 0.58|5.0   0 5.0|   0     0 |   0     0 |  9    7    0    8    0
Nov 02 14:28:41 ubuntu dstat.sh[71630]: 02-11 14:28:41| 92   7   1   0   0|1159M 1382M  174M 5047M|9921  1622 |   0     0 |   0     0 |5173    13k|1.06 0.80 0.58|5.0   0   0|   0     0 |   0     0 |  9    7    0    8    0
Nov 02 14:28:42 ubuntu dstat.sh[71630]: 02-11 14:28:42| 44  16  38   0   0|1200M 1326M  174M 5060M|  20k 2732 |   0  4740k|   0  14.0 |2967  5117 |1.06 0.80 0.58|2.0   0 265|   0     0 |   0     0 |  9    4    0   11    0
Nov 02 14:28:43 ubuntu dstat.sh[71630]: 02-11 14:28:43| 47   4  49   0   0|1267M 1258M  174M 5060M|9948  1621 |   0     0 |   0     0 |1172  1208 |1.06 0.80 0.58|3.0   0 4.0|   0     0 |   0     0 |  9    4    0   11    0
Nov 02 14:28:44 ubuntu dstat.sh[71630]: 02-11 14:28:44| 49   2  49   1   0|1288M 1237M  175M 5060M|  56k   47k|   0  2337k|   0  96.0 |2071  3384 |1.06 0.80 0.58|2.0   0 1.0|   0     0 |   0     0 |  9   10    0   11    0
Nov 02 14:28:45 ubuntu dstat.sh[71630]: 02-11 14:28:45| 39   9  44   7   1|1152M 1373M  175M 5060M|  29k   19k|   0    10M|   0   386 |2891  4629 |1.30 0.85 0.60|2.0   0 167|   0     0 |   0     0 |  9    4    0   13    0
Nov 02 14:28:46 ubuntu dstat.sh[71630]: 02-11 14:28:46| 42   7  49   3   0|1224M 1301M  175M 5060M|  13k 1621 | 124k    0 |19.0     0 |1529  1626 |1.30 0.85 0.60|2.0   0  42|   0     0 |   0     0 |  9    4    0   13    0
Nov 02 14:28:47 ubuntu dstat.sh[71630]: 02-11 14:28:47| 77  18   5   0   0|1342M 1149M  176M 5089M|  89k   79k| 204k 3332k|27.0  16.0 |6315    11k|1.30 0.85 0.60|4.0 1.0  18|   0     0 |   0     0 |  9   16    0   13    0
Nov 02 14:28:48 ubuntu dstat.sh[71630]: 02-11 14:28:48| 89  11   0   1   0|1356M 1130M  176M 5093M|  54k   45k| 140k 5776k|35.0   235 |2319  3257 |1.30 0.85 0.60|5.0   0  40|   0     0 |   0     0 |  9   28    0   11    0
Nov 02 14:28:49 ubuntu dstat.sh[71630]: 02-11 14:28:49| 61   9  30   0   0|1429M 1057M  176M 5093M|  11k 3132 |   0     0 |   0     0 |1524  1639 |1.30 0.85 0.60|2.0   0  27|   0     0 |   0     0 |  9   31    1   11    0
Nov 02 14:28:50 ubuntu dstat.sh[71630]: 02-11 14:28:50| 24   5  71   0   0|1382M 1104M  176M 5093M|  88k   66k|   0   940k|   0  5.00 |1584  2184 |1.27 0.85 0.60|1.0   0  50|   0     0 |   0     0 |  9   33    0   11    0
Nov 02 14:28:51 ubuntu dstat.sh[71630]: 02-11 14:28:51| 43  10  45   0   0|1434M 1052M  176M 5093M| 100k 6731 |   0   600k|   0  15.0 |1742  2106 |1.27 0.85 0.60|3.0   0 111|   0     0 |   0     0 |  9   34    0   11    0
Nov 02 14:28:52 ubuntu dstat.sh[71630]: 02-11 14:28:52| 62   6  31   0   0|1490M  994M  176M 5095M| 485k  347k|   0   842k|   0  21.9 |2561  4916 |1.27 0.85 0.60|6.0   0 2.0|   0     0 |   0     0 |  9   39    0   11    1
Nov 02 14:28:53 ubuntu dstat.sh[71630]: 02-11 14:28:53| 51  14  35   1   0|1327M 1157M  176M 5095M| 495k  369k|  28k  678k|2.01  58.2 |4593  9071 |1.27 0.85 0.60|6.0   0 258|   0     0 |   0     0 |  9   38    0   11    0
Nov 02 14:28:54 ubuntu dstat.sh[71630]: 02-11 14:28:54| 82  17   0   0   0|1500M  983M  176M 5096M| 507k   15k|   0   236k|   0  14.0 |2341  2975 |1.27 0.85 0.60|6.0   0 252|   0     0 |   0     0 |  9   38    0   11    0
Nov 02 14:28:55 ubuntu dstat.sh[71630]: 02-11 14:28:55| 86  13   1   0   0|1636M  844M  176M 5099M|3001k  571k|   0    11M|   0   409 |7531  7655 |1.81 0.97 0.64|9.0   0  81|   0     0 |   0     0 |  9   38    1   11    1
Nov 02 14:28:56 ubuntu dstat.sh[71630]: 02-11 14:28:56| 86  13   1   0   0|1407M 1072M  176M 5100M| 480k  471k|   0  2126k|   0   115 |5550  9522 |1.81 0.97 0.64|4.0   0 177|   0     0 |   0     0 |  9   36    0   11    1
Nov 02 14:28:57 ubuntu dstat.sh[71630]: 02-11 14:28:57| 59  11  29   0   0|1315M 1164M  176M 5100M| 438k  335k|   0   543k|   0  38.9 |4149  7118 |1.81 0.97 0.64|3.0   0 140|   0     0 |   0     0 |  9   35    0   11    2
Nov 02 14:28:58 ubuntu dstat.sh[71630]: 02-11 14:28:58| 40   7  54   0   0|1378M 1100M  176M 5100M| 224k 9206 |   0   852k|   0  14.0 |1565  1509 |1.81 0.97 0.64|3.0   0 4.0|   0     0 |   0     0 |  9   35    0   11    2
Nov 02 14:28:59 ubuntu dstat.sh[71630]: 02-11 14:28:59| 50   6  44   0   0|1424M 1054M  177M 5101M| 368k  203k|   0  1025k|   0  26.0 |2306  3642 |1.81 0.97 0.64|4.0   0 3.0|   0     0 |   0     0 |  9   36    0   11    2
Nov 02 14:29:00 ubuntu dstat.sh[71630]: 02-11 14:29:00| 35   8  57   1   0|1394M 1083M  177M 5101M| 424k   28k|   0  2024k|   0  60.0 |2364  2979 |1.83 0.99 0.65|2.0   0  75|   0     0 |   0     0 |  9   37    0   11    2
