-- Logs begin at Tue 2022-05-10 19:24:38 UTC, end at Tue 2022-05-10 20:30:03 UTC. --
May 10 20:09:31 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 20:09:32 ubuntu dstat.sh[71185]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 20:09:32 ubuntu dstat.sh[71185]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 20:09:32 ubuntu dstat.sh[71185]: 10-05 20:09:32|                   | 948M 1573M  190M 4924M|           |           |           |           |1.10 0.95 0.62|4.0   0    |           |   0     0 |  8    6    0   14    0
May 10 20:09:33 ubuntu dstat.sh[71185]: 10-05 20:09:33| 30  22  45   1   0| 950M 1570M  190M 4924M| 269k 3811 |   0    10M|   0   318 |3397  6185 |1.10 0.95 0.62|3.0   0 394|   0     0 |   0     0 |  8    6    0   14    0
May 10 20:09:34 ubuntu dstat.sh[71185]: 10-05 20:09:34| 24  18  56   0   0| 938M 1579M  190M 4927M|1507k   32k|   0  2147k|   0   169 |4092  6195 |1.10 0.95 0.62|3.0   0 313|   0     0 |   0     0 |  8    5    0   14    1
May 10 20:09:35 ubuntu dstat.sh[71185]: 10-05 20:09:35| 25  15  58   0   0| 909M 1608M  190M 4928M|1246k   19k|   0    12k|   0  3.00 |4534  7982 |1.10 0.95 0.62|3.0   0 158|   0     0 |   0     0 |  8    6    0   14    0
May 10 20:09:36 ubuntu dstat.sh[71185]: 10-05 20:09:36| 31  10  58   0   0|1070M 1446M  190M 5050M| 290k 8009 |   0   685k|   0  9.01 |2374  4235 |1.09 0.95 0.63|2.0   0  79|   0     0 |   0     0 |  9    7    0   10    1
May 10 20:09:37 ubuntu dstat.sh[71185]: 10-05 20:09:37| 51   9  39   0   0|1093M 1423M  190M 5050M| 477k   12k|   0   736k|   0  15.0 |2127  1908 |1.09 0.95 0.63|2.0   0  80|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:09:38 ubuntu dstat.sh[71185]: 10-05 20:09:38| 28  13  57   1   0|1108M 1400M  191M 5057M|3876k   81k|   0  4850k|   0  28.0 |4502  4376 |1.09 0.95 0.63|2.0   0 174|   0     0 |   0     0 |  9    7    0   10    2
May 10 20:09:39 ubuntu dstat.sh[71185]: 10-05 20:09:39| 40   4  56   1   0|1073M 1431M  191M 5061M|2220k   15k|  52k 3088k|5.00  26.0 |2004  1296 |1.09 0.95 0.63|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:09:40 ubuntu dstat.sh[71185]: 10-05 20:09:40| 26   3  68   2   0|1098M 1403M  191M 5063M| 437k 9207 | 144k 1860k|9.00  22.0 |1519  1486 |1.09 0.95 0.63|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:09:41 ubuntu dstat.sh[71185]: 10-05 20:09:41| 26   2  65   5   0|1121M 1379M  191M 5064M| 597k   29k|  12k 2726k|1.00   180 |2538  3894 |1.17 0.97 0.63|2.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:09:42 ubuntu dstat.sh[71185]: 10-05 20:09:42| 11   3  61  23   0|1123M 1374M  192M 5067M| 547k   23k|   0    12M|   0   899 |5681    11k|1.17 0.97 0.63|4.0   0 7.0|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:09:43 ubuntu dstat.sh[71185]: 10-05 20:09:43| 17   2  56  23   0|1130M 1364M  192M 5069M|2637k   18k|   0    10M|   0   832 |5961  9150 |1.17 0.97 0.63|3.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:09:44 ubuntu dstat.sh[71185]: 10-05 20:09:44| 12   3  62  22   0|1134M 1355M  193M 5073M|1720k   25k|   0  9066k|   0   631 |5184  9023 |1.17 0.97 0.63|  0 1.0  17|   0     0 |   0     0 |  9    8    0    9    2
May 10 20:09:45 ubuntu dstat.sh[71185]: 10-05 20:09:45| 15   3  60  19   0|1138M 1348M  193M 5075M| 893k   20k|   0  7056k|   0   671 |5372  9621 |1.17 0.97 0.63|2.0   0  14|   0     0 |   0     0 |  9    8    0    9    2
May 10 20:09:46 ubuntu dstat.sh[71185]: 10-05 20:09:46| 13   3  61  20   0|1141M 1343M  194M 5077M| 150k   20k|   0  6877k|   0   681 |5352  9344 |1.39 1.02 0.65|1.0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
May 10 20:09:47 ubuntu dstat.sh[71185]: 10-05 20:09:47| 36   6  53   4   0|1165M 1316M  194M 5080M| 490k  161k|   0  4283k|   0   348 |4404  7433 |1.39 1.02 0.65|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0    9    2
May 10 20:09:48 ubuntu dstat.sh[71185]: 10-05 20:09:48| 41   5  53   0   0|1065M 1416M  194M 5080M| 341k 8128 |   0   994k|   0  55.9 |1905  2323 |1.39 1.02 0.65|1.0   0  78|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:49 ubuntu dstat.sh[71185]: 10-05 20:09:49| 29   3  67   1   0|1125M 1354M  194M 5080M| 451k 8199 |   0  1810k|   0  32.0 |1200  1057 |1.39 1.02 0.65|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:50 ubuntu dstat.sh[71185]: 10-05 20:09:50| 41   3  54   1   0|1155M 1318M  195M 5086M|1200k 5909 |   0  7939k|   0   405 |2449  2731 |1.39 1.02 0.65|2.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:51 ubuntu dstat.sh[71185]: 10-05 20:09:51| 47   4  48   1   0|1070M 1402M  195M 5086M| 246k 4667 |   0  8089k|   0   412 |2298  2891 |1.52 1.05 0.67|2.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:52 ubuntu dstat.sh[71185]: 10-05 20:09:52| 32   3  63   1   1|1123M 1347M  195M 5088M|1384k 8417 |   0  8368k|   0   414 |2465  2820 |1.52 1.05 0.67|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:53 ubuntu dstat.sh[71185]: 10-05 20:09:53| 32   3  64   2   0|1137M 1333M  195M 5088M| 379k 9544 |   0    17M|   0   431 |2351  2792 |1.52 1.05 0.67|1.0 1.0   0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:54 ubuntu dstat.sh[71185]: 10-05 20:09:54| 26  10  62   1   0|1049M 1420M  195M 5088M| 392k 6944 |   0  2765k|   0   137 |2600  3872 |1.52 1.05 0.67|4.0   0 223|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:55 ubuntu dstat.sh[71185]: 10-05 20:09:55| 34  20  44   0   0|1066M 1403M  195M 5089M| 177k 1618 |   0   420k|   0  19.0 |2739  4454 |1.52 1.05 0.67|3.0   0 389|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:56 ubuntu dstat.sh[71185]: 10-05 20:09:56| 43  15  41   0   0|1075M 1393M  195M 5089M| 104k 3900 |  56k  673k|1.00  11.0 |3509  8283 |1.64 1.09 0.68|4.0   0 117|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:09:57 ubuntu dstat.sh[71185]: 10-05 20:09:57| 71  10  20   0   0|1195M 1273M  195M 5090M|  89k 1983 | 268k    0 |3.00     0 |1895  2129 |1.64 1.09 0.68|3.0   0 117|   0     0 |   0     0 |  9    7    0    9    2
May 10 20:09:58 ubuntu dstat.sh[71185]: 10-05 20:09:58| 69   6  24   0   0|1265M 1201M  196M 5091M|  25k 1622 | 372k   36M|8.01   140 |1737  1195 |1.64 1.09 0.68|3.0   0 4.0|   0     0 |   0     0 |  9    7    0    9    2
May 10 20:09:59 ubuntu dstat.sh[71185]: 10-05 20:09:59| 73   2  24   0   0|1280M 1183M  196M 5093M| 118k 1510 |   0    32k|   0  4.99 |1526  1492 |1.64 1.09 0.68|3.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
May 10 20:10:00 ubuntu dstat.sh[71185]: 10-05 20:10:00| 61  13  25   0   0|1318M 1141M  196M 5096M|  85k 2383 |   0     0 |   0     0 |3193  9760 |1.64 1.09 0.68|2.0   0 145|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:10:01 ubuntu dstat.sh[71185]: 10-05 20:10:01| 47   4  49   0   0|1376M 1083M  196M 5096M| 265k 1620 |   0  2492k|   0  8.00 |1332  1023 |1.67 1.10 0.69|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    2
May 10 20:10:02 ubuntu dstat.sh[71185]: 10-05 20:10:02| 46   4  50   1   1|1376M 1063M  196M 5114M| 206k 1622 |   0  2167k|   0  87.1 |1607  1425 |1.67 1.10 0.69|2.0   0   0|   0     0 |   0     0 |  9    6    0    8    2
May 10 20:10:03 ubuntu dstat.sh[71185]: 10-05 20:10:03| 39   7  48   4   0|1401M 1028M  197M 5122M| 552k   64k|   0    12M|   0   253 |3083  4312 |1.67 1.10 0.69|1.0 1.0   0|   0     0 |   0     0 |  9   12    0    8    2
May 10 20:10:04 ubuntu dstat.sh[71185]: 10-05 20:10:04| 41   8  48   3   0|1309M 1093M  198M 5145M| 177k 2130 | 160k 9780k|9.00   438 |2850  3614 |1.67 1.10 0.69|1.0 1.0  44|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:10:05 ubuntu dstat.sh[71185]: 10-05 20:10:05| 41   5  50   3   0|1341M 1051M  199M 5153M| 138k   12k|  64k 3173k|5.99   109 |1633  1711 |1.67 1.10 0.69|2.0   0 1.0|   0     0 |   0     0 |  9   13    0   10    2
May 10 20:10:06 ubuntu dstat.sh[71185]: 10-05 20:10:06| 25   6  63   5   0|1298M 1113M  199M 5135M| 203k  114k| 132k 1605k|33.0  68.0 |1988  2747 |1.62 1.10 0.69|2.0   0  46|   0     0 |   0     0 |  9   28    0   10    1
May 10 20:10:07 ubuntu dstat.sh[71185]: 10-05 20:10:07| 42   8  48   1   0|1311M 1100M  199M 5135M| 490k 1831 |   0  1180k|   0  54.0 |1509  1857 |1.62 1.10 0.69|2.0   0 9.0|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:10:08 ubuntu dstat.sh[71185]: 10-05 20:10:08| 48  13  38   0   0|1318M 1093M  199M 5135M|3628k   60k|   0    12k|   0  3.00 |9782    17k|1.62 1.10 0.69|3.0   0 203|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:10:09 ubuntu dstat.sh[71185]: 10-05 20:10:09| 59   6  25  11   0|1377M 1034M  199M 5135M|4150k 1622 |   0    11M|   0   529 |3454  1462 |1.62 1.10 0.69|3.0   0 7.0|   0     0 |   0     0 |  9   28    0   10    0
May 10 20:10:10 ubuntu dstat.sh[71185]: 10-05 20:10:10| 70   8  21   0   0|1426M  985M  199M 5135M|3806k  744k|   0  1476k|   0  6.00 |4717    11k|1.62 1.10 0.69|4.0   0  34|   0     0 |   0     0 |  9   29    0   14    0
May 10 20:10:11 ubuntu dstat.sh[71185]: 10-05 20:10:11| 75  17   6   0   0|1401M 1010M  199M 5135M|3479k   18k|   0    32k|   0  8.00 |3376    34k|2.05 1.20 0.72|7.0   0 329|   0     0 |   0     0 |  9   28    0   14    0
May 10 20:10:12 ubuntu dstat.sh[71185]: 10-05 20:10:12| 88  12   0   0   0|1519M  891M  199M 5135M|2248k  200k|   0    16k|   0  4.00 |2877  3802 |2.05 1.20 0.72|7.0   0 195|   0     0 |   0     0 |  9   31    0   14    0
May 10 20:10:13 ubuntu dstat.sh[71185]: 10-05 20:10:13| 90  10   1   0   0|1464M  946M  199M 5136M|4134k  624k|   0  1205k|   0  30.0 |5298  7529 |2.05 1.20 0.72|7.0   0  58|   0     0 |   0     0 |  9   29    0   14    0
May 10 20:10:14 ubuntu dstat.sh[71185]: 10-05 20:10:14| 85  14   0   0   0|1428M  983M  199M 5136M|2147k  272k|   0  5488k|   0   157 |4479  5927 |2.05 1.20 0.72|4.0   0 172|   0     0 |   0     0 |  9   28    0   14    0
May 10 20:10:15 ubuntu dstat.sh[71185]: 10-05 20:10:15| 65  13  21   0   0|1351M 1059M  199M 5136M|1420k  366k|   0   824k|   0  24.0 |3192  4990 |2.05 1.20 0.72|3.0   0 119|   0     0 |   0     0 |  9   29    0   14    0
May 10 20:10:16 ubuntu dstat.sh[71185]: 10-05 20:10:16| 59   7  33   0   0|1289M 1121M  199M 5136M| 972k  286k|   0   284k|   0  10.0 |2912  4190 |2.12 1.23 0.73|2.0   0 107|   0     0 |   0     0 |  9   29    0   15    0
May 10 20:10:17 ubuntu dstat.sh[71185]: 10-05 20:10:17| 21   5  72   0   0|1250M 1160M  199M 5136M|1100k  187k|   0   575k|   0  27.0 |3795  3419 |2.12 1.23 0.73|1.0   0  80|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:18 ubuntu dstat.sh[71185]: 10-05 20:10:18| 23   3  74   0   0|1290M 1120M  199M 5136M| 362k 1953 |   0   216k|   0  10.0 |1173  1095 |2.12 1.23 0.73|1.0   0 2.0|   0     0 |   0     0 |  9   29    0   15    0
May 10 20:10:19 ubuntu dstat.sh[71185]: 10-05 20:10:19| 17  12  70   1   0|1229M 1181M  199M 5136M| 302k  200k|   0  3082k|   0  37.0 |2946  4585 |2.12 1.23 0.73|2.0   0 188|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:20 ubuntu dstat.sh[71185]: 10-05 20:10:20| 12  24  63   1   0|1235M 1175M  199M 5136M|  27k 1621 |   0   392k|   0  19.0 |2990  4630 |2.12 1.23 0.73|3.0   0 544|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:21 ubuntu dstat.sh[71185]: 10-05 20:10:21| 78  19   3   0   0|1400M 1010M  199M 5136M|  19k 1714 |   0   252k|   0  18.0 |2119  3610 |2.35 1.29 0.76|6.0   0 440|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:22 ubuntu dstat.sh[71185]: 10-05 20:10:22| 88  12   1   0   0|1537M  873M  199M 5136M| 672k  652k|   0  1565k|   0  63.9 |3409  6339 |2.35 1.29 0.76|4.0   0   0|   0     0 |   0     0 |  9   31    0   15    0
May 10 20:10:23 ubuntu dstat.sh[71185]: 10-05 20:10:23| 62   9  28   0   0|1435M  975M  199M 5136M|1367k 1351k|   0   413k|   0  19.0 |3389  9911 |2.35 1.29 0.76|7.0   0  22|   0     0 |   0     0 |  9   30    0   15    0
May 10 20:10:24 ubuntu dstat.sh[71185]: 10-05 20:10:24| 85  14   1   0   0|1369M 1041M  199M 5136M| 738k  444k|   0   176k|   0  14.0 |2888  5775 |2.35 1.29 0.76|6.0   0 267|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:25 ubuntu dstat.sh[71185]: 10-05 20:10:25| 88  12   0   0   0|1525M  884M  199M 5137M| 537k  478k|   0   443k|   0  5.99 |2698  4817 |2.35 1.29 0.76|6.0   0  12|   0     0 |   0     0 |  9   31    0   16    0
May 10 20:10:26 ubuntu dstat.sh[71185]: 10-05 20:10:26| 89  10   0   0   0|1431M  978M  199M 5137M|1398k  964k|   0   804k|   0  40.0 |3901  9347 |2.81 1.40 0.80|8.0   0 102|   0     0 |   0     0 |  9   30    0   16    0
May 10 20:10:27 ubuntu dstat.sh[71185]: 10-05 20:10:27| 87  13   1   0   0|1410M  998M  199M 5137M|1192k  898k|   0   565k|   0  31.1 |3367  8258 |2.81 1.40 0.80|9.0   0 143|   0     0 |   0     0 |  9   29    0   14    0
May 10 20:10:28 ubuntu dstat.sh[71185]: 10-05 20:10:28| 87  12   0   0   0|1502M  906M  199M 5137M|1226k  607k|   0   375k|   0  8.98 |3258  5952 |2.81 1.40 0.80|6.0   0  49|   0     0 |   0     0 |  9   30    0   14    0
May 10 20:10:29 ubuntu dstat.sh[71185]: 10-05 20:10:29| 85  13   1   0   0|1466M  942M  199M 5138M|1226k 1212k|   0  2721k|   0   192 |3669  9416 |2.81 1.40 0.80|7.0   0 101|   0     0 |   0     0 |  9   31    0   14    0
May 10 20:10:30 ubuntu dstat.sh[71185]: 10-05 20:10:30| 69  21  10   0   0|1324M 1084M  199M 5139M|2324k 1089k|   0   849k|   0  37.0 |5529    12k|2.81 1.40 0.80|6.0   0 554|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:31 ubuntu dstat.sh[71185]: 10-05 20:10:31| 88  12   0   0   0|1445M  962M  199M 5138M| 557k 1620 |   0   272k|   0  15.0 |2011  1889 |2.90 1.45 0.81|5.0   0  70|   0     0 |   0     0 |  9   28    0   15    0
May 10 20:10:32 ubuntu dstat.sh[71185]: 10-05 20:10:32| 58   6  35   0   0|1483M  924M  199M 5139M|1223k 1193k|   0   428k|   0  9.00 |5527    10k|2.90 1.45 0.81|3.0   0   0|   0     0 |   0     0 |  9   32    0   18    0
May 10 20:10:33 ubuntu dstat.sh[71185]: 10-05 20:10:33| 73  16  10   0   0|1313M 1093M  199M 5139M| 700k  678k|   0   904k|   0  63.0 |3305  7194 |2.90 1.45 0.81|6.0   0 281|   0     0 |   0     0 |  9   28    0   20    0
May 10 20:10:34 ubuntu dstat.sh[71185]: 10-05 20:10:34| 86  13   1   0   0|1471M  936M  199M 5139M| 259k  194k|   0    50M|   0   148 |2166  2634 |2.90 1.45 0.81|5.0   0  59|   0     0 |   0     0 |  9   30    0   20    0
May 10 20:10:35 ubuntu dstat.sh[71185]: 10-05 20:10:35| 65  14  21   0   0|1331M 1075M  199M 5139M|1358k 1324k|   0  1603k|   0  50.0 |4489    11k|2.90 1.45 0.81|6.0   0 235|   0     0 |   0     0 |  9   28    0   21    1
May 10 20:10:36 ubuntu dstat.sh[71185]: 10-05 20:10:36| 87  12   1   0   0|1463M  943M  199M 5139M| 250k   75k|   0   724k|   0  19.0 |2113  2888 |3.07 1.51 0.84|6.0   0 115|   0     0 |   0     0 |  9   28    0   21    0
May 10 20:10:37 ubuntu dstat.sh[71185]: 10-05 20:10:37| 75  10  14   0   0|1485M  921M  199M 5140M|1429k 1201k|   0   695k|   0  20.0 |3436  8286 |3.07 1.51 0.84|3.0   0 2.0|   0     0 |   0     0 |  9   32    0   24    0
May 10 20:10:38 ubuntu dstat.sh[71185]: 10-05 20:10:38| 79  17   4   0   0|1370M 1035M  199M 5140M|1365k 1101k|   0   433k|   0  27.0 |4004    10k|3.07 1.51 0.84|5.0   0 403|   0     0 |   0     0 |  9   28    0   24    0
May 10 20:10:39 ubuntu dstat.sh[71185]: 10-05 20:10:39| 83  13   1   0   0|1456M  950M  199M 5140M| 464k  431k|   0   776k|   0  27.0 |2788  4786 |3.07 1.51 0.84|5.0   0  20|   0     0 |   0     0 |  9   29    0   25    0
May 10 20:10:40 ubuntu dstat.sh[71185]: 10-05 20:10:40| 79  16   2   2   0|1445M  961M  199M 5140M| 749k  719k|   0    10M|   0   204 |4500  8107 |3.07 1.51 0.84|6.0   0 232|   0     0 |   0     0 |  9   30    0   23    0
May 10 20:10:41 ubuntu dstat.sh[71185]: 10-05 20:10:41| 88  12   1   0   0|1451M  954M  199M 5140M| 528k  513k|   0   417k|   0  21.1 |3011  5419 |3.23 1.56 0.86|6.0   0 113|   0     0 |   0     0 |  9   30    0   23    0
May 10 20:10:42 ubuntu dstat.sh[71185]: 10-05 20:10:42| 78  11  10   0   0|1370M 1035M  199M 5140M| 942k  877k|   0  1106k|   0  39.9 |4643  9044 |3.23 1.56 0.86|5.0   0 123|   0     0 |   0     0 |  9   29    0   25    0
May 10 20:10:43 ubuntu dstat.sh[71185]: 10-05 20:10:43| 84  10   6   0   1|1411M  994M  199M 5141M| 839k  817k|   0   752k|   0  31.0 |3431  6855 |3.23 1.56 0.86|6.0   0  70|   0     0 |   0     0 |  9   29    0   26    0
May 10 20:10:44 ubuntu dstat.sh[71185]: 10-05 20:10:44| 68  21  10   0   0|1321M 1084M  199M 5141M| 605k  522k|   0   509k|   0  39.1 |4118  8988 |3.23 1.56 0.86|7.0   0 519|   0     0 |   0     0 |  9   28    0   27    0
May 10 20:10:45 ubuntu dstat.sh[71185]: 10-05 20:10:45| 85  15   0   0   0|1486M  918M  199M 5141M| 232k  203k|   0  5428k|   0   116 |2908  4131 |3.23 1.56 0.86| 10   0 174|   0     0 |   0     0 |  9   29    0   27    0
May 10 20:10:46 ubuntu dstat.sh[71185]: 10-05 20:10:46| 86  13   1   0   0|1523M  881M  199M 5141M|1342k 1071k|   0   540k|   0  11.0 |5485  9874 |3.53 1.65 0.89|7.0   0 133|   0     0 |   0     0 |  9   31    0   27    0
May 10 20:10:47 ubuntu dstat.sh[71185]: 10-05 20:10:47| 86  14   1   0   0|1476M  928M  199M 5141M|1664k 1523k|   0   492k|   0  10.0 |3428    11k|3.53 1.65 0.89|8.0   0 175|   0     0 |   0     0 |  9   29    0   27    0
