-- Logs begin at Thu 2022-07-14 15:46:49 UTC, end at Thu 2022-07-14 17:14:10 UTC. --
Jul 14 16:36:24 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 14 16:36:24 ubuntu dstat.sh[91502]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 14 16:36:24 ubuntu dstat.sh[91502]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 14 16:36:24 ubuntu dstat.sh[91502]: 14-07 16:36:24|                   | 847M 1546M  187M 5045M|           |           |           |           |1.60 1.25 0.81|6.0   0    |           |   0     0 |  8    4    0   10    2
Jul 14 16:36:25 ubuntu dstat.sh[91502]: 14-07 16:36:25| 34  20  44   0   0| 856M 1535M  187M 5046M| 921k   25k|   0  1207k|   0  11.0 |3849  5317 |1.60 1.25 0.81|5.0   0 451|   0     0 |   0     0 |  8    4    0   10    2
Jul 14 16:36:26 ubuntu dstat.sh[91502]: 14-07 16:36:26| 24  19  56   0   0| 849M 1540M  187M 5047M| 245k   12k|   0   648k|   0  12.5 |3593  5740 |1.60 1.25 0.81|2.0   0 347|   0     0 |   0     0 |  8    5    0   10    2
Jul 14 16:36:27 ubuntu dstat.sh[91502]: 14-07 16:36:27| 31  18  50   0   0| 881M 1507M  187M 5075M| 494k   15k|   0   716k|   0  8.00 |4603  9030 |1.79 1.30 0.83|3.0   0 144|   0     0 |   0     0 |  9    5    0   10    2
Jul 14 16:36:28 ubuntu dstat.sh[91502]: 14-07 16:36:28| 20   9  71   0   0| 936M 1451M  187M 5170M| 100k 8213 |   0   640k|   0  14.0 |1832  2436 |1.79 1.30 0.83|2.0   0 104|   0     0 |   0     0 |  9    6    0   10    2
Jul 14 16:36:29 ubuntu dstat.sh[91502]: 14-07 16:36:29| 21   9  69   0   0| 933M 1455M  187M 5170M|  56k 5994 |   0    19M|   0   121 |1840  2156 |1.79 1.30 0.83|1.0   0 138|   0     0 |   0     0 |  9    6    0   10    2
Jul 14 16:36:30 ubuntu dstat.sh[91502]: 14-07 16:36:30| 21   7  71   0   0| 976M 1412M  187M 5171M|  70k   17k|   0  1024k|   0  37.0 |1580  2192 |1.79 1.30 0.83|1.0   0  68|   0     0 |   0     0 |  9    6    0   12    2
Jul 14 16:36:31 ubuntu dstat.sh[91502]: 14-07 16:36:31| 29   4  66   1   0|1009M 1376M  187M 5173M| 337k   12k|  44k 1852k|6.00  16.0 |1516  1647 |1.79 1.30 0.83|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 14 16:36:32 ubuntu dstat.sh[91502]: 14-07 16:36:32| 48   2  49   1   0|1034M 1349M  187M 5175M|  17k 9674 |   0  1266k|   0  45.1 |1511  1730 |1.73 1.29 0.83|4.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Jul 14 16:36:33 ubuntu dstat.sh[91502]: 14-07 16:36:33| 17   3  55  22   0|1024M 1357M  187M 5176M|  35k   23k|   0    10M|   0   822 |5744    10k|1.73 1.29 0.83|2.0 2.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Jul 14 16:36:34 ubuntu dstat.sh[91502]: 14-07 16:36:34|  8   4  64  23   0|1029M 1349M  188M 5178M| 376k   23k|   0    37M|   0   756 |5470  9015 |1.73 1.29 0.83|  0 1.0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Jul 14 16:36:35 ubuntu dstat.sh[91502]: 14-07 16:36:35| 22   5  49  22   0|1053M 1316M  188M 5186M| 578k   30k|   0  8901k|   0   624 |5901  9678 |1.73 1.29 0.83|1.0 1.0  30|   0     0 |   0     0 |  9   10    0   10    2
Jul 14 16:36:36 ubuntu dstat.sh[91502]: 14-07 16:36:36| 31   2  63   3   0|1058M 1309M  189M 5188M|  21k   14k|   0  6661k|   0   642 |5061  8789 |1.73 1.29 0.83|1.0 1.0  16|   0     0 |   0     0 |  9   10    0   10    2
Jul 14 16:36:37 ubuntu dstat.sh[91502]: 14-07 16:36:37| 12   3  66  18   0|1038M 1327M  189M 5190M| 294k   23k|   0  6826k|   0   609 |4577  8566 |1.83 1.32 0.84|2.0 1.0 7.0|   0     0 |   0     0 |  9   10    0   10    2
Jul 14 16:36:38 ubuntu dstat.sh[91502]: 14-07 16:36:38| 22   4  65   8   1|1042M 1321M  189M 5191M| 646k  130k|   0  4019k|   0   403 |5436  9124 |1.83 1.32 0.84|1.0   0 7.0|   0     0 |   0     0 |  9   10    0   10    2
Jul 14 16:36:39 ubuntu dstat.sh[91502]: 14-07 16:36:39| 24   5  69   1   0| 947M 1416M  189M 5191M| 308k   69k|   0  2693k|   0   133 |2621  4156 |1.83 1.32 0.84|3.0   0  64|   0     0 |   0     0 |  9    6    0   10    2
Jul 14 16:36:40 ubuntu dstat.sh[91502]: 14-07 16:36:40| 28   3  68   0   0| 994M 1368M  189M 5191M|  27k 5134 |   0   749k|   0  26.0 |1129  1143 |1.83 1.32 0.84|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Jul 14 16:36:41 ubuntu dstat.sh[91502]: 14-07 16:36:41| 32   2  64   2   0|1032M 1330M  189M 5192M| 161k 7051 |   0  7566k|   0   385 |2347  2764 |1.83 1.32 0.84|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
