-- Logs begin at Mon 2020-03-30 16:48:26 UTC, end at Tue 2020-03-31 02:13:06 UTC. --
Mar 31 01:42:22 cloud-provider-iscsi-0000000079 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 01:42:23 cloud-provider-iscsi-0000000079 dstat.sh[24088]: [286B blob data]
Mar 31 01:42:23 cloud-provider-iscsi-0000000079 dstat.sh[24088]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 01:42:23 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:23|  0   0  99   0   0| 426M 4450M  145M 2725M|   0     0 |  10k  273k|0.38  2.50 | 258   275 |0.58 0.65 0.47|2.0   0 1.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2305  187k 176k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 01:42:24 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:24| 10  19  70   0   0| 426M 4449M  145M 2726M|  15k 2160B|  24k  260k|1.00  8.00 |2518  5129 |0.58 0.65 0.47|1.0   0 453|   0     0 |bash                 2305 3.5%1472k  29k|bash                 2305 1472k  29k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 01:42:25 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:25| 14  21  65   0   0| 426M 4448M  145M 2726M|8179B 2160B|   0   352k|   0  30.0 |3044  5787 |0.58 0.65 0.47|2.0   0 386|   0     0 |systemd              1    2.5%   0    0 |bash                 2305 3191k  25k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 01:42:26 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:26| 10  10  80   0   0| 551M 4322M  145M 2848M|6846B 2160B|   0     0 |   0     0 |3040  5739 |0.58 0.65 0.47|1.0   0  96|   0     0 |systemd              1    6.8%   0    0 |bash                 2305  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 31 01:42:27 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:27| 10  12  79   0   0| 561M 4313M  145M 2848M|8706B 2160B|   0     0 |   0     0 |2007  3573 |0.58 0.65 0.47|2.0   0 296|   0     0 |keystone-manage      254123.0%1679k  79k|keystone-manage      254121679k  79k3.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 01:42:28 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:28| 21   2  74   3   0| 598M 4275M  145M 2849M|8293B 2160B| 120k    0 |7.00     0 | 672   722 |0.62 0.66 0.47|1.0   0   0|   0     0 |keystone-manage      25412 22%9641k 153k|keystone-manage      254129641k 153k 22%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 01:42:29 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:29| 16   4  73   7   0| 632M 4239M  145M 2850M|8017B 2160B|  84k 5592k|7.00   257 |1872  3320 |0.62 0.66 0.47|  0 1.0   0|   0     0 |keystone-manage      25412 14%5273k 548k|keystone-manage      254125273k 548k 14%|mysqld       187M|   0     0 |  14    7    0    6    0
Mar 31 01:42:30 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:30|  7   5  71  18   0| 636M 4234M  145M 2851M|8012B 2160B|   0    52M|   0  1089 |4174  8049 |0.62 0.66 0.47|1.0 1.0   0|   0     0 |mysqld               233685.8%   0    0 |python2              24148  14k 465B0.2%|mysqld       191M|   0     0 |  14    7    0    6    0
Mar 31 01:42:31 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:31|  7   5  73  15   0| 638M 4165M  146M 2916M|  14k 2160B|   0    71M|   0   594 |3209  5740 |0.62 0.66 0.47|1.0 1.0   0|   0     0 |mysqld               233686.0%   0    0 |keystone-manage      25412  21k  13k3.5%|mysqld       193M|   0     0 |  14    7    0    6    0
Mar 31 01:42:32 cloud-provider-iscsi-0000000079 dstat.sh[24088]: 31-03 01:42:32|  8   5  72  15   0| 640M 4162M  146M 2917M|6260B 2160B|   0  7992k|   0   689 |4099  8545 |0.62 0.66 0.47|  0 1.0   0|   0     0 |mysqld               233685.8%   0    0 |keystone-manage      25412  31k  17k4.5%|mysqld       195M|   0     0 |  14    7    0    6    0
