-- Logs begin at Mon 2022-08-22 10:09:41 UTC, end at Mon 2022-08-22 12:14:58 UTC. --
Aug 22 12:02:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 22 12:02:14 ubuntu dstat.sh[81439]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 22 12:02:14 ubuntu dstat.sh[81439]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 22 12:02:14 ubuntu dstat.sh[81439]: 22-08 12:02:14|                   | 860M 1651M  187M 4936M|           |           |           |           |1.39 0.57 0.26|2.0   0    |           |   0     0 |  8    5    0   10    2
Aug 22 12:02:15 ubuntu dstat.sh[81439]: 22-08 12:02:15| 12  19  68   0   0| 861M 1649M  187M 4936M| 165k   11k|   0   726k|   0  18.0 |2822  4039 |1.39 0.57 0.26|3.0   0 359|   0     0 |   0     0 |  8    5    0   10    2
Aug 22 12:02:16 ubuntu dstat.sh[81439]: 22-08 12:02:16| 24  17  58   1   1| 844M 1666M  187M 4937M| 254k   10k|   0   672k|   0  15.0 |2880  4920 |1.39 0.57 0.26|2.0   0 316|   0     0 |   0     0 |  8    6    0   10    2
Aug 22 12:02:17 ubuntu dstat.sh[81439]: 22-08 12:02:17| 28  15  56   0   0| 850M 1659M  187M 4937M| 322k   15k|   0   528k|   0  6.00 |3043  8654 |1.60 0.63 0.28|3.0   0 170|   0     0 |   0     0 |  8    6    0   10    2
Aug 22 12:02:18 ubuntu dstat.sh[81439]: 22-08 12:02:18| 19  12  69   0   0| 994M 1513M  187M 5061M|1031k   27k|   0    20k|   0  5.00 |3612  4968 |1.60 0.63 0.28|1.0   0 139|   0     0 |   0     0 |  9    8    0   10    2
Aug 22 12:02:19 ubuntu dstat.sh[81439]: 22-08 12:02:19| 18  11  71   0   0|1002M 1502M  187M 5063M|1155k   28k|   0    11M|   0   145 |3198  3572 |1.60 0.63 0.28|2.0   0 189|   0     0 |   0     0 |  9    8    0   12    2
Aug 22 12:02:20 ubuntu dstat.sh[81439]: 22-08 12:02:20| 23   4  71   1   0|1048M 1454M  187M 5066M|1256k   15k|  52k  857k|5.00  19.0 |2056  1850 |1.60 0.63 0.28|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Aug 22 12:02:21 ubuntu dstat.sh[81439]: 22-08 12:02:21| 24   3  70   1   0|1083M 1417M  187M 5068M| 656k 8524 | 144k 4279k|8.99  8.99 |1454  1315 |1.60 0.63 0.28|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 22 12:02:22 ubuntu dstat.sh[81439]: 22-08 12:02:22| 18   3  66  12   0|1087M 1409M  188M 5072M|1487k   23k|  12k 8417k|1.00   451 |4553  6317 |1.71 0.67 0.30|3.0   0  10|   0     0 |   0     0 |  9   10    0   10    2
Aug 22 12:02:23 ubuntu dstat.sh[81439]: 22-08 12:02:23|  6   2  68  20   0|1087M 1406M  188M 5074M| 140k   12k|   0  8060k|   0   713 |5571  9930 |1.71 0.67 0.30|4.0 1.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
