-- Logs begin at Mon 2022-08-01 16:03:15 UTC, end at Mon 2022-08-01 17:08:47 UTC. --
Aug 01 16:56:09 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 01 16:56:09 ubuntu dstat.sh[91831]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 01 16:56:09 ubuntu dstat.sh[91831]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 01 16:56:09 ubuntu dstat.sh[91831]: 01-08 16:56:09|                   | 910M 1470M  187M 5055M|           |           |           |           |1.83 1.01 0.63|4.0   0    |           |   0     0 |  8    6    0   11    2
Aug 01 16:56:10 ubuntu dstat.sh[91831]: 01-08 16:56:10| 33  20  44   1   0| 921M 1459M  187M 5055M| 238k   13k|   0   811k|   0  23.0 |3114  4738 |1.83 1.01 0.63|4.0   0 430|   0     0 |   0     0 |  8    6    0   11    2
Aug 01 16:56:11 ubuntu dstat.sh[91831]: 01-08 16:56:11| 24  20  56   0   0| 912M 1467M  187M 5056M| 203k   12k|   0   483k|   0  19.0 |3156  5320 |1.83 1.01 0.63|1.0   0 357|   0     0 |   0     0 |  8    7    0   11    2
Aug 01 16:56:12 ubuntu dstat.sh[91831]: 01-08 16:56:12| 26  16  57   1   0|1015M 1362M  187M 5144M| 716k   20k|   0   492k|   0  10.0 |4865  8776 |1.83 1.01 0.63| 21   0 123|   0     0 |   0     0 |  9    7    0   11    2
Aug 01 16:56:13 ubuntu dstat.sh[91831]: 01-08 16:56:13| 18   9  71   1   0| 942M 1434M  187M 5181M| 670k   19k|   0  1999k|   0  20.0 |2162  2487 |1.83 1.01 0.63|2.0   0  84|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 16:56:14 ubuntu dstat.sh[91831]: 01-08 16:56:14| 20  10  69   0   0| 939M 1436M  187M 5182M|  18k 5181 |   0   440k|   0  17.0 |1616  2243 |1.84 1.03 0.64|1.0   0 135|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 16:56:15 ubuntu dstat.sh[91831]: 01-08 16:56:15| 22   8  69   1   0| 973M 1402M  187M 5182M|  53k   16k|   0  1032k|   0  36.0 |1443  2176 |1.84 1.03 0.64|2.0   0  71|   0     0 |   0     0 |  9    6    0   13    2
Aug 01 16:56:16 ubuntu dstat.sh[91831]: 01-08 16:56:16| 23   5  67   3   0| 990M 1384M  187M 5183M|  17k 4615 |  44k   25M|5.99   332 |1617  1423 |1.84 1.03 0.64|2.0   0   0|   0     0 |   0     0 |  9    6    0   13    2
Aug 01 16:56:17 ubuntu dstat.sh[91831]: 01-08 16:56:17| 27   1  71   0   0|1006M 1367M  187M 5183M| 182k 8989 |   0   984k|   0  19.0 |1263  1475 |1.84 1.03 0.64|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   13    2
Aug 01 16:56:18 ubuntu dstat.sh[91831]: 01-08 16:56:18| 16   3  67  14   0|1024M 1348M  187M 5184M|  28k   15k|   0  8391k|   0   608 |3561  7186 |1.84 1.03 0.64|2.0 1.0  10|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 16:56:19 ubuntu dstat.sh[91831]: 01-08 16:56:19|  9   3  67  20   0|1025M 1345M  188M 5186M| 112k   13k|   0  8466k|   0   781 |4731    10k|1.77 1.03 0.64|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 16:56:20 ubuntu dstat.sh[91831]: 01-08 16:56:20|  9   3  65  20   0|1032M 1335M  188M 5189M| 873k   29k|   0  6133k|   0   590 |5819  9750 |1.77 1.03 0.64|2.0 1.0  21|   0     0 |   0     0 |  9    8    0   13    2
Aug 01 16:56:21 ubuntu dstat.sh[91831]: 01-08 16:56:21| 16   4  60  20   0|1036M 1327M  188M 5192M| 204k   15k|   0    42M|   0   797 |5704  9263 |1.77 1.03 0.64|2.0   0  18|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 16:56:22 ubuntu dstat.sh[91831]: 01-08 16:56:22| 10   2  65  20   0|1038M 1322M  189M 5195M| 541k   24k|   0  7395k|   0   643 |5604  9403 |1.77 1.03 0.64|  0 1.0  12|   0     0 |   0     0 |  9    8    0   11    2
Aug 01 16:56:23 ubuntu dstat.sh[91831]: 01-08 16:56:23| 18   2  64  14   0|1041M 1318M  189M 5196M|  39k   11k|   0  4135k|   0   403 |3797  6540 |1.77 1.03 0.64|1.0   0  12|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 16:56:24 ubuntu dstat.sh[91831]: 01-08 16:56:24| 23   6  71   0   0| 989M 1370M  189M 5196M|  47k 5432 |   0   773k|   0  25.0 |1398  1814 |1.71 1.03 0.64|1.0   0  76|   0     0 |   0     0 |  9    6    0   11    2
Aug 01 16:56:25 ubuntu dstat.sh[91831]: 01-08 16:56:25| 43   5  50   1   0|1058M 1298M  189M 5198M|  72k 4190 |   0  7687k|   0   387 |2189  2838 |1.71 1.03 0.64|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   11    2
