-- Logs begin at Mon 2022-07-04 08:35:34 UTC, end at Mon 2022-07-04 10:08:35 UTC. --
Jul 04 09:32:49 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 04 09:32:49 ubuntu dstat.sh[86284]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 04 09:32:49 ubuntu dstat.sh[86284]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 04 09:32:49 ubuntu dstat.sh[86284]: 04-07 09:32:49|                   | 829M 1668M  186M 4949M|           |           |           |           |1.14 0.65 0.48|2.0   0    |           |   0     0 |  8    4    1   10    2
Jul 04 09:32:50 ubuntu dstat.sh[86284]: 04-07 09:32:50| 33  21  44   1   0| 838M 1657M  186M 4950M| 929k   12k|   0  3827k|   0  14.0 |2974  4130 |1.14 0.65 0.48|2.0   0 401|   0     0 |   0     0 |  8    4    1   10    2
Jul 04 09:32:51 ubuntu dstat.sh[86284]: 04-07 09:32:51| 26  18  55   0   0| 832M 1659M  186M 4953M|1135k   14k|   0    28k|   0  10.5 |3523  4946 |1.14 0.65 0.48|1.0   0 356|   0     0 |   0     0 |  8    5    1   10    2
Jul 04 09:32:52 ubuntu dstat.sh[86284]: 04-07 09:32:52| 22  14  61   0   0| 977M 1513M  186M 5077M| 868k   15k|   0  2171k|   0  10.0 |4826  8924 |1.14 0.65 0.48|  0   0 107|   0     0 |   0     0 |  9    5    1   10    2
Jul 04 09:32:53 ubuntu dstat.sh[86284]: 04-07 09:32:53| 25   9  65   1   1| 932M 1558M  186M 5078M| 221k 7956 |   0   817k|   0  17.0 |1686  2026 |1.04 0.64 0.48|1.0   0  97|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:32:54 ubuntu dstat.sh[86284]: 04-07 09:32:54| 19  11  68   1   0| 936M 1553M  186M 5078M| 123k   18k|   0   687k|   0  29.0 |2163  3036 |1.04 0.64 0.48|1.0   0 192|   0     0 |   0     0 |  9    6    1   12    2
Jul 04 09:32:55 ubuntu dstat.sh[86284]: 04-07 09:32:55| 24   5  71   1   0| 965M 1524M  186M 5078M| 211k 8113 |  56k 1622k|6.01  24.0 |1193  1324 |1.04 0.64 0.48|1.0 1.0 1.0|   0     0 |   0     0 |  9    6    1   12    2
Jul 04 09:32:56 ubuntu dstat.sh[86284]: 04-07 09:32:56| 27   3  68   1   0| 990M 1496M  186M 5080M| 115k 5036 | 140k   11M|8.00  72.0 |1270  1294 |1.04 0.64 0.48|2.0   0 1.0|   0     0 |   0     0 |  9    6    1   12    2
Jul 04 09:32:57 ubuntu dstat.sh[86284]: 04-07 09:32:57| 21   1  71   6   0|1011M 1474M  186M 5081M| 151k   26k|  12k 1845k|1.00   120 |2130  3499 |1.04 0.64 0.48|  0 1.0 2.0|   0     0 |   0     0 |  9    8    1   12    2
Jul 04 09:32:58 ubuntu dstat.sh[86284]: 04-07 09:32:58|  6   2  61  28   0|1014M 1470M  186M 5082M|  26k 9209 |   0  7659k|   0   543 |4288  7488 |1.12 0.67 0.49|  0 1.0 9.0|   0     0 |   0     0 |  9    8    1   12    2
Jul 04 09:32:59 ubuntu dstat.sh[86284]: 04-07 09:32:59| 11   3  65  21   0|1016M 1467M  186M 5083M|  45k   15k|   0  5569k|   0   494 |4519  7857 |1.12 0.67 0.49|1.0   0 2.0|   0     0 |   0     0 |  9    8    1   12    2
Jul 04 09:33:00 ubuntu dstat.sh[86284]: 04-07 09:33:00|  8   2  64  23   0|1022M 1460M  187M 5084M|  39k   12k|   0  5076k|   0   485 |4653  8048 |1.12 0.67 0.49|  0 1.0  12|   0     0 |   0     0 |  9    8    1   12    2
Jul 04 09:33:01 ubuntu dstat.sh[86284]: 04-07 09:33:01|  8   4  66  20   0|1024M 1454M  187M 5087M| 156k   20k|   0    16M|   0   564 |4717  8484 |1.12 0.67 0.49|  0 1.0  20|   0     0 |   0     0 |  9   10    1   12    2
Jul 04 09:33:02 ubuntu dstat.sh[86284]: 04-07 09:33:02|  8   3  65  22   0|1027M 1449M  187M 5089M| 487k   21k|   0  5644k|   0   556 |4850  8908 |1.12 0.67 0.49|2.0 1.0  14|   0     0 |   0     0 |  9   10    1   10    2
Jul 04 09:33:03 ubuntu dstat.sh[86284]: 04-07 09:33:03|  5   3  69  21   1|1029M 1444M  188M 5091M| 504k   17k|   0  6298k|   0   548 |4779  8555 |1.19 0.69 0.50|  0 1.0 3.0|   0     0 |   0     0 |  9   10    1   10    2
Jul 04 09:33:04 ubuntu dstat.sh[86284]: 04-07 09:33:04| 10   4  63  19   0|1031M 1440M  188M 5092M| 206k   42k|   0  5848k|   0   638 |5777    10k|1.19 0.69 0.50|1.0 1.0  13|   0     0 |   0     0 |  9   10    1   10    2
Jul 04 09:33:05 ubuntu dstat.sh[86284]: 04-07 09:33:05| 31   2  60   5   0|1035M 1435M  188M 5093M| 683k  160k|   0  2823k|   0   227 |4707  7483 |1.19 0.69 0.50|1.0   0 1.0|   0     0 |   0     0 |  9   10    1   10    2
Jul 04 09:33:06 ubuntu dstat.sh[86284]: 04-07 09:33:06| 22   6  69   1   0| 972M 1498M  188M 5094M|  91k 6787 |   0    34M|   0   179 |1849  1966 |1.19 0.69 0.50|1.0   0  77|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:07 ubuntu dstat.sh[86284]: 04-07 09:33:07| 26   4  69   1   0|1018M 1452M  188M 5094M|  46k 5199 |   0  1381k|   0  30.0 |1013  1049 |1.19 0.69 0.50|1.0   0   0|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:08 ubuntu dstat.sh[86284]: 04-07 09:33:08| 41   3  53   4   0|1050M 1417M  188M 5096M|  74k 3874 |   0  7916k|   0   389 |2197  2686 |1.18 0.69 0.50|2.0   0 4.0|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:09 ubuntu dstat.sh[86284]: 04-07 09:33:09| 47   3  48   0   0| 981M 1485M  188M 5096M|  12k 1714 |   0  7238k|   0   401 |2343  2715 |1.18 0.69 0.50|2.0   0  13|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:10 ubuntu dstat.sh[86284]: 04-07 09:33:10| 25   3  68   3   0|1024M 1443M  188M 5096M|  50k 6312 |   0  7623k|   0   419 |2154  2924 |1.18 0.69 0.50|1.0   0   0|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:11 ubuntu dstat.sh[86284]: 04-07 09:33:11| 27   1  68   2   0|1030M 1436M  188M 5097M| 313k   11k|4095B 9874k|1.00   411 |2474  3085 |1.18 0.69 0.50|1.0   0 1.0|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:12 ubuntu dstat.sh[86284]: 04-07 09:33:12| 20  16  62   1   1| 958M 1501M  189M 5103M| 884k   22k|   0  2691k|   0  97.1 |3571  4787 |1.18 0.69 0.50|3.0   0 342|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:13 ubuntu dstat.sh[86284]: 04-07 09:33:13| 38  17  44   0   0| 970M 1489M  189M 5103M|8273  1618 |   0    32k|   0  7.99 |3060  5738 |1.24 0.72 0.51|2.0   0 334|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:14 ubuntu dstat.sh[86284]: 04-07 09:33:14| 43  17  38   3   0|1000M 1458M  189M 5104M|  30k 3645 | 196k   16k|3.00  1.00 |3794  7047 |1.24 0.72 0.51|2.0   0 184|   0     0 |   0     0 |  9    7    1   10    2
Jul 04 09:33:15 ubuntu dstat.sh[86284]: 04-07 09:33:15| 49   5  45   1   0|1096M 1361M  189M 5104M| 427k   12k| 146k 1396k|4.94  9.89 |1539  1293 |1.24 0.72 0.51|3.0   0 1.0|   0     0 |   0     0 |  9    7    1   10    2
Jul 04 09:33:16 ubuntu dstat.sh[86284]: 04-07 09:33:16| 52   3  45   0   0|1132M 1323M  189M 5106M| 565k   16k| 356k  834k|4.05  6.07 |1608  1263 |1.24 0.72 0.51|2.0   0 1.0|   0     0 |   0     0 |  9    7    1   10    2
Jul 04 09:33:17 ubuntu dstat.sh[86284]: 04-07 09:33:17| 52   3  44   0   0|1154M 1299M  189M 5108M|  64k 5544 |   0    11M|   0   442 |2350  3778 |1.24 0.72 0.51|4.0   0   0|   0     0 |   0     0 |  9    7    1   10    2
Jul 04 09:33:18 ubuntu dstat.sh[86284]: 04-07 09:33:18| 34  10  54   1   0|1195M 1257M  189M 5109M|  81k 5781 |   0   681k|   0  6.05 |2328  5006 |1.30 0.74 0.51|2.0   0 141|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:19 ubuntu dstat.sh[86284]: 04-07 09:33:19| 26   4  69   0   0|1245M 1207M  189M 5109M| 217k 9061 |   0   288k|   0  5.99 |1135  1096 |1.30 0.74 0.51|2.0   0 4.0|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:20 ubuntu dstat.sh[86284]: 04-07 09:33:20| 42   2  55   0   0|1278M 1173M  189M 5109M|  26k 2527 |   0   308k|   0  6.00 |1094  1055 |1.30 0.74 0.51|2.0   0 2.0|   0     0 |   0     0 |  9    6    1   10    2
Jul 04 09:33:21 ubuntu dstat.sh[86284]: 04-07 09:33:21| 43   5  50   2   0|1160M 1291M  189M 5109M|  71k   66k|   0  3338k|   0   313 |3356  5845 |1.30 0.74 0.51|1.0   0  44|   0     0 |   0     0 |  9    6    1   12    2
Jul 04 09:33:22 ubuntu dstat.sh[86284]: 04-07 09:33:22| 28   4  66   2   0|1186M 1265M  189M 5110M|9922  3245 | 196k 7285k|12.0  29.0 |1027  1230 |1.30 0.74 0.51|2.0   0 1.0|   0     0 |   0     0 |  9    6    1   12    2
Jul 04 09:33:23 ubuntu dstat.sh[86284]: 04-07 09:33:23| 48   7  43   2   0|1240M 1210M  189M 5111M|  89k   81k| 116k  832k|25.0  13.0 |2013  8521 |1.36 0.76 0.52|1.0 1.0  39|   0     0 |   0     0 |  9   18    1   13    2
Jul 04 09:33:24 ubuntu dstat.sh[86284]: 04-07 09:33:24| 45   6  49   0   0|1204M 1244M  189M 5111M|  54k   46k|  44k  708k|11.0  8.00 |1645  1918 |1.36 0.76 0.52|2.0   0  47|   0     0 |   0     0 |  9   30    1   12    2
Jul 04 09:33:25 ubuntu dstat.sh[86284]: 04-07 09:33:25| 46   4  49   0   0|1194M 1253M  190M 5113M|  70k   60k|   0   192k|   0  4.00 |1751  2213 |1.36 0.76 0.52|2.0   0  23|   0     0 |   0     0 |  9   30    1   12    2
Jul 04 09:33:26 ubuntu dstat.sh[86284]: 04-07 09:33:26| 63  11  26   0   0|1256M 1189M  190M 5114M|  17k 1513 |   0    40k|   0  7.00 |2265  3087 |1.36 0.76 0.52|3.0   0 174|   0     0 |   0     0 |  9   30    1   10    2
Jul 04 09:33:27 ubuntu dstat.sh[86284]: 04-07 09:33:27| 71   5  23   0   0|1254M 1191M  190M 5114M| 776k  770k|   0  2909k|   0  34.9 |3991    10k|1.36 0.76 0.52|3.0   0 3.0|   0     0 |   0     0 |  9   34    1   13    2
Jul 04 09:33:28 ubuntu dstat.sh[86284]: 04-07 09:33:28| 80  16   4   0   0|1293M 1152M  190M 5114M|  14k 1624 |   0   333k|   0  19.1 |2209  3701 |1.49 0.80 0.54|6.0   0 381|   0     0 |   0     0 |  9   34    1   13    2
Jul 04 09:33:29 ubuntu dstat.sh[86284]: 04-07 09:33:29| 83  15   1   0   0|1414M 1012M  190M 5131M| 730k  724k|   0  2493k|   0   105 |5466    11k|1.49 0.80 0.54|7.0 2.0 161|   0     0 |   0     0 |  9   37    1   13    2
Jul 04 09:33:30 ubuntu dstat.sh[86284]: 04-07 09:33:30| 85  13   1   0   0|1313M 1105M  191M 5138M| 250k  241k|   0  2109k|   0   113 |3768  6815 |1.49 0.80 0.54|6.0   0 168|   0     0 |   0     0 |  9   35    1   11    2
Jul 04 09:33:31 ubuntu dstat.sh[86284]: 04-07 09:33:31| 66  12  20   2   0|1259M 1151M  191M 5143M| 523k  509k|   0  3028k|   0   126 |5323    10k|1.49 0.80 0.54|3.0   0 134|   0     0 |   0     0 |  9   35    1   12    2
Jul 04 09:33:32 ubuntu dstat.sh[86284]: 04-07 09:33:32| 50  11  34   5   0|1251M 1147M  192M 5154M| 271k  262k|   0  2663k|   0  75.0 |3141  5785 |1.49 0.80 0.54|3.0   0  70|   0     0 |   0     0 |  9   35    0   12    2
Jul 04 09:33:33 ubuntu dstat.sh[86284]: 04-07 09:33:33| 37   9  53   2   0|1222M 1156M  192M 5171M| 194k  185k|   0  2340k|   0  97.0 |2562  4849 |1.53 0.82 0.54|1.0   0  71|   0     0 |   0     0 |  9   34    1   12    2
Jul 04 09:33:34 ubuntu dstat.sh[86284]: 04-07 09:33:34| 23   4  72   1   0|1250M 1129M  192M 5171M| 210k  202k|   0   507k|   0  32.0 |2371  4094 |1.53 0.82 0.54|1.0   0   0|   0     0 |   0     0 |  9   35    0   13    2
Jul 04 09:33:35 ubuntu dstat.sh[86284]: 04-07 09:33:35| 23  19  57   1   0|1127M 1270M  193M 5152M|  13k 3045 |   0  2137k|   0   103 |3073  4696 |1.53 0.82 0.54|2.0   0 441|   0     0 |   0     0 |  9   32    0   13    0
Jul 04 09:33:36 ubuntu dstat.sh[86284]: 04-07 09:33:36| 62  25  12   0   0|1283M 1115M  193M 5152M|7192  1622 |   0    48k|   0  12.0 |2470    12k|1.53 0.82 0.54|7.0   0 602|   0     0 |   0     0 |  9   32    0   13    0
Jul 04 09:33:37 ubuntu dstat.sh[86284]: 04-07 09:33:37| 84  15   0   0   0|1414M  984M  193M 5153M| 410k  405k|   0  4088k|   0  71.0 |3255    28k|1.53 0.82 0.54|7.0   0 144|   0     0 |   0     0 |  9   35    0   13    0
Jul 04 09:33:38 ubuntu dstat.sh[86284]: 04-07 09:33:38| 82  10   7   0   0|1469M  928M  193M 5153M|1195k 1189k|   0   386k|   0  32.9 |5720    15k|1.81 0.89 0.57|5.0   0 4.0|   0     0 |   0     0 |  9   36    0   13    0
