-- Logs begin at Thu 2022-09-08 15:11:08 UTC, end at Thu 2022-09-08 16:41:12 UTC. --
Sep 08 16:02:01 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 08 16:02:01 ubuntu dstat.sh[72696]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 08 16:02:01 ubuntu dstat.sh[72696]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 08 16:02:01 ubuntu dstat.sh[72696]: 08-09 16:02:01|                   | 872M 1613M  186M 4963M|           |           |           |           |0.95 0.83 0.58|3.0   0    |           |   0     0 |  8    6    0   10    2
Sep 08 16:02:02 ubuntu dstat.sh[72696]: 08-09 16:02:02| 12  19  67   0   0| 873M 1611M  186M 4964M|1125k   28k|   0   778k|   0  21.0 |3528  4561 |0.95 0.83 0.58|2.5   0 365|   0     0 |   0     0 |  8    6    0   10    2
Sep 08 16:02:03 ubuntu dstat.sh[72696]: 08-09 16:02:03| 38  21  41   1   0| 842M 1639M  186M 4966M| 183k   12k|   0  2092k|   0  19.5 |3652  5231 |0.95 0.83 0.58|3.0   0 307|   0     0 |   0     0 |  8    4    0   10    2
Sep 08 16:02:04 ubuntu dstat.sh[72696]: 08-09 16:02:04| 40  19  39   0   0| 857M 1623M  186M 4968M| 927k   19k|   0  1859k|   0  12.0 |4958  8861 |1.35 0.92 0.61|4.0   0 208|   0     0 |   0     0 |  8    4    0   10    2
Sep 08 16:02:05 ubuntu dstat.sh[72696]: 08-09 16:02:05|  8   7  84   0   0| 997M 1480M  186M 5091M| 663k   15k|   0  1286k|   0  6.99 |2803  3888 |1.35 0.92 0.61|3.0   0  43|   0     0 |   0     0 |  9    5    0    8    2
Sep 08 16:02:06 ubuntu dstat.sh[72696]: 08-09 16:02:06| 31  10  57   1   0|1007M 1470M  186M 5091M| 151k   12k|   0    22M|   0  95.1 |2075  2505 |1.35 0.92 0.61|1.0   0 108|   0     0 |   0     0 |  9    7    1    8    2
Sep 08 16:02:07 ubuntu dstat.sh[72696]: 08-09 16:02:07| 19  11  70   0   0|1022M 1454M  186M 5092M| 514k   27k|   0  1128k|   0  24.0 |2439  3571 |1.35 0.92 0.61|2.0   0 177|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:08 ubuntu dstat.sh[72696]: 08-09 16:02:08| 26   3  71   1   0|1047M 1429M  186M 5092M| 106k 6673 |  52k 1265k|5.00  19.0 |1264  1403 |1.35 0.92 0.61|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:09 ubuntu dstat.sh[72696]: 08-09 16:02:09| 26   3  69   2   0|1077M 1398M  186M 5093M| 233k 9897 | 144k 1688k|9.00  20.0 |1343  1575 |1.32 0.92 0.61|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:10 ubuntu dstat.sh[72696]: 08-09 16:02:10| 26   4  57  11   0|1097M 1372M  187M 5098M| 925k   38k|  12k 5378k|1.00   340 |4397  6136 |1.32 0.92 0.61|1.0 1.0  14|   0     0 |   0     0 |  9   10    0   10    2
Sep 08 16:02:11 ubuntu dstat.sh[72696]: 08-09 16:02:11| 26   7  43  24   0|1080M 1386M  187M 5101M| 302k   19k|   0    16M|   0   994 |5809    10k|1.32 0.92 0.61|3.0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:12 ubuntu dstat.sh[72696]: 08-09 16:02:12| 34   6  41  20   0|1103M 1360M  187M 5103M| 734k   23k|   0  6703k|   0   587 |5494  9018 |1.32 0.92 0.61|1.0 1.0  23|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:13 ubuntu dstat.sh[72696]: 08-09 16:02:13| 24   7  52  16   0|1104M 1350M  188M 5111M| 433k   15k|   0    10M|   0   661 |5858  9794 |1.32 0.92 0.61|2.0   0  21|   0     0 |   0     0 |  9    9    0   10    2
Sep 08 16:02:14 ubuntu dstat.sh[72696]: 08-09 16:02:14| 12   3  65  18   0|1108M 1344M  188M 5113M| 119k   16k|   0  6584k|   0   597 |5133  9285 |1.54 0.97 0.63|1.0 1.0  10|   0     0 |   0     0 |  9    9    0   10    2
Sep 08 16:02:15 ubuntu dstat.sh[72696]: 08-09 16:02:15| 21   2  60  14   0|1112M 1338M  189M 5114M| 582k   23k|   0  4777k|   0   445 |4887  7730 |1.54 0.97 0.63|1.0   0  15|   0     0 |   0     0 |  9   10    0   10    2
Sep 08 16:02:16 ubuntu dstat.sh[72696]: 08-09 16:02:16| 24   6  68   0   0|1054M 1395M  189M 5115M| 396k   14k|   0  4785k|   0  23.0 |1762  2158 |1.54 0.97 0.63|1.0   0  77|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:17 ubuntu dstat.sh[72696]: 08-09 16:02:17| 27   2  70   0   0|1103M 1346M  189M 5116M| 256k   11k|   0   925k|   0  12.0 |1253  1438 |1.54 0.97 0.63|3.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:18 ubuntu dstat.sh[72696]: 08-09 16:02:18| 32   3  63   1   0|1029M 1415M  189M 5119M|1157k   32k|   0  7472k|   0   401 |3237  3140 |1.54 0.97 0.63|2.0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:19 ubuntu dstat.sh[72696]: 08-09 16:02:19| 46   8  43   2   0|1062M 1384M  189M 5118M| 222k 9396 |   0  9273k|   0   413 |2622  3135 |1.57 0.99 0.64|3.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 08 16:02:20 ubuntu dstat.sh[72696]: 08-09 16:02:20| 53   6  41   1   0|1109M 1335M  189M 5119M|  20k 2998 |   0  7581k|   0   395 |2334  2999 |1.57 0.99 0.64|3.0   0 6.0|   0     0 |   0     0 |  9    6    1   10    2
Sep 08 16:02:21 ubuntu dstat.sh[72696]: 08-09 16:02:21| 18  15  64   2   0|1018M 1426M  189M 5119M|  48k 6308 |   0    11M|   0   409 |3357  5501 |1.57 0.99 0.64|3.0   0 293|   0     0 |   0     0 |  9    7    0   10    2
Sep 08 16:02:22 ubuntu dstat.sh[72696]: 08-09 16:02:22| 38  22  39   0   0|1040M 1401M  189M 5122M|6864  2730 |   0  1344k|   0  51.9 |2776  5664 |1.57 0.99 0.64|7.0   0 388|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:23 ubuntu dstat.sh[72696]: 08-09 16:02:23| 44  22  35   0   0|1060M 1380M  190M 5123M|  10k 2634 | 196k 1050k|3.01  15.0 |3373    12k|1.57 0.99 0.64|4.0   0 127|   0     0 |   0     0 |  9    8    0   10    2
Sep 08 16:02:24 ubuntu dstat.sh[72696]: 08-09 16:02:24| 63  10  21   5   0|1160M 1265M  190M 5136M|  52k 3330 | 128k 2782k|1.00  59.9 |2074  2640 |1.69 1.02 0.65|3.0 1.0  87|   0     0 |   0     0 |  9    9    0   10    2
Sep 08 16:02:25 ubuntu dstat.sh[72696]: 08-09 16:02:25| 63   7  26   6   0|1229M 1184M  190M 5146M| 247k 5130 | 373k 2137k|8.02  74.2 |1899  1621 |1.69 1.02 0.65|3.0   0 2.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 08 16:02:26 ubuntu dstat.sh[72696]: 08-09 16:02:26| 59   7  23  10   0|1256M 1144M  191M 5157M| 795k   16k|4096B 7625k|1.00   333 |4050  5712 |1.69 1.02 0.65|2.0 2.0   0|   0     0 |   0     0 |  9    9    0   10    2
Sep 08 16:02:27 ubuntu dstat.sh[72696]: 08-09 16:02:27| 37  12  35  15   0|1261M 1134M  192M 5160M| 219k 7346 |   0    12M|   0   379 |3440  5329 |1.69 1.02 0.65|4.0   0 147|   0     0 |   0     0 |  9    6    0    9    2
Sep 08 16:02:28 ubuntu dstat.sh[72696]: 08-09 16:02:28| 55   8  34   3   0|1340M 1045M  192M 5168M|6827  1620 |   0  1356k|   0  29.0 |1459  1406 |1.69 1.02 0.65|5.0 1.0 4.0|   0     0 |   0     0 |  9    6    0    9    2
Sep 08 16:02:29 ubuntu dstat.sh[72696]: 08-09 16:02:29| 48   5  46   1   0|1359M 1007M  192M 5185M|  13k 6826 |   0  1877k|   0  57.0 |1517  1491 |1.71 1.04 0.66|2.0   0 2.0|   0     0 |   0     0 |  9    9    0    9    2
