-- Logs begin at Thu 2022-06-30 07:07:20 UTC, end at Thu 2022-06-30 09:06:32 UTC. --
Jun 30 08:26:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 30 08:26:08 ubuntu dstat.sh[20946]: [286B blob data]
Jun 30 08:26:08 ubuntu dstat.sh[20946]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Jun 30 08:26:08 ubuntu dstat.sh[20946]: 30-06 08:26:08|  8   2  90   0   0| 431M 1882M  145M 5190M|   0     0 |  83k 2746k|2.79  19.8 |1003  1271 |1.52 1.35 0.93|1.0   0  32|   0     0 |bash                 229180.1%2661k1972k|bash                 229182661k1972k0.1%|mysqld       173M|   0     0 |  12    4    0    5    0
Jun 30 08:26:09 ubuntu dstat.sh[20946]: 30-06 08:26:09| 10  20  70   0   0| 431M 1882M  145M 5190M|7712B   12k|   0   248k|   0  12.0 |2507  4306 |1.52 1.35 0.93|1.0   0 424|   0     0 |bash                 229183.8%1104k  26k|bash                 229181104k  26k3.8%|mysqld       173M|   0     0 |  12    4    0    5    0
Jun 30 08:26:10 ubuntu dstat.sh[20946]: 30-06 08:26:10| 11  21  68   0   0| 431M 1881M  145M 5190M|  22k   19k|   0    32k|   0  8.00 |3292  6962 |1.55 1.36 0.94|2.0   0 342|   0     0 |systemd              1    3.0%   0    0 |bash                 229182676k  22k2.5%|mysqld       173M|   0     0 |  12    4    0    6    0
Jun 30 08:26:11 ubuntu dstat.sh[20946]: 30-06 08:26:11| 10  15  74   0   0| 555M 1757M  145M 5312M|  17k 9954B|   0  8192B|   0  2.00 |3724  6802 |1.55 1.36 0.94|  0   0 177|   0     0 |systemd              1    6.5%   0    0 |bash                 22918 893k7114B1.0%|mysqld       173M|   0     0 |  14    4    0    5    0
Jun 30 08:26:12 ubuntu dstat.sh[20946]: 30-06 08:26:12|  9  17  74   0   0| 564M 1748M  145M 5312M|8073B 4082B|   0     0 |   0     0 |2090  3802 |1.55 1.36 0.94|1.0   0 294|   0     0 |bash                 229183.0% 601k  18k|keystone-manage      222611542k  42k2.5%|mysqld       175M|   0     0 |  14    6    0    7    0
Jun 30 08:26:13 ubuntu dstat.sh[20946]: 30-06 08:26:13| 23   3  74   0   0| 605M 1706M  145M 5313M|  13k   14k|   0     0 |   0     0 | 845   949 |1.55 1.36 0.94|1.0   0   0|   0     0 |keystone-manage      22261 25%  10M 154k|keystone-manage      22261  10M 154k 25%|mysqld       175M|   0     0 |  14    6    0    7    0
Jun 30 08:26:14 ubuntu dstat.sh[20946]: 30-06 08:26:14| 15   4  73   8   0| 638M 1671M  145M 5314M|9365B 1620B|  40k 3664k|4.00   179 |1965  3460 |1.55 1.36 0.94|  0 1.0   0|   0     0 |keystone-manage      22261 14%4708k 552k|keystone-manage      222614708k 552k 14%|mysqld       186M|   0     0 |  14    8    0    7    0
Jun 30 08:26:15 ubuntu dstat.sh[20946]: 30-06 08:26:15|  4   3  74  20   0| 640M 1668M  146M 5315M|  11k  125k|   0  5464k|   0   473 |2664  3885 |1.59 1.37 0.94|  0 1.0   0|   0     0 |mysqld               202183.5%   0    0 |tail                 2590  120k 120k  0%|mysqld       189M|   0     0 |  14    8    0    7    0
Jun 30 08:26:16 ubuntu dstat.sh[20946]: 30-06 08:26:16|  4   4  73  19   0| 642M 1600M  146M 5379M|8563B 1620B|   0    68M|   0   427 |2354  3234 |1.59 1.37 0.94|  0 1.0   0|   0     0 |mysqld               202184.0%   0    0 |keystone-manage      222619810B5314B1.0%|mysqld       191M|   0     0 |  14    8    0    7    0
Jun 30 08:26:17 ubuntu dstat.sh[20946]: 30-06 08:26:17|  8   3  73  16   0| 645M 1596M  146M 5380M|9828B 4740B|   0  7596k|   0   607 |3122  4804 |1.59 1.37 0.94|1.0   0   0|   0     0 |keystone-manage      222614.0%  22k  14k|keystone-manage      22261  22k  14k4.0%|mysqld       193M|   0     0 |  14    8    0    7    0
Jun 30 08:26:18 ubuntu dstat.sh[20946]: 30-06 08:26:18| 10   3  73  13   0| 647M 1593M  147M 5380M|  13k 4082B|   0  8068k|   0   666 |3472  5619 |1.59 1.37 0.94|  0 1.0   0|   0     0 |keystone-manage      222616.8%  33k  18k|keystone-manage      22261  33k  18k6.8%|mysqld       195M|   0     0 |  14    8    0    7    0
Jun 30 08:26:19 ubuntu dstat.sh[20946]: 30-06 08:26:19| 14   4  71  12   0| 647M 1592M  147M 5381M|9931B 5766B|   0  5732k|   0   417 |3709  8411 |1.59 1.37 0.94|  0 1.0   0|   0     0 |keystone-manage      222617.5%  23k 295k|python3.7            27534 287k 598k2.5%|mysqld       195M|   0     0 |  14    8    0    7    0
