-- Logs begin at Mon 2022-09-19 11:06:13 UTC, end at Mon 2022-09-19 12:38:23 UTC. --
Sep 19 11:57:39 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 19 11:57:39 ubuntu dstat.sh[72712]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 19 11:57:39 ubuntu dstat.sh[72712]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 19 11:57:39 ubuntu dstat.sh[72712]: 19-09 11:57:39|                   | 793M 1695M  186M 4959M|           |           |           |           |1.04 0.80 0.61|3.0   0    |           |   0     0 |  8    4    0   10    2
Sep 19 11:57:40 ubuntu dstat.sh[72712]: 19-09 11:57:40| 12  17  67   1   0| 795M 1694M  186M 4959M|  52k 6313 |   0   652k|   0  21.0 |3126  5156 |1.04 0.80 0.61|2.0   0 356|   0     0 |   0     0 |  8    4    0   10    2
Sep 19 11:57:41 ubuntu dstat.sh[72712]: 19-09 11:57:41| 19  17  62   1   0| 791M 1697M  186M 4960M|  53k 6025 |   0    21M|   0   132 |3107  5782 |0.95 0.79 0.61|1.0   0 296|   0     0 |   0     0 |  8    4    0   10    2
Sep 19 11:57:42 ubuntu dstat.sh[72712]: 19-09 11:57:42| 26  19  54   1   0| 816M 1671M  186M 4961M| 642k   20k|   0  1383k|   0  11.0 |4880    11k|0.95 0.79 0.61|2.0   0 246|   0     0 |   0     0 |  9    5    0   10    2
Sep 19 11:57:43 ubuntu dstat.sh[72712]: 19-09 11:57:43| 13   8  76   0   0| 930M 1554M  186M 5085M| 926k   25k|   0  1429k|   0  5.99 |3595  6142 |0.95 0.79 0.61|1.0   0  67|   0     0 |   0     0 |  9    4    0   11    2
Sep 19 11:57:44 ubuntu dstat.sh[72712]: 19-09 11:57:44| 21   7  71   0   0| 940M 1544M  186M 5085M| 439k   18k|   0   348k|   0  9.00 |2316  2532 |0.95 0.79 0.61|1.0   0 107|   0     0 |   0     0 |  9    6    0   10    2
Sep 19 11:57:45 ubuntu dstat.sh[72712]: 19-09 11:57:45| 19  10  68   1   0| 959M 1524M  186M 5086M| 232k   21k|   0  1624k|   0  37.0 |2348  3358 |0.95 0.79 0.61|1.0 1.0 181|   0     0 |   0     0 |  9    6    0   12    2
Sep 19 11:57:46 ubuntu dstat.sh[72712]: 19-09 11:57:46| 26   4  68   1   0| 987M 1495M  186M 5086M|  85k 6516 |  92k   34M|7.00   139 |1426  1375 |0.96 0.79 0.61|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 19 11:57:47 ubuntu dstat.sh[72712]: 19-09 11:57:47| 24   3  71   2   0|1010M 1471M  187M 5087M| 244k   11k| 104k 1134k|7.01  20.0 |1316  1550 |0.96 0.79 0.61|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 19 11:57:48 ubuntu dstat.sh[72712]: 19-09 11:57:48| 10   3  64  20   0|1029M 1450M  187M 5089M| 122k   18k|  12k 9481k|1.00   663 |4628  8656 |0.96 0.79 0.61|  0 1.0  12|   0     0 |   0     0 |  9    8    0   10    2
Sep 19 11:57:49 ubuntu dstat.sh[72712]: 19-09 11:57:49| 18   5  55  19   0|1031M 1443M  187M 5093M|  92k   10k|   0  9946k|   0   811 |4657    11k|0.96 0.79 0.61|1.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 19 11:57:50 ubuntu dstat.sh[72712]: 19-09 11:57:50| 12   3  64  20   0|1036M 1432M  188M 5098M| 891k   28k|   0  7047k|   0   571 |5424  9597 |0.96 0.79 0.61|1.0 2.0  19|   0     0 |   0     0 |  9    8    0   10    2
Sep 19 11:57:51 ubuntu dstat.sh[72712]: 19-09 11:57:51| 13   4  61  21   0|1039M 1424M  188M 5102M|  51k 9414 |   0  6670k|   0   498 |4532  7822 |1.12 0.83 0.62|2.0 1.0  17|   0     0 |   0     0 |  9    8    0   10    2
Sep 19 11:57:52 ubuntu dstat.sh[72712]: 19-09 11:57:52|  8   2  66  21   0|1041M 1420M  189M 5104M| 391k   18k|   0  7020k|   0   544 |5060  8330 |1.12 0.83 0.62|1.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Sep 19 11:57:53 ubuntu dstat.sh[72712]: 19-09 11:57:53|  9   2  67  20   0|1044M 1414M  189M 5106M| 609k   26k|   0  7355k|   0   665 |6082    10k|1.12 0.83 0.62|1.0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Sep 19 11:57:54 ubuntu dstat.sh[72712]: 19-09 11:57:54| 22   6  69   3   0| 968M 1489M  189M 5106M|  65k   10k|   0  1460k|   0   112 |2263  3503 |1.12 0.83 0.62|1.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Sep 19 11:57:55 ubuntu dstat.sh[72712]: 19-09 11:57:55| 27   4  68   0   0|1025M 1432M  189M 5107M|  68k 6483 |   0   956k|   0  28.0 |1128  1290 |1.12 0.83 0.62|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
