-- Logs begin at Tue 2022-05-10 20:07:36 UTC, end at Tue 2022-05-10 21:13:07 UTC. --
May 10 20:52:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 20:52:19 ubuntu dstat.sh[71205]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 20:52:19 ubuntu dstat.sh[71205]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 20:52:19 ubuntu dstat.sh[71205]: 10-05 20:52:18|                   | 948M 1573M  189M 4924M|           |           |           |           |1.74 1.10 0.67|3.0   0    |           |   0     0 |  8    6    0    8    0
May 10 20:52:20 ubuntu dstat.sh[71205]: 10-05 20:52:20| 10  20  68   0   0| 950M 1571M  189M 4924M| 132k 5037 |   0  4178k|   0   103 |3054  4516 |1.74 1.10 0.67|2.5   0 395|   0     0 |   0     0 |  8    6    0    8    0
May 10 20:52:21 ubuntu dstat.sh[71205]: 10-05 20:52:21| 36  19  45   0   0| 937M 1581M  189M 4927M|1342k   30k|   0  1822k|   0  58.4 |3658  6014 |1.74 1.10 0.67|2.0   0 327|   0     0 |   0     0 |  8    4    0    8    2
May 10 20:52:22 ubuntu dstat.sh[71205]: 10-05 20:52:22| 29  17  53   0   0| 999M 1518M  189M 5002M| 922k   25k|   0   859k|   0  11.0 |5699  8934 |1.74 1.10 0.67| 15   0 163|   0     0 |   0     0 |  9    5    0    8    0
May 10 20:52:23 ubuntu dstat.sh[71205]: 10-05 20:52:23| 37  12  49   0   0|1076M 1441M  189M 5050M| 445k 4384 |   0    24k|   0  6.00 |2175  2474 |1.74 1.10 0.67|2.0   0 106|   0     0 |   0     0 |  9    8    0    8    0
May 10 20:52:24 ubuntu dstat.sh[71205]: 10-05 20:52:24| 42  12  45   1   0|1108M 1408M  189M 5050M| 812k   19k|   0  1276k|   0  39.0 |2603  3179 |1.76 1.11 0.68|2.0   0 186|   0     0 |   0     0 |  9    7    0   10    1
May 10 20:52:25 ubuntu dstat.sh[71205]: 10-05 20:52:25| 37   5  55   3   0|1149M 1366M  190M 5051M| 586k   12k|  52k 1388k|5.00  10.0 |1596  1334 |1.76 1.11 0.68|2.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    1
May 10 20:52:26 ubuntu dstat.sh[71205]: 10-05 20:52:26| 38   4  54   1   0|1097M 1410M  190M 5058M|6039k   70k| 144k 4791k|9.00  23.0 |4400  2869 |1.76 1.11 0.68|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
May 10 20:52:27 ubuntu dstat.sh[71205]: 10-05 20:52:26| 25   3  66   6   0|1118M 1384M  190M 5063M|2218k   34k|  12k 6199k|1.00   274 |3239  3872 |1.76 1.11 0.68|1.0 1.0 2.0|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:28 ubuntu dstat.sh[71205]: 10-05 20:52:28| 10   3  64  22   0|1123M 1376M  190M 5065M| 786k   20k|   0  7355k|   0   624 |5014  9110 |1.76 1.11 0.68|1.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:29 ubuntu dstat.sh[71205]: 10-05 20:52:29| 12   4  63  20   0|1129M 1368M  191M 5067M| 381k   19k|   0  7281k|   0   673 |5221  9773 |1.86 1.15 0.69|4.0   0  16|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:30 ubuntu dstat.sh[71205]: 10-05 20:52:30| 14   3  60  20   0|1132M 1361M  191M 5071M| 672k   19k|   0  8376k|   0   649 |5632  9272 |1.86 1.15 0.69|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:31 ubuntu dstat.sh[71205]: 10-05 20:52:31| 16   5  58  21   0|1136M 1354M  192M 5072M|2041k   18k|   0  7097k|   0   674 |6272  9568 |1.86 1.15 0.69|  0   0  16|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:32 ubuntu dstat.sh[71205]: 10-05 20:52:32| 14   4  59  21   0|1138M 1348M  192M 5076M|1283k   26k|   0  7955k|   0   644 |5952  9243 |1.86 1.15 0.69|1.0   0  11|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:33 ubuntu dstat.sh[71205]: 10-05 20:52:33| 28   3  59   7   0|1144M 1340M  193M 5077M| 861k  151k|   0  4019k|   0   341 |4440  7015 |1.86 1.15 0.69|1.0   0 5.0|   0     0 |   0     0 |  9    8    0   10    2
May 10 20:52:34 ubuntu dstat.sh[71205]: 10-05 20:52:34| 25   5  68   1   1|1063M 1421M  193M 5078M| 585k   30k|   0  1870k|   0   123 |2320  3333 |1.87 1.16 0.70|2.0   0  78|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:35 ubuntu dstat.sh[71205]: 10-05 20:52:35| 39   5  56   0   0|1131M 1350M  193M 5080M| 421k 4152 |   0  1470k|   0  23.0 |1411  1102 |1.87 1.16 0.70|2.0   0 6.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:36 ubuntu dstat.sh[71205]: 10-05 20:52:36| 46   2  49   3   0|1136M 1345M  193M 5080M| 244k 3251 |   0  7702k|   0   418 |2510  2714 |1.87 1.16 0.70|1.0 1.0   0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:37 ubuntu dstat.sh[71205]: 10-05 20:52:37| 29   3  66   2   0|1072M 1408M  193M 5080M| 454k 7285 |   0  8279k|   0   415 |2535  2920 |1.87 1.16 0.70|4.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:38 ubuntu dstat.sh[71205]: 10-05 20:52:38| 38   5  56   1   0|1140M 1333M  194M 5086M|1059k 7842 |   0  8835k|   0   434 |2670  2896 |1.87 1.16 0.70|2.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:39 ubuntu dstat.sh[71205]: 10-05 20:52:39| 50   2  47   2   0|1153M 1320M  194M 5086M| 280k 1620 |   0  5578k|   0   287 |2022  2267 |1.88 1.17 0.71|3.0 1.0   0|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:40 ubuntu dstat.sh[71205]: 10-05 20:52:40| 29   6  62   1   0|1046M 1424M  194M 5088M|2452k   12k|   0  5521k|   0   240 |2919  2967 |1.88 1.17 0.71|2.0 1.0  96|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:41 ubuntu dstat.sh[71205]: 10-05 20:52:41| 18  21  60   1   1|1047M 1423M  194M 5088M|7516k 8070 |   0    21M|   0   234 |4715  4758 |1.88 1.17 0.71|3.0   0 387|   0     0 |   0     0 |  9    6    0    9    2
May 10 20:52:42 ubuntu dstat.sh[71205]: 10-05 20:52:42| 26  16  57   0   0|1051M 1418M  194M 5089M|2416k 9711 |   0  1443k|   0  22.0 |4915  8997 |1.88 1.17 0.71|3.0   0 211|   0     0 |   0     0 |  9    6    0    9    2
