-- Logs begin at Wed 2022-07-06 15:56:24 UTC, end at Wed 2022-07-06 17:09:03 UTC. --
Jul 06 16:54:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 06 16:55:00 ubuntu dstat.sh[83352]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 06 16:55:00 ubuntu dstat.sh[83352]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 06 16:55:00 ubuntu dstat.sh[83352]: 06-07 16:55:00|                   | 799M 1697M  184M 4955M|           |           |           |           |0.94 0.48 0.40|1.0   0    |           |   0     0 |  8    4    0   10    2
Jul 06 16:55:01 ubuntu dstat.sh[83352]: 06-07 16:55:01| 13  17  67   0   0| 799M 1696M  184M 4955M| 115k 5088 |   0   527k|   0  12.0 |2391  3751 |0.94 0.48 0.40|1.0   0 361|   0     0 |   0     0 |  8    4    0   10    2
Jul 06 16:55:02 ubuntu dstat.sh[83352]: 06-07 16:55:02| 21  21  57   1   0| 805M 1689M  184M 4956M| 129k 5964 |   0  1158k|   0  14.5 |3068  4914 |0.94 0.48 0.40|2.0   0 355|   0     0 |   0     0 |  8    4    0   10    2
Jul 06 16:55:03 ubuntu dstat.sh[83352]: 06-07 16:55:03| 24  25  49   0   0| 784M 1709M  184M 4957M|  46k 4997 |   0  1139k|   0  16.0 |4583  7916 |0.94 0.49 0.40|1.0   0 483|   0     0 |   0     0 |  8    4    0   10    2
Jul 06 16:55:04 ubuntu dstat.sh[83352]: 06-07 16:55:04| 23  12  63   0   0| 926M 1567M  184M 5079M|  12k 3992 |   0   671k|   0  13.0 |2496  4929 |0.94 0.49 0.40|3.0   0 129|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 16:55:05 ubuntu dstat.sh[83352]: 06-07 16:55:05| 20  11  68   1   0| 930M 1563M  184M 5079M| 161k   18k|   0    20M|   0   118 |2007  2934 |0.94 0.49 0.40|2.0   0 191|   0     0 |   0     0 |  9    6    0   12    2
Jul 06 16:55:06 ubuntu dstat.sh[83352]: 06-07 16:55:06| 25   3  70   1   0| 978M 1514M  184M 5080M|  20k 4048 |  52k 1215k|5.00  21.0 | 897  1114 |0.94 0.49 0.40|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 06 16:55:07 ubuntu dstat.sh[83352]: 06-07 16:55:07| 27   3  69   1   0| 996M 1493M  184M 5082M| 950k   15k| 144k 2296k|9.00  15.0 |1710  1390 |0.94 0.49 0.40|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 06 16:55:08 ubuntu dstat.sh[83352]: 06-07 16:55:08| 30   2  64   4   0|1018M 1470M  184M 5084M| 686k   34k|  12k 2490k|1.00   146 |2519  3289 |0.94 0.49 0.40|3.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   12    2
Jul 06 16:55:09 ubuntu dstat.sh[83352]: 06-07 16:55:09|  8   5  65  20   0|1022M 1463M  184M 5086M|  62k   22k|   0    14M|   0  1086 |6921    12k|1.19 0.55 0.42|  0 1.0 9.0|   0     0 |   0     0 |  9    8    0   12    2
